Time,HwTSet,PrimTSet,ChActive,HwActive,HwTOutlet,ActPow,PrimT
2017-11-18T00:00:07.983Z,0,,1,0,27.5,,51.7
2017-11-18T00:00:17.625Z,0,,,,27.7,,49.9
2017-11-18T00:00:27.625Z,0,,,,27.7,,49
2017-11-18T00:00:37.625Z,0,,,,27.7,,48.9
2017-11-18T00:00:47.625Z,0,,,,27.7,,
2017-11-18T00:00:57.625Z,0,,,,27.8,,48.9
2017-11-18T00:01:07.625Z,0,,,,27.8,,48.8
2017-11-18T00:01:17.625Z,0,,,,27.9,,
2017-11-18T00:01:27.625Z,,,,,,,48.7
2017-11-18T00:01:37.737Z,0,,,,27.9,,48.6
2017-11-18T00:01:47.625Z,0,,,,27.9,,48.4
2017-11-18T00:01:57.625Z,,,,,,,48.2
2017-11-18T00:02:07.627Z,0,,,,27.9,,47.9
2017-11-18T00:02:17.625Z,0,,,,28,,47.8
2017-11-18T00:02:27.625Z,,,,,,,47.6
2017-11-18T00:02:37.625Z,0,,,,28,,47.1
2017-11-18T00:02:47.625Z,0,,,,28,,46.9
2017-11-18T00:02:57.625Z,0,,,,28.1,,
2017-11-18T00:03:07.625Z,,,,,,,46.6
2017-11-18T00:03:17.625Z,0,,,,28.1,,46.4
2017-11-18T00:03:27.626Z,0,,,,28.3,,46.2
2017-11-18T00:03:37.625Z,,,,,,,45.9
2017-11-18T00:03:47.625Z,0,,,,28.3,,45.8
2017-11-18T00:03:57.625Z,0,,,,28.3,,45.6
2017-11-18T00:04:07.626Z,0,,,,28.3,,45.4
2017-11-18T00:04:17.628Z,0,,,,28.3,,45.1
2017-11-18T00:04:27.631Z,0,,,,28.4,,
2017-11-18T00:04:37.627Z,,,,,,,44.8
2017-11-18T00:04:47.625Z,0,,,,28.4,,
2017-11-18T00:04:57.626Z,,,,,,,44.6
2017-11-18T00:05:07.626Z,0,,,,28.4,,44.4
2017-11-18T00:05:17.629Z,0,,,,28.4,,44.3
2017-11-18T00:05:27.629Z,0,,,,28.5,,44
2017-11-18T00:05:37.629Z,0,,1,0,28.5,42,46.1
2017-11-18T00:05:47.628Z,0,,,,28.5,30,49.7
2017-11-18T00:05:57.628Z,0,,,,28.5,,
2017-11-18T00:06:07.627Z,0,,,,28.5,29,49.8
2017-11-18T00:06:17.627Z,0,,,,28.6,,
2017-11-18T00:06:27.627Z,0,,,,28.6,,49.7
2017-11-18T00:06:37.629Z,0,,,,28.6,,
2017-11-18T00:06:47.626Z,0,,,,28.6,30,50
2017-11-18T00:06:57.628Z,0,,,,28.6,,50.1
2017-11-18T00:07:07.628Z,0,,,,28.6,29,50.3
2017-11-18T00:07:17.627Z,0,,,,28.7,,50.4
2017-11-18T00:07:27.626Z,0,,,,28.7,,50.6
2017-11-18T00:07:37.626Z,0,,,,28.7,30,51
2017-11-18T00:07:47.626Z,0,,,,28.7,29,51.1
2017-11-18T00:07:57.628Z,0,,,,28.7,,51.3
2017-11-18T00:08:07.626Z,0,,,,28.7,30,51.5
2017-11-18T00:08:17.626Z,0,,,,28.7,,51.6
2017-11-18T00:08:27.632Z,0,,,,28.9,29,52
2017-11-18T00:08:37.627Z,0,,,,28.9,,
2017-11-18T00:08:47.627Z,0,,,,28.9,,52.3
2017-11-18T00:08:57.626Z,0,,,,28.9,,52.4
2017-11-18T00:09:07.630Z,0,,,,28.9,30,52.7
2017-11-18T00:09:17.626Z,0,,,,29,,52.9
2017-11-18T00:09:27.626Z,0,,,,29,,53
2017-11-18T00:09:37.627Z,0,,,,29,,53.1
2017-11-18T00:09:47.629Z,0,,,,29,29,53.3
2017-11-18T00:09:57.632Z,0,,,,29.1,,53.5
2017-11-18T00:10:07.628Z,0,,,,29.1,30,53.6
2017-11-18T00:10:17.629Z,0,,,,29.1,,53.8
2017-11-18T00:10:27.628Z,0,,1,0,29.1,0,51.9
2017-11-18T00:10:37.631Z,0,,,,29.1,,49.9
2017-11-18T00:10:47.630Z,0,,,,29.2,,49.7
2017-11-18T00:10:57.630Z,0,,,,29.2,,49.2
2017-11-18T00:11:07.627Z,0,,,,29.2,,49.1
2017-11-18T00:11:17.635Z,0,,,,29.2,,
2017-11-18T00:11:27.626Z,0,,,,29.2,,
2017-11-18T00:11:37.627Z,0,,,,29.3,,
2017-11-18T00:11:47.629Z,0,,,,29.3,,48.9
2017-11-18T00:11:57.630Z,0,,,,29.3,,
2017-11-18T00:12:07.627Z,0,,,,29.3,,48.8
2017-11-18T00:12:17.627Z,0,,,,29.3,,48.6
2017-11-18T00:12:27.626Z,0,,,,29.5,,48.4
2017-11-18T00:12:37.632Z,0,,,,29.5,,48.2
2017-11-18T00:12:47.627Z,0,,,,29.5,,47.9
2017-11-18T00:12:57.627Z,0,,,,29.5,,
2017-11-18T00:13:07.628Z,0,,,,29.6,,47.7
2017-11-18T00:13:17.627Z,0,,,,29.6,,47.4
2017-11-18T00:13:27.626Z,0,,,,29.6,,47.2
2017-11-18T00:13:37.627Z,0,,,,29.6,,46.9
2017-11-18T00:13:47.627Z,0,,,,29.6,,46.8
2017-11-18T00:13:57.629Z,0,,,,29.6,,46.6
2017-11-18T00:14:07.628Z,0,,,,29.6,,46.4
2017-11-18T00:14:17.802Z,0,,,,29.7,,46.3
2017-11-18T00:14:27.627Z,0,,,,29.7,,46.1
2017-11-18T00:14:37.628Z,0,,,,29.7,,45.9
2017-11-18T00:14:47.626Z,0,,,,29.7,,45.8
2017-11-18T00:14:57.626Z,0,,,,29.7,,45.6
2017-11-18T00:15:07.627Z,0,,,,29.7,,45.4
2017-11-18T00:15:17.631Z,0,52,1,0,29.8,45,46.1
2017-11-18T00:15:27.635Z,0,,,,29.8,35,50
2017-11-18T00:15:37.632Z,0,,,,29.8,29,51
2017-11-18T00:15:47.628Z,0,,,,29.8,,
2017-11-18T00:15:57.627Z,0,,,,29.8,,
2017-11-18T00:16:07.629Z,0,,,,29.8,,50.9
2017-11-18T00:16:17.627Z,0,,,,29.8,30,51
2017-11-18T00:16:27.630Z,0,,,,29.8,29,51.1
2017-11-18T00:16:37.627Z,0,,,,30,,51.2
2017-11-18T00:16:47.627Z,0,,,,30,30,51.4
2017-11-18T00:16:57.633Z,0,,,,30,29,51.5
2017-11-18T00:17:07.627Z,0,,,,30,,51.6
2017-11-18T00:17:17.863Z,0,,,,30,30,52
2017-11-18T00:17:27.627Z,0,,,,30,29,
2017-11-18T00:17:37.627Z,0,,,,30,30,52.2
2017-11-18T00:17:47.627Z,0,,,,30.1,29,52.6
2017-11-18T00:17:57.633Z,0,,,,30.1,30,
2017-11-18T00:18:07.628Z,0,,,,30.1,29,53
2017-11-18T00:18:17.627Z,0,,,,30.1,,53.1
2017-11-18T00:18:27.633Z,0,,,,30.1,,53.4
