Time,PrimTSet,ChActive,HwTOutlet,HwActive,PrimT,HwTSet,ActPow
2017-11-19T00:00:07.863Z,,,30,,,0,
2017-11-19T00:00:17.863Z,,,30,,,0,
2017-11-19T00:00:27.861Z,,,,,46,,
2017-11-19T00:00:37.863Z,,,30,,45.9,0,
2017-11-19T00:00:47.860Z,,,30,,,0,
2017-11-19T00:00:57.865Z,,,29.8,,,0,
2017-11-19T00:01:07.860Z,,,29.8,,,0,
2017-11-19T00:01:17.865Z,,,29.8,,,0,
2017-11-19T00:01:27.865Z,,,29.8,,,0,
2017-11-19T00:01:37.860Z,,,,,45.8,,
2017-11-19T00:01:47.860Z,,,29.8,,,0,
2017-11-19T00:01:57.860Z,,,29.7,,,0,
2017-11-19T00:02:07.861Z,,,29.7,,,0,
2017-11-19T00:02:17.862Z,,,29.7,,,0,
2017-11-19T00:02:27.861Z,,,29.7,,,0,
2017-11-19T00:02:37.860Z,,,29.7,,,0,
2017-11-19T00:02:47.865Z,,,29.7,,,0,
2017-11-19T00:02:58.097Z,,,,,45.7,,
2017-11-19T00:03:07.861Z,,,29.6,,,0,
2017-11-19T00:03:17.860Z,,,29.6,,,0,
2017-11-19T00:03:27.861Z,,,29.6,,,0,
2017-11-19T00:03:37.860Z,,,29.6,,,0,
2017-11-19T00:03:47.861Z,,,29.6,,,0,
2017-11-19T00:03:57.882Z,,,29.5,,,0,
2017-11-19T00:04:07.860Z,,,29.5,,45.6,0,
2017-11-19T00:04:17.867Z,,,29.5,,,0,
2017-11-19T00:04:27.866Z,,,29.5,,,0,
2017-11-19T00:04:47.860Z,,,29.5,,,0,
2017-11-19T00:04:57.860Z,,,29.3,,,0,
2017-11-19T00:05:07.862Z,,,29.3,,,0,
2017-11-19T00:05:17.861Z,,,29.3,,,0,
2017-11-19T00:05:27.861Z,,,29.3,,45.5,0,
2017-11-19T00:05:37.860Z,,,29.3,,,0,
2017-11-19T00:05:47.875Z,,,29.3,,,0,
2017-11-19T00:06:07.861Z,,,29.2,,,0,
2017-11-19T00:06:17.861Z,,,29.2,,,0,
2017-11-19T00:06:37.865Z,,,29.2,,,0,
2017-11-19T00:06:47.861Z,,,29.2,,45.4,0,
2017-11-19T00:06:57.861Z,,,29.1,,,0,
2017-11-19T00:07:07.861Z,,,29.1,,,0,
2017-11-19T00:07:17.861Z,,,29.1,,,0,
2017-11-19T00:07:37.866Z,,,29.1,,,0,
2017-11-19T00:07:47.866Z,,,29.1,,,0,
2017-11-19T00:07:57.866Z,,,,,45.3,,
2017-11-19T00:08:07.861Z,,,29,,,0,
2017-11-19T00:08:17.861Z,,,29,,,0,
2017-11-19T00:08:37.861Z,,,29,,,0,
2017-11-19T00:08:47.861Z,,,29,,,0,
2017-11-19T00:09:07.861Z,,,28.9,,,0,
2017-11-19T00:09:17.861Z,,,28.9,,45.2,0,
2017-11-19T00:09:37.861Z,,,28.9,,,0,
