Time,PrimT,PrimTSet,ChActive,HwActive,HwTSet,ActPow,HwTOutlet
2017-11-20T00:00:08.108Z,,,,,0,,28.6
2017-11-20T00:00:18.101Z,,,,,0,,28.6
2017-11-20T00:00:28.106Z,,,,,0,,28.6
2017-11-20T00:00:38.101Z,,,,,0,,28.5
2017-11-20T00:00:48.100Z,,,,,0,,28.5
2017-11-20T00:00:58.099Z,,,,,0,,28.5
2017-11-20T00:01:08.291Z,,,,,0,,28.5
2017-11-20T00:01:18.112Z,38.1,,,,0,,28.5
2017-11-20T00:01:28.107Z,,,,,0,,28.4
2017-11-20T00:01:38.101Z,,,,,0,,28.4
2017-11-20T00:01:48.107Z,,,,,0,,28.4
2017-11-20T00:01:58.108Z,,,,,0,,28.4
2017-11-20T00:02:08.107Z,,,,,0,,28.3
2017-11-20T00:02:18.111Z,,,,,0,,28.3
2017-11-20T00:02:28.102Z,,,,,0,,28.3
2017-11-20T00:02:38.109Z,,,,,0,,28.3
2017-11-20T00:02:48.107Z,,,,,0,,28.3
2017-11-20T00:02:58.106Z,,,,,0,,28.3
2017-11-20T00:03:08.288Z,,,,,0,,28.1
2017-11-20T00:03:18.107Z,,,,,0,,28.1
2017-11-20T00:03:28.109Z,38,,,,0,,28.1
2017-11-20T00:03:38.104Z,,,,,0,,28
2017-11-20T00:03:48.108Z,,,,,0,,28
2017-11-20T00:03:58.113Z,,,,,0,,28
2017-11-20T00:04:08.134Z,,,,,0,,28
2017-11-20T00:04:18.100Z,,,,,0,,28
2017-11-20T00:04:28.135Z,,,,,0,,28
2017-11-20T00:04:38.134Z,,,,,0,,28
2017-11-20T00:04:48.105Z,,,,,0,,27.9
2017-11-20T00:04:58.102Z,,,,,0,,27.9
2017-11-20T00:05:08.105Z,38,,,,0,,27.9
2017-11-20T00:05:18.114Z,37.9,,,,0,,27.9
2017-11-20T00:05:28.099Z,,,,,0,,27.9
2017-11-20T00:05:38.110Z,,,,,0,,27.8
2017-11-20T00:05:48.101Z,,,,,0,,27.8
2017-11-20T00:05:58.100Z,,,,,0,,27.8
2017-11-20T00:06:08.102Z,,,,,0,,27.8
2017-11-20T00:06:18.100Z,,,,,0,,27.8
2017-11-20T00:06:28.099Z,,,,,0,,27.7
2017-11-20T00:06:38.099Z,,,,,0,,27.7
2017-11-20T00:06:48.103Z,,,,,0,,27.7
2017-11-20T00:06:58.101Z,,,,,0,,27.7
2017-11-20T00:07:08.281Z,37.8,,,,0,,27.7
2017-11-20T00:07:18.101Z,,,,,0,,27.5
