Time,ChActive,PrimTSet,HwActive,HwTOutlet,PrimT,HwTSet,ActPow
2017-11-23T00:00:05.771Z,,,,26.6,29.8,0,
2017-11-23T00:00:15.763Z,,,,26.6,29.5,0,
2017-11-23T00:00:25.801Z,,,,26.6,29.2,0,
2017-11-23T00:00:35.759Z,,,,26.6,29,0,
2017-11-23T00:00:45.777Z,,,,26.6,,0,
2017-11-23T00:00:55.870Z,,,,26.6,28.9,0,
2017-11-23T00:01:05.764Z,,,,26.6,28.9,0,
2017-11-23T00:01:15.781Z,,,,26.6,,0,
2017-11-23T00:01:25.779Z,,,,26.6,,0,
2017-11-23T00:01:35.772Z,,,,26.6,28.8,0,
2017-11-23T00:01:45.769Z,,,,26.6,,0,
2017-11-23T00:01:55.857Z,,,,26.5,28.7,0,
2017-11-23T00:02:05.772Z,,,,26.5,,0,
2017-11-23T00:02:15.774Z,,,,26.6,28.6,0,
2017-11-23T00:02:25.760Z,,,,26.5,28.4,0,
2017-11-23T00:02:35.757Z,,,,26.5,,0,
2017-11-23T00:02:45.775Z,,,,26.5,28.3,0,
2017-11-23T00:02:55.845Z,,,,26.5,,0,
2017-11-23T00:03:05.760Z,,,,26.5,28.2,0,
2017-11-23T00:03:15.757Z,,,,26.5,,0,
2017-11-23T00:03:25.779Z,,,,26.5,,0,
2017-11-23T00:03:35.779Z,,,,26.5,28.1,0,
2017-11-23T00:03:45.762Z,,,,26.5,,0,
2017-11-23T00:03:55.859Z,1,,0,26.5,30.1,0,43
2017-11-23T00:04:05.781Z,,,,26.5,34.4,0,32
2017-11-23T00:04:15.771Z,,,,26.5,35.6,0,29
2017-11-23T00:04:25.779Z,,,,26.5,36,0,30
2017-11-23T00:04:35.776Z,,,,26.5,36.1,0,
2017-11-23T00:04:45.761Z,,,,26.5,36.3,0,29
2017-11-23T00:04:55.864Z,,,,26.5,36.4,0,30
2017-11-23T00:05:05.764Z,,,,26.5,36.8,0,29
2017-11-23T00:05:15.783Z,,,,26.5,37.3,0,
2017-11-23T00:05:25.777Z,,,,26.5,37.8,0,30
2017-11-23T00:05:35.808Z,1,,0,26.3,36.7,0,0
2017-11-23T00:05:45.941Z,,,,26.3,33.6,0,
2017-11-23T00:05:55.849Z,,,,26.3,32.5,0,
2017-11-23T00:06:05.783Z,,,,26.3,32.1,0,
2017-11-23T00:06:15.768Z,,,,26.3,32.3,0,
2017-11-23T00:06:25.772Z,,,,26.3,32.6,0,
2017-11-23T00:06:35.781Z,,,,26.3,32.8,0,
2017-11-23T00:06:45.783Z,,,,26.3,33.1,0,
2017-11-23T00:06:55.870Z,,,,26.3,,0,
2017-11-23T00:07:05.763Z,,,,26.3,,0,
2017-11-23T00:07:15.781Z,,,,26.3,32.9,0,
2017-11-23T00:07:25.779Z,,,,26.3,32.8,0,
2017-11-23T00:07:35.860Z,,,,26.3,32.6,0,
2017-11-23T00:07:45.770Z,,,,26.3,32.4,0,
2017-11-23T00:07:55.838Z,,,,26.3,32.2,0,
2017-11-23T00:08:05.770Z,,,,26.3,32.1,0,
2017-11-23T00:08:15.810Z,,,,26.3,32,0,
2017-11-23T00:08:25.760Z,,,,26.3,31.9,0,
2017-11-23T00:08:35.765Z,,,,26.3,31.8,0,
2017-11-23T00:08:45.768Z,,,,26.3,,0,
2017-11-23T00:08:55.847Z,,,,26.3,31.7,0,
2017-11-23T00:09:05.758Z,,,,26.3,31.6,0,
2017-11-23T00:09:15.758Z,,,,26.3,31.5,0,
2017-11-23T00:09:25.759Z,,,,26.3,,0,
2017-11-23T00:09:35.773Z,,,,26.3,31.4,0,
2017-11-23T00:09:45.775Z,,,,26.3,,0,
2017-11-23T00:09:55.866Z,,,,26.3,,0,
2017-11-23T00:10:05.763Z,,,,26.3,31.3,0,
2017-11-23T00:10:15.862Z,,,,26.3,,0,
2017-11-23T00:10:25.800Z,,,,26.3,,0,
2017-11-23T00:10:35.762Z,,,,26.3,,0,
2017-11-23T00:10:45.764Z,,,,26.3,,0,
2017-11-23T00:10:55.888Z,,,,26.3,,0,
2017-11-23T00:11:05.779Z,,,,26.3,,0,
2017-11-23T00:11:15.779Z,,,,26.3,,0,
2017-11-23T00:11:25.761Z,,,,26.3,,0,
2017-11-23T00:11:35.825Z,,,,26.3,,0,
2017-11-23T00:11:45.781Z,,,,26.3,,0,
2017-11-23T00:11:55.898Z,,,,26.3,,0,
2017-11-23T00:12:05.799Z,,,,26.3,,0,
2017-11-23T00:12:15.787Z,,,,26.3,,0,
2017-11-23T00:12:25.764Z,,,,26.3,,0,
2017-11-23T00:12:35.822Z,,,,26.3,31.2,0,
2017-11-23T00:12:45.799Z,,,,26.3,,0,
2017-11-23T00:12:55.874Z,,,,26.3,,0,
2017-11-23T00:13:05.779Z,,,,26.3,,0,
2017-11-23T00:13:15.812Z,,,,26.3,,0,
2017-11-23T00:13:25.760Z,,,,26.3,,0,
2017-11-23T00:13:35.767Z,,,,26.3,,0,
2017-11-23T00:13:45.812Z,,,,26.3,,0,
2017-11-23T00:13:55.912Z,,,,26.3,,0,
2017-11-23T00:14:05.758Z,,,,26.3,,0,
2017-11-23T00:14:15.798Z,,,,26.3,,0,
2017-11-23T00:14:25.777Z,,,,26.3,,0,
2017-11-23T00:14:35.767Z,,,,26.3,,0,
2017-11-23T00:14:45.758Z,,,,26.3,,0,
2017-11-23T00:14:55.924Z,,,,26.3,,0,
2017-11-23T00:15:05.815Z,,,,26.3,,0,
2017-11-23T00:15:15.768Z,,,,26.3,,0,
2017-11-23T00:15:25.761Z,,,,26.3,,0,
2017-11-23T00:15:35.780Z,,,,26.3,31.4,0,
2017-11-23T00:15:45.764Z,,,,26.3,30.9,0,
2017-11-23T00:15:58.593Z,,,,26.3,30.7,0,
2017-11-23T00:16:05.759Z,,,,26.3,30.5,0,
2017-11-23T00:16:15.760Z,,,,26.3,30.1,0,
2017-11-23T00:16:25.760Z,,,,26.3,29.9,0,
2017-11-23T00:16:35.759Z,,,,26.3,,0,
2017-11-23T00:16:45.761Z,,,,26.3,,0,
2017-11-23T00:16:55.843Z,,,,26.3,,0,
2017-11-23T00:17:05.766Z,,,,26.3,,0,
2017-11-23T00:17:15.759Z,,,,26.3,29.8,0,
2017-11-23T00:17:25.758Z,,,,26.3,29.6,0,
2017-11-23T00:17:35.773Z,,,,26.3,,0,
2017-11-23T00:17:45.760Z,,,,26.3,29.5,0,
2017-11-23T00:17:55.876Z,,,,26.3,,0,
2017-11-23T00:18:05.763Z,,,,26.3,29.4,0,
2017-11-23T00:18:15.759Z,,,,26.3,29.3,0,
2017-11-23T00:18:25.758Z,,,,26.3,29.2,0,
2017-11-23T00:18:35.765Z,,,,26.3,,0,
2017-11-23T00:18:45.759Z,,,,26.3,29,0,
2017-11-23T00:18:55.839Z,,,,26.3,,0,
2017-11-23T00:19:05.759Z,,,,26.3,28.9,0,
2017-11-23T00:19:15.760Z,,,,26.2,,0,
2017-11-23T00:19:25.765Z,,,,26.2,28.8,0,
2017-11-23T00:19:35.760Z,,,,26.2,,0,
2017-11-23T00:19:45.759Z,,,,26.2,,0,
2017-11-23T00:19:55.844Z,,,,26.2,28.7,0,
2017-11-23T00:20:05.759Z,,,,26.2,28.8,0,
2017-11-23T00:20:15.764Z,,,,26.2,28.7,0,
2017-11-23T00:20:25.759Z,,,,26.2,,0,
2017-11-23T00:20:35.766Z,,,,26.2,,0,
2017-11-23T00:20:45.760Z,,,,26.2,,0,
2017-11-23T00:20:55.844Z,,,,26.2,,0,
2017-11-23T00:21:05.759Z,,,,26.2,,0,
2017-11-23T00:21:15.759Z,,,,26.2,,0,
2017-11-23T00:21:25.760Z,,,,26.2,,0,
2017-11-23T00:21:35.759Z,,,,26.2,,0,
2017-11-23T00:21:45.763Z,,,,26.2,,0,
2017-11-23T00:21:55.839Z,,,,26.2,28.6,0,
2017-11-23T00:22:05.759Z,,,,26.2,28.4,0,
2017-11-23T00:22:15.766Z,,,,26.2,28.3,0,
2017-11-23T00:22:25.759Z,,,,26.2,28.2,0,
2017-11-23T00:22:35.762Z,,,,26.2,28.1,0,
2017-11-23T00:22:45.760Z,,,,26.1,,0,
2017-11-23T00:22:55.994Z,,,,26.1,,0,
2017-11-23T00:23:05.759Z,,,,26.1,28,0,
2017-11-23T00:23:15.760Z,,,,26.1,,0,
2017-11-23T00:23:25.760Z,,,,26.1,,0,
2017-11-23T00:23:35.761Z,1,,0,26.1,31.2,0,41
2017-11-23T00:23:45.774Z,,,,26.1,34.8,0,30
2017-11-23T00:23:55.858Z,,,,26.1,35.6,0,
2017-11-23T00:24:05.761Z,,,,26.1,35.9,0,29
2017-11-23T00:24:15.762Z,,,,26.1,36.1,0,29
2017-11-23T00:24:25.761Z,,,,26.1,36.2,0,30
2017-11-23T00:24:35.762Z,,,,26.1,36.4,0,29
2017-11-23T00:24:45.765Z,,,,26.1,36.8,0,30
2017-11-23T00:24:55.845Z,,,,26.1,37.3,0,
2017-11-23T00:25:05.760Z,,,,26.1,37.7,0,
2017-11-23T00:25:15.762Z,1,,0,26.1,36.5,0,0
2017-11-23T00:25:25.760Z,,,,26.1,33.6,0,
2017-11-23T00:25:35.760Z,,,,26.1,32.5,0,
2017-11-23T00:25:45.762Z,,,,26.1,32.1,0,
2017-11-23T00:25:55.842Z,,,,26.1,32.3,0,
2017-11-23T00:26:05.760Z,,,,26.1,32.6,0,
2017-11-23T00:26:15.763Z,,,,26.1,32.8,0,
2017-11-23T00:26:25.762Z,,,,26.1,33.1,0,
2017-11-23T00:26:35.760Z,,,,26.1,,0,
2017-11-23T00:26:45.760Z,,,,26.1,,0,
2017-11-23T00:26:55.847Z,,,,26.1,32.9,0,
2017-11-23T00:27:05.760Z,,,,26.1,32.8,0,
2017-11-23T00:27:15.760Z,1,34,0,26.1,32.6,0,0
2017-11-23T00:27:25.761Z,,,,26.1,32.4,0,
2017-11-23T00:27:35.761Z,,,,26.1,32.2,0,
2017-11-23T00:27:45.761Z,,,,26.1,32.1,0,
2017-11-23T00:27:55.840Z,,,,26.1,32,0,
2017-11-23T00:28:05.761Z,,,,26.1,31.9,0,
2017-11-23T00:28:15.761Z,,,,26.1,31.8,0,
2017-11-23T00:28:25.761Z,,,,26.1,,0,
2017-11-23T00:28:35.761Z,,,,26.1,31.7,0,
2017-11-23T00:28:45.761Z,,,,26.1,31.6,0,
2017-11-23T00:28:55.974Z,,,,26.1,31.5,0,
2017-11-23T00:29:05.761Z,,,,26.1,31.4,0,
2017-11-23T00:29:15.764Z,,,,26.1,,0,
2017-11-23T00:29:25.761Z,,,,26.1,,0,
2017-11-23T00:29:35.761Z,,,,26.2,,0,
2017-11-23T00:29:45.761Z,,33,,26.1,31.3,0,
2017-11-23T00:29:55.865Z,,,,26.1,,0,
2017-11-23T00:30:05.766Z,,,,26.1,,0,
2017-11-23T00:30:15.771Z,,34,,26.1,,0,
2017-11-23T00:30:25.761Z,,33,,26.1,,0,
2017-11-23T00:30:35.770Z,,,,26.1,,0,
2017-11-23T00:30:45.976Z,,,,26.1,,0,
2017-11-23T00:30:55.842Z,,,,26.1,,0,
2017-11-23T00:31:05.765Z,,,,26.1,,0,
2017-11-23T00:31:15.761Z,,,,26.1,,0,
2017-11-23T00:31:25.761Z,,,,26.1,,0,
2017-11-23T00:31:35.761Z,,,,26.1,31.2,0,
2017-11-23T00:31:45.762Z,,,,26.1,,0,
2017-11-23T00:31:55.844Z,,,,26.1,,0,
2017-11-23T00:32:15.766Z,,,,26.1,,0,
2017-11-23T00:32:25.781Z,,,,26.1,,0,
2017-11-23T00:32:35.761Z,,,,26.1,,0,
2017-11-23T00:32:45.764Z,,,,26.1,,0,
2017-11-23T00:32:55.847Z,,,,26.1,,0,
2017-11-23T00:33:05.766Z,,,,26.1,,0,
2017-11-23T00:33:15.764Z,,,,26.1,,0,
2017-11-23T00:33:25.761Z,,,,26.1,,0,
2017-11-23T00:33:35.761Z,,,,26.1,,0,
2017-11-23T00:33:45.761Z,,,,26.1,,0,
2017-11-23T00:33:55.850Z,,,,26.1,,0,
2017-11-23T00:34:05.761Z,,,,26.1,,0,
2017-11-23T00:34:15.761Z,,,,26.1,,0,
2017-11-23T00:34:25.766Z,,,,26.1,31.1,0,
2017-11-23T00:34:35.762Z,,,,26.1,,0,
2017-11-23T00:34:45.761Z,,,,26.1,31.2,0,
2017-11-23T00:34:55.851Z,,,,26.1,31.1,0,
2017-11-23T00:35:05.761Z,,,,26.1,,0,
2017-11-23T00:35:15.762Z,,,,26.1,31.4,0,
2017-11-23T00:35:25.761Z,,,,26.1,30.8,0,
2017-11-23T00:35:35.762Z,,,,26.1,30.7,0,
2017-11-23T00:35:45.762Z,,,,26.1,30.4,0,
2017-11-23T00:35:55.845Z,,,,26.1,30.1,0,
2017-11-23T00:36:05.763Z,,,,26.1,29.9,0,
2017-11-23T00:36:15.762Z,,,,26.1,,0,
2017-11-23T00:36:25.772Z,,,,26.1,,0,
2017-11-23T00:36:35.772Z,,,,26.1,,0,
2017-11-23T00:36:45.762Z,,,,26.1,29.8,0,
2017-11-23T00:36:55.865Z,,,,26.1,,0,
2017-11-23T00:37:05.769Z,,,,26.1,29.6,0,
2017-11-23T00:37:15.762Z,,,,26.1,,0,
2017-11-23T00:37:25.762Z,,,,26.1,29.5,0,
2017-11-23T00:37:35.762Z,,,,26.1,29.4,0,
2017-11-23T00:37:45.766Z,,,,26.1,29.3,0,
2017-11-23T00:37:55.841Z,,,,26,,0,
2017-11-23T00:38:05.762Z,,,,26,29.2,0,
2017-11-23T00:38:15.773Z,,,,26,29,0,
2017-11-23T00:38:25.762Z,,,,26,,0,
2017-11-23T00:38:35.762Z,,,,26,28.9,0,
2017-11-23T00:38:45.763Z,,,,26,28.8,0,
2017-11-23T00:38:55.844Z,,,,26,,0,
2017-11-23T00:39:05.762Z,,,,26,,0,
2017-11-23T00:39:15.762Z,,,,26,28.7,0,
2017-11-23T00:39:25.768Z,,,,26,,0,
2017-11-23T00:39:35.762Z,,,,26,,0,
2017-11-23T00:39:45.800Z,,,,26,,0,
2017-11-23T00:39:55.852Z,,,,26,,0,
2017-11-23T00:40:05.762Z,,,,26,,0,
2017-11-23T00:40:15.767Z,,,,26,,0,
2017-11-23T00:40:25.762Z,,,,26,,0,
2017-11-23T00:40:35.763Z,,,,26,,0,
2017-11-23T00:40:45.762Z,,,,26,28.6,0,
2017-11-23T00:40:55.842Z,,,,26,,0,
2017-11-23T00:41:05.771Z,,,,26,,0,
2017-11-23T00:41:15.765Z,,,,26,,0,
2017-11-23T00:41:25.762Z,,,,26,,0,
2017-11-23T00:41:35.762Z,,,,26,,0,
2017-11-23T00:41:45.762Z,,,,26,,0,
2017-11-23T00:41:55.842Z,,,,25.9,,0,
2017-11-23T00:42:05.762Z,,,,25.9,,0,
2017-11-23T00:42:15.763Z,,,,25.9,,0,
2017-11-23T00:42:25.764Z,,,,25.9,,0,
2017-11-23T00:42:35.763Z,,,,25.9,,0,
2017-11-23T00:42:45.762Z,,,,25.9,,0,
2017-11-23T00:42:55.842Z,,,,25.9,,0,
2017-11-23T00:43:05.762Z,,,,25.9,,0,
2017-11-23T00:43:15.763Z,,,,25.9,,0,
2017-11-23T00:43:25.762Z,,,,25.9,28.4,0,
2017-11-23T00:43:35.763Z,,,,25.9,28.6,0,
2017-11-23T00:43:45.762Z,,,,25.9,28.3,0,
2017-11-23T00:43:55.852Z,,,,25.9,28.2,0,
2017-11-23T00:44:05.762Z,,,,25.9,28,0,
2017-11-23T00:44:15.763Z,,,,25.9,27.8,0,
2017-11-23T00:44:25.764Z,,,,25.9,,0,
2017-11-23T00:44:35.768Z,,,,25.9,27.7,0,
2017-11-23T00:44:45.762Z,,,,25.9,,0,
2017-11-23T00:44:55.853Z,,,,25.9,,0,
2017-11-23T00:45:05.763Z,,,,25.9,27.6,0,
2017-11-23T00:45:15.768Z,,,,25.7,,0,
2017-11-23T00:45:25.762Z,,,,25.7,,0,
2017-11-23T00:45:35.771Z,,,,25.7,27.5,0,
2017-11-23T00:45:45.767Z,,,,25.7,,0,
2017-11-23T00:45:55.869Z,,,,25.7,27.3,0,
2017-11-23T00:46:05.767Z,,,,25.7,,0,
2017-11-23T00:46:15.772Z,,,,25.7,27.2,0,
2017-11-23T00:46:25.765Z,,,,25.7,,0,
2017-11-23T00:46:35.763Z,,,,25.7,27.1,0,
2017-11-23T00:46:45.772Z,,,,25.7,,0,
2017-11-23T00:46:55.847Z,,,,25.7,27,0,
2017-11-23T00:47:05.763Z,,,,25.7,,0,
2017-11-23T00:47:15.767Z,,,,25.7,,0,
2017-11-23T00:47:25.763Z,1,,0,25.7,27.1,0,45
2017-11-23T00:47:35.763Z,,,,25.7,33.5,0,32
2017-11-23T00:47:45.765Z,,,,25.7,34.5,0,29
2017-11-23T00:47:55.842Z,,,,25.7,34.9,0,30
2017-11-23T00:48:05.763Z,,,,25.7,35.2,0,29
2017-11-23T00:48:15.764Z,,,,25.7,35.3,0,
2017-11-23T00:48:25.763Z,,,,25.7,35.5,0,
2017-11-23T00:48:35.764Z,,,,25.7,35.8,0,
2017-11-23T00:48:45.767Z,,,,25.7,36.3,0,
2017-11-23T00:48:55.843Z,,,,25.7,36.7,0,30
2017-11-23T00:49:05.764Z,1,,0,25.7,36.6,0,0
2017-11-23T00:49:15.764Z,,,,25.6,32.6,0,
2017-11-23T00:49:25.763Z,,,,25.6,31.6,0,
2017-11-23T00:49:35.764Z,,,,25.7,31.3,0,
2017-11-23T00:49:45.764Z,,,,25.6,31.4,0,
2017-11-23T00:49:55.853Z,,,,25.6,31.7,0,
2017-11-23T00:50:05.764Z,,,,25.6,32,0,
2017-11-23T00:50:15.764Z,,,,25.6,32.1,0,
2017-11-23T00:50:25.769Z,,,,25.6,,0,
2017-11-23T00:50:35.779Z,,,,25.6,,0,
2017-11-23T00:50:45.769Z,,,,25.6,,0,
2017-11-23T00:50:55.871Z,,,,25.6,32,0,
2017-11-23T00:51:05.763Z,,,,25.6,31.8,0,
2017-11-23T00:51:15.764Z,,,,25.6,31.6,0,
2017-11-23T00:51:25.764Z,,,,25.6,31.4,0,
2017-11-23T00:51:35.764Z,,,,25.6,31.3,0,
2017-11-23T00:51:45.764Z,,,,25.6,31.2,0,
2017-11-23T00:51:55.852Z,,,,25.6,31.1,0,
2017-11-23T00:52:05.764Z,,,,25.6,30.9,0,
2017-11-23T00:52:15.764Z,,,,25.6,,0,
2017-11-23T00:52:25.764Z,,,,25.6,30.8,0,
2017-11-23T00:52:35.764Z,,,,25.7,30.7,0,
2017-11-23T00:52:45.768Z,,,,25.6,,0,
2017-11-23T00:52:55.844Z,,,,25.6,30.6,0,
