Time,HwActive,ActPow,ChActive,PrimT,HwTSet,PrimTSet,HwTOutlet
2017-11-25T00:00:06.230Z,,,,,0,,30.7
2017-11-25T00:00:16.232Z,,,,,0,,30.7
2017-11-25T00:00:26.233Z,,,,,0,,30.7
2017-11-25T00:00:36.233Z,,,,46.7,0,,30.7
2017-11-25T00:00:46.230Z,,,,,0,,30.6
2017-11-25T00:00:56.415Z,,,,,0,,30.6
2017-11-25T00:01:06.230Z,,,,,0,,30.6
2017-11-25T00:01:16.231Z,,,,,0,,30.6
2017-11-25T00:01:26.233Z,,,,,0,,30.6
2017-11-25T00:01:36.231Z,,,,,0,,30.6
2017-11-25T00:01:46.234Z,,,,46.6,0,,30.6
2017-11-25T00:01:56.411Z,,,,,0,,30.6
2017-11-25T00:02:06.231Z,,,,,0,,30.6
2017-11-25T00:02:16.230Z,,,,,0,,30.6
2017-11-25T00:02:26.233Z,,,,,0,,30.4
2017-11-25T00:02:36.230Z,,,,46.5,0,,30.4
2017-11-25T00:02:46.233Z,,,,,0,,30.4
2017-11-25T00:02:56.312Z,,,,,0,,30.4
2017-11-25T00:03:06.231Z,,,,,0,,30.4
2017-11-25T00:03:16.230Z,,,,,0,,30.4
2017-11-25T00:03:26.240Z,,,,,0,,30.4
2017-11-25T00:03:36.231Z,,,,,0,,30.4
2017-11-25T00:03:46.234Z,,,,46.4,0,,30.3
2017-11-25T00:03:56.411Z,,,,,0,,30.4
2017-11-25T00:04:06.235Z,,,,,0,,30.3
2017-11-25T00:04:16.235Z,,,,,0,,30.3
2017-11-25T00:04:26.230Z,,,,,0,,30.3
2017-11-25T00:04:36.231Z,,,,,0,,30.3
2017-11-25T00:04:46.231Z,,,,46.3,0,,30.3
2017-11-25T00:04:56.311Z,,,,,0,,30.3
2017-11-25T00:05:06.231Z,,,,,0,,30.3
2017-11-25T00:05:16.236Z,,,,,0,,30.3
2017-11-25T00:05:26.235Z,,,,,0,,30.3
2017-11-25T00:05:36.235Z,,,,,0,,30.2
2017-11-25T00:05:46.231Z,,,,,0,,30.2
2017-11-25T00:05:56.313Z,,,,46.2,0,,30.2
2017-11-25T00:06:06.231Z,,,,,0,,30.2
2017-11-25T00:06:16.260Z,,,,,0,,30.2
2017-11-25T00:06:26.231Z,,,,,0,,30.2
2017-11-25T00:06:36.236Z,,,,,0,,30.1
2017-11-25T00:06:46.231Z,,,,,0,,30.2
2017-11-25T00:06:56.340Z,,,,46.1,0,,30.1
2017-11-25T00:07:06.234Z,,,,,0,,30.1
2017-11-25T00:07:16.231Z,,,,,0,,30.1
2017-11-25T00:07:26.236Z,,,,,0,,30.1
2017-11-25T00:07:36.237Z,,,,,0,,30.1
2017-11-25T00:07:46.236Z,,,,,0,,30.1
2017-11-25T00:07:56.316Z,,,,,0,,30.1
2017-11-25T00:08:06.231Z,,,,,0,,30.1
2017-11-25T00:08:16.231Z,,,,46,0,,30
2017-11-25T00:08:26.231Z,,,,,0,,30
2017-11-25T00:08:36.237Z,,,,,0,,30
2017-11-25T00:08:46.231Z,,,,,0,,30
2017-11-25T00:08:56.322Z,,,,,0,,30
2017-11-25T00:09:06.231Z,,,,,0,,30
2017-11-25T00:09:16.232Z,,,,45.9,0,,30
2017-11-25T00:09:26.231Z,,,,,0,,29.8
2017-11-25T00:09:36.237Z,,,,,0,,29.8
2017-11-25T00:09:46.231Z,,,,,0,,29.8
2017-11-25T00:09:56.312Z,,,,,0,,29.8
2017-11-25T00:10:06.232Z,,,,,0,,29.8
2017-11-25T00:10:16.232Z,,,,,0,,29.8
2017-11-25T00:10:26.234Z,,,,45.8,0,,29.8
2017-11-25T00:10:36.232Z,,,,,0,,29.8
2017-11-25T00:10:46.237Z,,,,,0,,29.7
2017-11-25T00:10:56.316Z,,,,,0,,29.7
2017-11-25T00:11:06.231Z,,,,,0,,29.7
2017-11-25T00:11:16.237Z,,,,,0,,29.7
2017-11-25T00:11:26.232Z,,,,,0,,29.7
2017-11-25T00:11:36.232Z,,,,45.7,0,,29.7
2017-11-25T00:11:46.232Z,,,,,0,,29.7
2017-11-25T00:11:56.312Z,,,,,0,,29.6
2017-11-25T00:12:06.232Z,,,,,0,,29.6
2017-11-25T00:12:16.232Z,,,,,0,,29.6
2017-11-25T00:12:26.238Z,,,,,0,,29.6
2017-11-25T00:12:36.232Z,,,,,0,,29.6
2017-11-25T00:12:46.239Z,,,,45.6,0,,29.6
2017-11-25T00:12:56.312Z,,,,,0,,29.6
2017-11-25T00:13:06.232Z,,,,,0,,29.6
2017-11-25T00:13:16.232Z,,,,,0,,29.5
2017-11-25T00:13:26.237Z,,,,,0,,29.5
2017-11-25T00:13:36.232Z,,,,,0,,29.5
2017-11-25T00:13:46.417Z,,,,,0,,29.5
2017-11-25T00:13:56.315Z,,,,,0,,29.5
2017-11-25T00:14:06.232Z,,,,45.5,0,,29.5
2017-11-25T00:14:16.232Z,,,,,0,,29.5
2017-11-25T00:14:26.232Z,,,,,0,,29.3
2017-11-25T00:14:36.234Z,,,,,0,,29.3
2017-11-25T00:14:46.240Z,,,,,0,,29.3
2017-11-25T00:14:56.316Z,,,,,0,,29.3
2017-11-25T00:15:06.232Z,,,,,0,,29.3
2017-11-25T00:15:16.232Z,,,,45.4,0,,29.3
2017-11-25T00:15:26.232Z,,,,,0,,29.3
2017-11-25T00:15:36.232Z,,,,,0,,29.2
2017-11-25T00:15:46.232Z,,,,,0,,29.2
2017-11-25T00:15:56.313Z,,,,,0,,29.2
2017-11-25T00:16:06.232Z,,,,,0,,29.2
2017-11-25T00:16:16.239Z,,,,,0,,29.2
2017-11-25T00:16:26.233Z,0,,2,45.6,0,57,29.2
2017-11-25T00:16:36.246Z,,35,,52.1,0,,29.1
2017-11-25T00:16:46.238Z,,29,,52.6,0,,29.2
2017-11-25T00:16:56.312Z,,30,,51,0,,29.1
2017-11-25T00:17:06.418Z,,29,,50.9,0,,29.1
2017-11-25T00:17:16.243Z,0,0,0,48.9,0,5,29.1
2017-11-25T00:17:26.233Z,0,45,2,44.5,0,57,29.1
2017-11-25T00:17:36.234Z,,35,,48.3,0,,29.1
2017-11-25T00:17:46.233Z,,30,,49.9,0,,29.1
2017-11-25T00:17:56.322Z,,29,,49.2,0,,29.1
