Time,PrimT,ChActive,HwTOutlet,PrimTSet,HwActive,HwTSet,ActPow
2017-11-27T00:00:06.902Z,43.7,,33.6,,,0,
2017-11-27T00:00:16.724Z,43.6,,33.6,,,0,
2017-11-27T00:00:26.721Z,43.5,,33.6,,,0,
2017-11-27T00:00:36.906Z,43.4,,33.5,,,0,
2017-11-27T00:00:46.736Z,43.2,,33.5,,,0,
2017-11-27T00:00:56.721Z,43.1,,33.5,,,0,
2017-11-27T00:01:06.730Z,42.9,,33.5,,,0,
2017-11-27T00:01:16.723Z,42.8,,33.5,,,0,
2017-11-27T00:01:26.725Z,42.7,,33.5,,,0,
2017-11-27T00:01:36.721Z,42.6,,33.4,,,0,
2017-11-27T00:01:46.722Z,42.3,,33.4,,,0,
2017-11-27T00:01:56.726Z,42.2,,33.4,,,0,
2017-11-27T00:02:06.957Z,42.1,,33.4,,,0,
2017-11-27T00:02:16.740Z,42.1,1,33.4,,0,0,45
2017-11-27T00:02:26.724Z,47.1,,33.3,,,0,35
2017-11-27T00:02:36.729Z,48.3,,33.3,,,0,29
2017-11-27T00:02:46.721Z,48.6,,33.3,,,0,
2017-11-27T00:02:56.729Z,48.7,,33.3,,,0,
2017-11-27T00:03:06.721Z,,,33.3,,,0,30
2017-11-27T00:03:16.721Z,,,33.2,,,0,29
2017-11-27T00:03:26.721Z,48.6,,33.2,,,0,
2017-11-27T00:03:36.721Z,,,33.2,,,0,
2017-11-27T00:03:46.721Z,,,33.2,,,0,
2017-11-27T00:03:56.722Z,,,33.2,,,0,
2017-11-27T00:04:06.888Z,49,,33.1,,,0,30
2017-11-27T00:04:16.721Z,49.1,,33.1,,,0,29
2017-11-27T00:04:26.887Z,49.4,,33.1,,,0,
2017-11-27T00:04:36.722Z,49.5,,33.1,,,0,
2017-11-27T00:04:46.721Z,49.4,,33.1,,,0,30
2017-11-27T00:04:56.722Z,49.5,,33.1,,,0,29
2017-11-27T00:05:06.724Z,49.8,,32.9,,,0,
2017-11-27T00:05:16.722Z,50.1,,32.9,,,0,30
2017-11-27T00:05:26.721Z,50.4,,32.9,,,0,
2017-11-27T00:05:36.727Z,50.6,,32.9,,,0,
2017-11-27T00:05:46.721Z,51,,32.9,,,0,29
2017-11-27T00:05:56.725Z,51.1,,32.9,,,0,
2017-11-27T00:06:06.724Z,51.4,,32.9,,,0,30
2017-11-27T00:06:16.721Z,51.5,,37.1,,,0,29
2017-11-27T00:06:26.721Z,51.6,,41.1,,,0,30
2017-11-27T00:06:36.721Z,51.8,,43.2,,,0,29
2017-11-27T00:06:46.723Z,51.9,1,45.1,,0,0,0
2017-11-27T00:06:56.723Z,48.9,,46.1,,,0,
2017-11-27T00:07:06.724Z,47.7,,46.5,,,0,
2017-11-27T00:07:16.722Z,46.6,,46.8,,,0,
2017-11-27T00:07:26.887Z,46.4,,46.7,,,0,
2017-11-27T00:07:36.722Z,,,46.5,,,0,
2017-11-27T00:07:46.727Z,46.5,,46.3,,,0,
