Time,PrimT,HwActive,ChActive,ActPow,HwTOutlet,PrimTSet,HwTSet
2017-11-28T00:00:07.046Z,,,,,35.6,,0
2017-11-28T00:00:17.018Z,37.6,,,,35.4,,0
2017-11-28T00:00:26.949Z,,,,,35.3,,0
2017-11-28T00:00:36.958Z,,,,,35.2,5,0
2017-11-28T00:00:46.951Z,,,,,35.1,,0
2017-11-28T00:00:56.951Z,,,,,34.9,,0
2017-11-28T00:01:06.943Z,37.5,,,,34.8,,0
2017-11-28T00:01:17.103Z,,,,,34.7,,0
2017-11-28T00:01:26.943Z,,,,,34.6,,0
2017-11-28T00:01:36.951Z,,,,,34.5,,0
2017-11-28T00:01:46.949Z,,,,,34.5,,0
2017-11-28T00:01:56.945Z,,,,,34.4,,0
2017-11-28T00:02:06.945Z,37.4,,,,34.3,,0
2017-11-28T00:02:17.060Z,,,,,34.2,,0
2017-11-28T00:02:26.945Z,,,,,34.1,,0
2017-11-28T00:02:36.960Z,,,,,34,,0
2017-11-28T00:02:46.947Z,,,,,33.9,,0
2017-11-28T00:02:56.944Z,,,,,33.8,,0
2017-11-28T00:03:06.950Z,,,,,33.8,,0
2017-11-28T00:03:17.044Z,,,,,33.7,,0
2017-11-28T00:03:26.944Z,,,,,33.6,,0
2017-11-28T00:03:36.945Z,,,,,33.5,,0
2017-11-28T00:03:46.952Z,,,,,33.4,,0
2017-11-28T00:03:56.950Z,,,,,33.3,,0
2017-11-28T00:04:07.041Z,,,,,33.3,,0
2017-11-28T00:04:17.048Z,37.5,,,,33.2,,0
2017-11-28T00:04:26.945Z,37.4,,,,33.1,,0
2017-11-28T00:04:36.950Z,37.5,,,,32.9,,0
2017-11-28T00:04:46.952Z,37.4,,,,32.9,,0
2017-11-28T00:04:56.949Z,37.5,,,,32.8,,0
2017-11-28T00:05:06.946Z,,,,,32.7,,0
2017-11-28T00:05:17.034Z,,,,,32.7,,0
2017-11-28T00:05:26.952Z,,,,,32.6,,0
2017-11-28T00:05:36.950Z,,,,,32.5,,0
2017-11-28T00:05:46.945Z,,,,,32.4,,0
2017-11-28T00:05:56.946Z,,,,,32.4,,0
2017-11-28T00:06:06.954Z,,,,,32.3,,0
2017-11-28T00:06:17.063Z,,,,,32.2,,0
2017-11-28T00:06:26.944Z,,,,,32.2,,0
2017-11-28T00:06:36.952Z,37.4,,,,32.1,,0
2017-11-28T00:06:46.943Z,,,,,32,,0
2017-11-28T00:06:56.944Z,,,,,32,,0
2017-11-28T00:07:07.524Z,,,,,31.9,,0
2017-11-28T00:07:17.106Z,,,,,31.8,,0
2017-11-28T00:07:26.953Z,,,,,31.8,,0
2017-11-28T00:07:36.947Z,,,,,31.6,,0
2017-11-28T00:07:46.960Z,,,,,31.5,,0
2017-11-28T00:07:56.946Z,,,,,31.5,,0
2017-11-28T00:08:06.953Z,,,,,31.4,,0
2017-11-28T00:08:17.038Z,,,,,31.4,,0
2017-11-28T00:08:26.945Z,,,,,31.3,,0
2017-11-28T00:08:36.957Z,37.5,0,2,45,31.2,57,0
2017-11-28T00:08:46.957Z,38.3,0,0,0,31.2,5,0
2017-11-28T00:08:56.948Z,33.8,,,,31,,0
2017-11-28T00:09:06.945Z,30.8,,,,31,,0
2017-11-28T00:09:17.037Z,29.2,0,2,44,30.9,57,0
2017-11-28T00:09:26.948Z,35.2,,,31,30.9,,0
2017-11-28T00:09:36.944Z,34.8,,,30,30.8,,0
2017-11-28T00:09:46.945Z,32.9,,,,30.8,,0
2017-11-28T00:09:56.945Z,32.7,,,29,30.7,,0
2017-11-28T00:10:06.948Z,32.5,,,30,30.7,,0
2017-11-28T00:10:17.037Z,,,,,30.6,,0
2017-11-28T00:10:27.132Z,32.7,,,29,30.6,,0
2017-11-28T00:10:36.954Z,33.1,,,29,30.6,,0
2017-11-28T00:10:46.946Z,33.4,,,30,30.4,,0
2017-11-28T00:10:56.946Z,34,,,29,30.4,,0
2017-11-28T00:11:06.947Z,34.1,,,32,30.3,,0
2017-11-28T00:11:17.117Z,36,,,43,30.3,,0
2017-11-28T00:11:26.949Z,37.1,,,48,30.2,,0
2017-11-28T00:11:36.957Z,39.1,,,55,30.2,,0
2017-11-28T00:11:46.949Z,41,,,62,30.2,,0
2017-11-28T00:11:56.950Z,42,,,67,30.1,,0
2017-11-28T00:12:06.947Z,43.1,,,70,30.1,,0
2017-11-28T00:12:17.037Z,45,,,77,30,,0
2017-11-28T00:12:26.945Z,46,,,80,30,,0
2017-11-28T00:12:36.947Z,47.1,,,83,30,,0
2017-11-28T00:12:46.949Z,48.1,,,86,30,,0
2017-11-28T00:12:56.948Z,49.1,,,89,29.8,,0
2017-11-28T00:13:06.947Z,50.2,,,91,29.8,,0
2017-11-28T00:13:17.050Z,51.3,,,93,29.8,,0
2017-11-28T00:13:26.947Z,53,,,95,29.7,,0
2017-11-28T00:13:36.952Z,54,,,96,29.7,,0
2017-11-28T00:13:46.946Z,54.5,,,97,29.7,,0
2017-11-28T00:13:56.966Z,56,,,97,29.7,,0
2017-11-28T00:14:06.950Z,56.4,,,,29.7,,0
2017-11-28T00:14:17.038Z,57.2,,,,29.6,,0
2017-11-28T00:14:26.950Z,58,,,91,29.6,,0
2017-11-28T00:14:36.950Z,57.9,,,80,29.6,,0
2017-11-28T00:14:46.951Z,57.8,,,76,29.6,,0
2017-11-28T00:14:56.948Z,57.3,,,71,29.6,,0
2017-11-28T00:15:06.945Z,,,,69,29.6,,0
2017-11-28T00:15:18.170Z,57.6,,,63,29.6,55,0
2017-11-28T00:15:26.948Z,56.8,,,44,29.6,,0
2017-11-28T00:15:36.961Z,54.9,,,35,29.6,,0
2017-11-28T00:15:46.955Z,54.6,,,,29.6,,0
2017-11-28T00:15:56.946Z,,,,,29.6,,0
2017-11-28T00:16:06.948Z,55,,,,29.5,,0
2017-11-28T00:16:17.232Z,55.3,,,34,29.6,,0
2017-11-28T00:16:26.949Z,55.4,,,31,29.6,,0
2017-11-28T00:16:36.948Z,55.3,,,30,29.6,,0
2017-11-28T00:16:46.947Z,55.5,,,29,29.6,,0
2017-11-28T00:16:56.951Z,55.6,,,,29.6,,0
2017-11-28T00:17:06.953Z,56,,,29,29.6,,0
2017-11-28T00:17:17.123Z,,,,30,29.6,,0
2017-11-28T00:17:26.950Z,56.2,,,,29.6,,0
2017-11-28T00:17:36.948Z,56.3,,,,29.6,,0
2017-11-28T00:17:46.949Z,56.4,,,29,29.6,,0
2017-11-28T00:17:56.948Z,,,,,29.6,,0
2017-11-28T00:18:06.949Z,56.5,,,,29.6,,0
2017-11-28T00:18:17.176Z,,,,,29.7,,0
2017-11-28T00:18:26.949Z,,,,30,29.7,,0
2017-11-28T00:18:36.948Z,56.6,,,,29.7,,0
2017-11-28T00:18:46.948Z,,,,,29.7,,0
2017-11-28T00:18:56.953Z,56.7,,,29,29.7,,0
2017-11-28T00:19:06.955Z,,,,,29.7,,0
2017-11-28T00:19:17.139Z,56.8,,,,29.7,,0
2017-11-28T00:19:26.959Z,56.9,,,30,29.8,,0
2017-11-28T00:19:36.947Z,57,,,29,29.8,,0
2017-11-28T00:19:47.161Z,,,,,29.8,,0
2017-11-28T00:20:02.037Z,57.1,,,30,29.8,,0
2017-11-28T00:20:06.947Z,57.2,,,,29.8,,0
2017-11-28T00:20:17.027Z,57.3,,,,29.8,,0
2017-11-28T00:20:26.951Z,,,,,30,,0
2017-11-28T00:20:36.950Z,,,,29,30,,0
2017-11-28T00:20:46.951Z,57.4,,,30,30,,0
2017-11-28T00:20:56.953Z,,,,29,30,,0
2017-11-28T00:21:06.946Z,57.6,,,,30,,0
2017-11-28T00:21:17.033Z,57.7,,,,30.1,,0
2017-11-28T00:21:26.946Z,,,,,30.1,,0
2017-11-28T00:21:36.946Z,57.8,,,,30.1,,0
2017-11-28T00:21:46.946Z,,,,30,30.1,,0
2017-11-28T00:21:57.076Z,57.9,,,29,30.1,,0
2017-11-28T00:22:06.951Z,58,,,29,30.2,,0
2017-11-28T00:22:17.154Z,,,,30,30.2,,0
2017-11-28T00:22:26.947Z,58.1,,,,30.2,,0
2017-11-28T00:22:36.954Z,,,,29,30.2,,0
2017-11-28T00:22:46.951Z,58.2,,,30,30.2,,0
2017-11-28T00:22:56.952Z,,,,29,30.3,,0
2017-11-28T00:23:06.947Z,58.3,,,,30.3,,0
2017-11-28T00:23:17.060Z,,,,30,30.3,,0
2017-11-28T00:23:26.946Z,58.4,,,29,30.3,,0
2017-11-28T00:23:37.176Z,58.5,,,,30.4,,0
2017-11-28T00:23:46.956Z,,,,,30.4,,0
2017-11-28T00:23:56.952Z,58.6,,,30,30.4,,0
2017-11-28T00:24:06.947Z,,,,29,30.4,,0
2017-11-28T00:24:17.052Z,58.7,,,,30.4,,0
2017-11-28T00:24:26.952Z,,,,,30.6,,0
2017-11-28T00:24:36.964Z,58.8,,,,30.6,,0
2017-11-28T00:24:46.949Z,58.9,,,30,30.6,,0
2017-11-28T00:24:56.959Z,,,,29,30.6,,0
2017-11-28T00:25:06.984Z,56.9,0,2,0,30.7,,0
2017-11-28T00:25:17.495Z,55.5,,,,30.7,,0
2017-11-28T00:25:26.954Z,54.7,,,,30.7,,0
2017-11-28T00:25:36.955Z,54.3,,,,30.7,,0
2017-11-28T00:25:46.959Z,54.1,,,,30.8,,0
2017-11-28T00:25:56.950Z,,,,,30.8,,0
2017-11-28T00:26:07.120Z,54,,,,30.8,,0
2017-11-28T00:26:17.007Z,53.9,,,,30.8,,0
2017-11-28T00:26:26.948Z,53.7,,,,30.8,,0
2017-11-28T00:26:36.949Z,53.5,,,,30.9,,0
2017-11-28T00:26:46.950Z,53.3,,,,30.9,,0
2017-11-28T00:26:56.948Z,53.1,,,,30.9,,0
2017-11-28T00:27:06.956Z,52.9,,,,30.9,,0
2017-11-28T00:27:17.375Z,52.7,,,,31,,0
2017-11-28T00:27:26.961Z,52.4,,,,31,,0
2017-11-28T00:27:36.953Z,52.1,,,,31,,0
2017-11-28T00:27:46.952Z,51.9,,,,31,,0
2017-11-28T00:27:56.951Z,51.6,,,,31,,0
2017-11-28T00:28:06.954Z,51.3,,,,31.2,,0
2017-11-28T00:28:17.099Z,51.1,,,,31.2,,0
2017-11-28T00:28:27.173Z,50.9,,,,31.2,,0
2017-11-28T00:28:36.956Z,50.6,,,,31.2,,0
2017-11-28T00:28:46.956Z,50.4,,,,31.2,,0
2017-11-28T00:28:56.952Z,50.2,,,,31.2,,0
2017-11-28T00:29:06.957Z,49.9,,,,31.3,,0
2017-11-28T00:29:17.040Z,49.8,,,,31.3,,0
2017-11-28T00:29:26.948Z,49.6,,,,31.3,,0
2017-11-28T00:29:36.953Z,49.4,,,,31.3,,0
2017-11-28T00:29:46.948Z,49.2,,,,31.3,,0
2017-11-28T00:29:56.948Z,49,,,,31.3,,0
2017-11-28T00:30:06.950Z,51.4,0,2,42,31.3,,0
2017-11-28T00:30:17.109Z,53.5,,,35,31.3,57,0
2017-11-28T00:30:26.958Z,53.8,,,29,31.4,,0
2017-11-28T00:30:36.953Z,53.7,,,,31.4,,0
2017-11-28T00:30:46.948Z,53.6,,,30,31.4,,0
2017-11-28T00:30:56.952Z,53.5,,,,31.4,,0
2017-11-28T00:31:06.955Z,,,,29,31.4,,0
2017-11-28T00:31:17.325Z,53.6,,,30,31.4,,0
2017-11-28T00:31:26.950Z,53.7,,,29,31.4,,0
2017-11-28T00:31:36.949Z,53.8,,,,31.5,,0
2017-11-28T00:31:46.950Z,54,,,30,31.5,,0
2017-11-28T00:31:56.948Z,54.3,,,,31.5,,0
2017-11-28T00:32:06.951Z,54.5,,,31,31.5,,0
2017-11-28T00:32:17.219Z,54.7,,,,31.6,,0
2017-11-28T00:32:26.956Z,54.8,,,32,31.6,,0
2017-11-28T00:32:36.951Z,55.1,,,,31.6,,0
2017-11-28T00:32:46.954Z,55.4,,,,31.6,,0
2017-11-28T00:32:56.949Z,55.6,,,33,31.8,,0
2017-11-28T00:33:06.993Z,56,,,,31.8,,0
2017-11-28T00:33:17.089Z,56.1,,,,31.8,,0
2017-11-28T00:33:26.948Z,56.3,,,,31.8,,0
2017-11-28T00:33:36.953Z,56.4,,,,31.8,,0
2017-11-28T00:33:46.949Z,56.6,,,,31.8,,0
2017-11-28T00:33:56.949Z,56.7,,,,31.9,,0
2017-11-28T00:34:06.949Z,56.9,,,,31.9,,0
2017-11-28T00:34:17.058Z,57,,,,31.9,,0
2017-11-28T00:34:26.953Z,57.1,,,,31.9,,0
2017-11-28T00:34:36.960Z,57.2,,,32,31.9,,0
2017-11-28T00:34:46.949Z,,,,30,31.9,,0
2017-11-28T00:34:56.952Z,57.1,,,,31.9,,0
2017-11-28T00:35:06.950Z,57.2,0,2,30,32,57,0
2017-11-28T00:35:17.098Z,57.4,,,,32,,0
2017-11-28T00:35:26.948Z,57.6,,,,32,,0
2017-11-28T00:35:36.949Z,57.8,,,29,32,,0
2017-11-28T00:35:46.955Z,58,,,29,32.1,,0
2017-11-28T00:35:56.951Z,58.1,,,,32.1,,0
2017-11-28T00:36:06.950Z,58.2,,,,32.1,,0
2017-11-28T00:36:17.065Z,58.3,,,,32.1,,0
2017-11-28T00:36:26.951Z,58.4,,,,32.2,,0
2017-11-28T00:36:36.957Z,58.5,,,30,32.2,,0
2017-11-28T00:36:46.949Z,58.6,,,,32.2,,0
2017-11-28T00:36:56.951Z,58.7,,,,32.2,,0
2017-11-28T00:37:06.957Z,58.8,,,29,32.2,,0
2017-11-28T00:37:17.048Z,59,,,30,32.3,,0
2017-11-28T00:37:26.952Z,59.1,,,,32.3,,0
2017-11-28T00:37:36.955Z,59.3,,,29,32.3,,0
2017-11-28T00:37:46.949Z,59.4,,,30,32.3,,0
2017-11-28T00:37:56.949Z,59.5,,,,32.3,,0
2017-11-28T00:38:06.953Z,59.6,,,29,32.3,,0
2017-11-28T00:38:17.099Z,59.7,,,,32.4,,0
2017-11-28T00:38:26.949Z,59.8,,,,32.4,,0
2017-11-28T00:38:36.959Z,58.7,0,0,0,32.4,5,0
2017-11-28T00:38:46.949Z,56.8,0,2,,32.4,57,0
2017-11-28T00:38:56.951Z,55.7,0,0,,32.4,5,0
2017-11-28T00:39:06.949Z,54.9,,,,32.5,,0
2017-11-28T00:39:17.034Z,54.8,,,,32.5,,0
2017-11-28T00:39:26.956Z,55,0,2,45,32.5,57,0
2017-11-28T00:39:36.961Z,61.4,,,0,32.5,,0
2017-11-28T00:39:46.950Z,57.9,0,0,,32.5,5,0
2017-11-28T00:39:56.950Z,55.9,,,,32.5,,0
2017-11-28T00:40:06.949Z,55,,,,32.6,,0
2017-11-28T00:40:17.029Z,54.7,,,,32.6,,0
2017-11-28T00:40:26.957Z,55.2,0,2,44,32.6,57,0
2017-11-28T00:40:37.132Z,61.3,,,0,32.6,,0
