Time,HwTSet,ActPow,ChActive,PrimT,HwTOutlet,PrimTSet,HwActive
2017-11-29T00:00:07.183Z,0,,,50.5,51,,
2017-11-29T00:00:17.184Z,0,,,50.4,49.2,,
2017-11-29T00:00:27.185Z,0,,,50.3,45.7,,
2017-11-29T00:00:37.183Z,0,,,,41.5,,
2017-11-29T00:00:47.184Z,0,,,50.2,37.7,,
2017-11-29T00:00:57.184Z,0,,,50.1,34.5,,
2017-11-29T00:01:07.187Z,0,,,50,32.4,,
2017-11-29T00:01:17.189Z,0,,,,32.1,,
2017-11-29T00:01:27.184Z,0,,,,32.1,,
2017-11-29T00:01:37.183Z,0,,,,32.1,,
2017-11-29T00:01:47.187Z,0,,,50.1,32.1,,
2017-11-29T00:01:57.197Z,0,,,,32,,
2017-11-29T00:02:07.189Z,0,,,,32,,
2017-11-29T00:02:17.197Z,0,,,50.2,32,,
2017-11-29T00:02:27.185Z,0,,,,31.9,,
2017-11-29T00:02:37.203Z,0,,,,31.8,,
2017-11-29T00:02:47.189Z,0,45,1,51,31.8,62,0
2017-11-29T00:02:57.214Z,0,33,,58.2,31.6,,
2017-11-29T00:03:07.190Z,0,30,,60.8,31.5,,
2017-11-29T00:03:17.215Z,0,0,0,58.8,31.4,5,0
2017-11-29T00:03:27.187Z,0,45,1,53.7,31.3,62,0
2017-11-29T00:03:37.186Z,0,33,,58.2,31.2,,
2017-11-29T00:03:47.188Z,0,29,,61.4,31,,
2017-11-29T00:03:57.184Z,0,,,60.9,31,,
2017-11-29T00:04:07.185Z,0,30,,60.5,30.9,,
2017-11-29T00:04:17.185Z,0,29,,60.4,30.8,,
2017-11-29T00:04:27.185Z,0,30,,60.5,30.8,,
2017-11-29T00:04:37.186Z,0,,,60.6,30.7,,
2017-11-29T00:04:47.186Z,0,,,60.7,30.6,,
2017-11-29T00:04:57.185Z,0,29,,,30.4,,
2017-11-29T00:05:07.188Z,0,30,,60.9,30.4,,
2017-11-29T00:05:17.186Z,0,29,,60.7,30.3,,
2017-11-29T00:05:27.185Z,0,30,,61.2,30.3,,
2017-11-29T00:05:37.185Z,0,30,,62,30.2,,
2017-11-29T00:05:47.186Z,0,,,62.6,30.2,,
2017-11-29T00:05:57.185Z,0,29,,63.1,30.2,,
2017-11-29T00:06:07.186Z,0,30,,64,30.2,,
2017-11-29T00:06:17.185Z,0,29,,64.7,30.1,,
2017-11-29T00:06:27.186Z,0,,,65.2,30.1,,
2017-11-29T00:06:37.185Z,0,0,1,66.1,30.1,,0
2017-11-29T00:06:47.184Z,0,,,61.8,30.1,,
2017-11-29T00:06:57.187Z,0,,,58.8,30.1,,
2017-11-29T00:07:07.356Z,0,,,57.4,30.1,,
2017-11-29T00:07:17.407Z,0,,,56.5,30.1,,
2017-11-29T00:07:27.195Z,0,,,55.7,30.1,,
2017-11-29T00:07:37.355Z,0,,,55.3,30.1,,
2017-11-29T00:07:47.359Z,0,,,54.9,30.1,,
2017-11-29T00:07:57.185Z,0,,,,30.2,,
2017-11-29T00:08:07.185Z,0,,,,30.2,,
2017-11-29T00:08:17.187Z,0,,,55,30.2,,
2017-11-29T00:08:27.188Z,0,,1,55.1,30.2,,0
2017-11-29T00:08:37.251Z,0,33,,62.1,30.2,,
