Time,PrimTSet,ActPow,ChActive,PrimT,HwTOutlet,HwTSet,HwActive
2017-12-01T00:00:07.666Z,,,,64.4,33.5,0,
2017-12-01T00:00:17.667Z,,30,,65.1,33.5,0,
2017-12-01T00:00:27.746Z,,,,,33.5,0,
2017-12-01T00:00:37.666Z,,29,,65.6,33.5,0,
2017-12-01T00:00:47.667Z,,0,1,63.5,33.5,0,0
2017-12-01T00:00:57.667Z,,,,59.8,33.5,0,
2017-12-01T00:01:07.666Z,,,,57.8,33.5,0,
2017-12-01T00:01:17.832Z,,,,56.9,33.5,0,
2017-12-01T00:01:27.765Z,,,,56.4,33.5,0,
2017-12-01T00:01:37.680Z,,45,1,56.1,33.5,0,0
2017-12-01T00:01:47.669Z,,34,,62.1,33.5,0,
2017-12-01T00:01:57.667Z,,29,,65.1,33.5,0,
2017-12-01T00:02:07.666Z,,0,1,66,33.5,0,0
2017-12-01T00:02:17.670Z,,,,61.9,33.6,0,
2017-12-01T00:02:27.747Z,,,,59.9,33.6,0,
2017-12-01T00:02:37.825Z,,,,58.4,33.6,0,
2017-12-01T00:02:47.669Z,,,,57.8,33.6,0,
2017-12-01T00:02:57.667Z,,,,56.9,33.6,0,
2017-12-01T00:03:07.824Z,,,,56.5,33.6,0,
2017-12-01T00:03:17.780Z,,,,55.7,33.7,0,
2017-12-01T00:03:28.322Z,,,,54.9,33.7,0,
2017-12-01T00:03:43.498Z,,,,53.9,33.7,0,
2017-12-01T00:03:47.674Z,,,,53.7,33.7,0,
2017-12-01T00:03:57.679Z,,,,53.6,33.7,0,
2017-12-01T00:04:07.668Z,,,,54,33.7,0,
2017-12-01T00:04:17.667Z,,,,54.3,33.8,0,
2017-12-01T00:04:27.751Z,,,,54.5,33.8,0,
2017-12-01T00:04:37.667Z,,,,54.6,33.8,0,
2017-12-01T00:04:47.668Z,,,,54.5,33.8,0,
2017-12-01T00:04:57.672Z,,,,53.9,33.8,0,
2017-12-01T00:05:07.667Z,,,,53.7,33.8,0,
2017-12-01T00:05:17.668Z,,,,53.3,33.8,0,
2017-12-01T00:05:27.757Z,,,,52.9,33.8,0,
2017-12-01T00:05:37.667Z,,,,52.3,33.8,0,
2017-12-01T00:05:47.670Z,,,,51.8,33.8,0,
2017-12-01T00:05:57.667Z,,,,51.5,33.8,0,
2017-12-01T00:06:07.667Z,,,,51.1,33.8,0,
2017-12-01T00:06:17.667Z,,,,50.9,33.8,0,
2017-12-01T00:06:27.760Z,,,,50.5,33.8,0,
2017-12-01T00:06:37.827Z,,45,1,50.4,33.8,0,0
2017-12-01T00:06:47.668Z,,34,,57,33.8,0,
2017-12-01T00:06:57.671Z,,29,,60,33.8,0,
2017-12-01T00:07:07.667Z,,30,,61.1,33.8,0,
2017-12-01T00:07:17.668Z,,30,,62,33.8,0,
2017-12-01T00:07:27.758Z,,29,,,33.8,0,
2017-12-01T00:07:37.672Z,,30,,62.6,33.8,0,
2017-12-01T00:07:47.668Z,,29,,62.8,33.8,0,
2017-12-01T00:07:57.668Z,,30,,62.9,33.8,0,
2017-12-01T00:08:07.668Z,,30,,63.2,33.7,0,
2017-12-01T00:08:17.668Z,,30,,62.7,33.7,0,
2017-12-01T00:08:27.808Z,,,,,33.8,0,
2017-12-01T00:08:37.667Z,,,,,33.7,0,
2017-12-01T00:08:47.668Z,,30,,63.2,33.7,0,
2017-12-01T00:08:57.671Z,,29,,62.8,33.7,0,
2017-12-01T00:09:07.670Z,,29,,63.1,33.7,0,
2017-12-01T00:09:17.684Z,,30,,63.5,33.7,0,
2017-12-01T00:09:27.791Z,,30,,65.1,33.7,0,
2017-12-01T00:09:37.676Z,,0,1,65.9,33.7,0,0
2017-12-01T00:09:47.723Z,,,,61.9,33.7,0,
2017-12-01T00:09:57.668Z,,,,58.9,33.7,0,
2017-12-01T00:10:07.677Z,,,,57.6,33.7,0,
2017-12-01T00:10:17.673Z,,,,56.8,33.7,0,
2017-12-01T00:10:27.806Z,,,,56.4,33.7,0,
2017-12-01T00:10:37.673Z,,,,56.1,33.7,0,
2017-12-01T00:10:47.678Z,,,,55.9,33.7,0,
2017-12-01T00:11:03.589Z,,,,,33.7,0,
2017-12-01T00:11:07.675Z,,,,,33.7,0,
2017-12-01T00:11:17.685Z,,,,,33.7,0,
2017-12-01T00:11:28.906Z,,,,,33.7,0,
2017-12-01T00:11:38.419Z,,44,1,56.1,33.7,0,0
2017-12-01T00:11:47.672Z,,33,,63.5,33.7,0,
2017-12-01T00:11:57.681Z,,0,1,66.5,33.7,0,0
2017-12-01T00:12:07.671Z,,,,62.9,33.7,0,
2017-12-01T00:12:17.867Z,,,,59.9,33.6,0,
2017-12-01T00:12:28.909Z,,,,57.8,33.7,0,
2017-12-01T00:12:37.685Z,,,,56.9,33.6,0,
2017-12-01T00:12:47.675Z,,,,55.7,33.6,0,
2017-12-01T00:12:57.689Z,,,,54.9,33.6,0,
2017-12-01T00:13:07.674Z,,,,53.9,33.6,0,
2017-12-01T00:13:17.674Z,,,,53.4,33.6,0,
2017-12-01T00:13:27.773Z,,,,52.9,33.6,0,
2017-12-01T00:13:37.673Z,,,,52.4,33.6,0,
2017-12-01T00:13:52.701Z,,,,51.9,33.6,0,
2017-12-01T00:13:57.675Z,,,,,33.5,0,
2017-12-01T00:14:13.054Z,0,,0,,35.3,0,2
2017-12-01T00:14:17.693Z,,40,,53.6,35.4,54,
