Time,PrimT,HwActive,ActPow,PrimTSet,ChActive,HwTOutlet,HwTSet
2017-12-02T00:00:00.905Z,56.7,,,,,35.3,0
2017-12-02T00:00:10.903Z,54.8,,,,,35.3,0
2017-12-02T00:00:20.904Z,53.9,,,,,35.3,0
2017-12-02T00:00:31.032Z,52.9,,,,,35.3,0
2017-12-02T00:00:40.905Z,51.9,,,,,35.3,0
2017-12-02T00:00:50.902Z,51.5,,,,,35.2,0
2017-12-02T00:01:00.903Z,51.1,,,,,35.2,0
2017-12-02T00:01:10.902Z,51,,,,,35.2,0
2017-12-02T00:01:20.903Z,51.4,,,,,35.2,0
2017-12-02T00:01:30.930Z,52,,,,,35.2,0
2017-12-02T00:01:40.914Z,53,,,,,35.2,0
2017-12-02T00:01:50.909Z,54,,,,,35.1,0
2017-12-02T00:02:00.905Z,54.1,,,,,35.1,0
2017-12-02T00:02:10.915Z,55,,,,,35.1,0
2017-12-02T00:02:20.915Z,55.3,,,,,35.1,0
2017-12-02T00:02:30.904Z,54.9,,,,,35.1,0
2017-12-02T00:02:40.914Z,54.8,,,,,35.1,0
2017-12-02T00:02:51.038Z,53.9,,,,,35.1,0
2017-12-02T00:03:00.903Z,52.9,,,,,35.1,0
2017-12-02T00:03:10.903Z,51.9,,,,,35.1,0
2017-12-02T00:03:20.907Z,51.3,,,,,34.9,0
2017-12-02T00:03:30.904Z,53.1,0,41,,2,,
2017-12-02T00:03:40.905Z,60.1,,29,,,34.9,0
2017-12-02T00:03:50.903Z,61.1,,,,,34.9,0
2017-12-02T00:04:00.903Z,62.1,,30,,,34.9,0
2017-12-02T00:04:10.902Z,63.3,,29,,,34.9,0
2017-12-02T00:04:20.904Z,64.1,,30,,,34.8,0
2017-12-02T00:04:30.902Z,65.1,,,,,34.8,0
2017-12-02T00:04:40.902Z,65.9,,0,,,34.8,0
2017-12-02T00:04:50.905Z,62.8,0,,,2,34.8,0
2017-12-02T00:05:00.905Z,58.6,,,,,34.8,0
2017-12-02T00:05:10.903Z,55.9,,,,,34.8,0
2017-12-02T00:05:20.906Z,54.8,,,,,34.8,0
2017-12-02T00:05:30.903Z,53.9,,,,,34.8,0
2017-12-02T00:05:40.903Z,52.9,,,,,34.8,0
2017-12-02T00:05:50.908Z,51.9,,,,,34.7,0
2017-12-02T00:06:00.903Z,51.7,,,,,34.7,0
2017-12-02T00:06:10.903Z,51.6,,,,,34.7,0
2017-12-02T00:06:20.917Z,52,,,,,34.7,0
2017-12-02T00:06:30.907Z,52.3,,,,,34.7,0
2017-12-02T00:06:40.907Z,53,,,,,34.7,0
2017-12-02T00:06:50.918Z,54,,,,,34.7,0
2017-12-02T00:07:00.912Z,54.3,,,,,34.7,0
2017-12-02T00:07:10.918Z,55,,,,,34.7,0
2017-12-02T00:07:20.905Z,55.3,,,,,34.7,0
2017-12-02T00:07:30.905Z,55.5,,,,,34.7,0
2017-12-02T00:07:40.904Z,54.9,,,,,34.8,0
2017-12-02T00:07:50.909Z,54.7,,,,,34.8,0
2017-12-02T00:08:00.914Z,53.9,,,,,34.8,0
2017-12-02T00:08:15.925Z,52.9,,,,,34.8,0
2017-12-02T00:08:20.913Z,51.9,,,,,34.8,0
2017-12-02T00:08:30.912Z,54.5,0,40,,2,34.8,0
2017-12-02T00:08:40.913Z,60,,30,,,34.8,0
2017-12-02T00:08:50.910Z,62,,30,,,34.8,0
2017-12-02T00:09:00.910Z,63.1,,29,,,34.8,0
2017-12-02T00:09:10.905Z,64,,,,,34.8,0
2017-12-02T00:09:20.923Z,65.1,,,,,34.8,0
2017-12-02T00:09:30.936Z,65.2,,,,,34.8,0
2017-12-02T00:09:40.925Z,66,,0,,,34.8,0
