Time,HwActive,HwTSet,ActPow,HwTOutlet,ChActive,PrimTSet,PrimT
2017-12-04T00:00:01.365Z,,0,,30.7,,,
2017-12-04T00:00:11.367Z,,0,,30.6,,,
2017-12-04T00:00:21.364Z,,0,,30.6,,,
2017-12-04T00:00:31.364Z,,0,,30.6,,,
2017-12-04T00:00:41.365Z,,0,,30.6,,,
2017-12-04T00:00:51.364Z,,0,,30.6,,,
2017-12-04T00:01:01.365Z,,0,,30.4,,,40.6
2017-12-04T00:01:11.365Z,,0,,30.6,,,
2017-12-04T00:01:21.365Z,,0,,30.4,,,
2017-12-04T00:01:31.365Z,,0,,30.4,,,
2017-12-04T00:01:41.365Z,,0,,30.4,,,
2017-12-04T00:01:51.364Z,,0,,30.4,,,
2017-12-04T00:02:01.366Z,,0,,30.4,,,
2017-12-04T00:02:11.365Z,,0,,30.4,,,
2017-12-04T00:02:21.368Z,,0,,30.3,,,
2017-12-04T00:02:31.389Z,,0,,30.3,,,
2017-12-04T00:02:41.365Z,,0,,30.3,,,
2017-12-04T00:02:51.365Z,,0,,30.3,,,
2017-12-04T00:03:01.372Z,,0,,30.3,,,40.5
2017-12-04T00:03:11.365Z,,0,,30.3,,,
2017-12-04T00:03:21.365Z,,0,,30.2,,,
2017-12-04T00:03:31.368Z,,0,,30.2,,,
2017-12-04T00:03:41.372Z,,0,,30.2,,,
2017-12-04T00:03:51.365Z,,0,,30.2,,,
2017-12-04T00:04:01.365Z,,0,,30.2,,,
2017-12-04T00:04:11.369Z,,0,,30.1,,,
2017-12-04T00:04:31.365Z,,0,,30.1,,,
2017-12-04T00:04:41.368Z,,0,,30.1,,,
2017-12-04T00:04:51.370Z,,0,,30.1,,,
2017-12-04T00:05:01.366Z,,0,,30.1,,,40.4
2017-12-04T00:05:11.365Z,,0,,30.1,,,
2017-12-04T00:05:21.365Z,,0,,30,,,
2017-12-04T00:05:41.367Z,,0,,30,,,
2017-12-04T00:05:51.368Z,,0,,30,,,
2017-12-04T00:06:01.365Z,,0,,30,,,
2017-12-04T00:06:11.366Z,,0,,29.8,,,
2017-12-04T00:06:21.368Z,,0,,29.8,,,
2017-12-04T00:06:31.365Z,,0,,29.8,,,
2017-12-04T00:06:41.368Z,,0,,29.8,,,
2017-12-04T00:06:51.369Z,,0,,29.8,,,40.3
2017-12-04T00:07:01.365Z,,0,,29.8,,,
2017-12-04T00:07:11.366Z,,0,,29.8,,,
2017-12-04T00:07:21.370Z,,0,,29.7,,,
2017-12-04T00:07:31.367Z,,0,,29.7,,,
2017-12-04T00:07:41.366Z,,0,,29.7,,,
2017-12-04T00:07:51.369Z,,0,,29.7,,,
2017-12-04T00:08:01.367Z,,0,,29.7,,,
2017-12-04T00:08:11.521Z,,0,,29.6,,,
2017-12-04T00:08:31.369Z,,0,,29.6,,,
2017-12-04T00:08:41.372Z,,0,,29.6,,,
2017-12-04T00:08:51.368Z,,0,,29.6,,,
2017-12-04T00:09:01.369Z,,0,,29.6,,,
2017-12-04T00:09:11.366Z,,0,,29.6,,,40.2
2017-12-04T00:09:21.370Z,,0,,29.5,,,
2017-12-04T00:09:41.372Z,,0,,29.5,,,
2017-12-04T00:09:51.366Z,,0,,29.5,,,
2017-12-04T00:10:01.371Z,,0,,29.5,,,
2017-12-04T00:10:21.368Z,,0,,29.5,,,
2017-12-04T00:10:31.366Z,,0,,29.3,,,
2017-12-04T00:10:41.370Z,,0,,29.3,,,
2017-12-04T00:11:01.367Z,,0,,29.3,,,40.1
2017-12-04T00:11:11.367Z,,0,,29.3,,,
2017-12-04T00:11:21.366Z,,0,,29.3,,,
2017-12-04T00:11:31.371Z,,0,,29.3,,,
2017-12-04T00:11:51.366Z,,0,,29.2,,,
2017-12-04T00:12:01.370Z,,0,,29.2,,,
2017-12-04T00:12:11.367Z,,0,,29.2,,,
2017-12-04T00:12:21.369Z,,0,,29.2,,,
2017-12-04T00:12:41.626Z,,0,,29.2,,,
2017-12-04T00:12:51.368Z,,0,,29.1,,,
2017-12-04T00:13:01.367Z,,0,,29.1,,,
2017-12-04T00:13:11.367Z,,0,,29.1,,,40
2017-12-04T00:13:21.367Z,,0,,29.1,,,
2017-12-04T00:13:31.366Z,,0,,29.1,,,
2017-12-04T00:13:41.368Z,,0,,29.1,,,
2017-12-04T00:13:51.369Z,,0,,29.1,,,
2017-12-04T00:14:01.366Z,,0,,29,,,
2017-12-04T00:14:11.367Z,,0,,29,,,
2017-12-04T00:14:31.366Z,,0,,29,,,
2017-12-04T00:14:41.369Z,,0,,29,,,
2017-12-04T00:14:51.367Z,,,,,,,40
2017-12-04T00:15:01.469Z,,0,,29,,,39.9
2017-12-04T00:15:11.367Z,,0,,28.9,,,
2017-12-04T00:15:31.367Z,,0,,28.9,,,
2017-12-04T00:15:41.367Z,,0,,28.9,,,
2017-12-04T00:15:51.367Z,,0,,28.9,,,
2017-12-04T00:16:01.367Z,,0,,28.9,,,
2017-12-04T00:16:11.368Z,,0,,28.7,,,
2017-12-04T00:16:31.368Z,,0,,28.7,,,
2017-12-04T00:16:41.367Z,,0,,28.7,,,
2017-12-04T00:17:01.367Z,,0,,28.7,,,39.8
