Time,PrimT,HwTSet,PrimTSet,ChActive,HwTOutlet,ActPow,HwActive
2017-12-11T00:00:07.850Z,51.9,0,,,30,,
2017-12-11T00:00:17.848Z,,0,,,30,,
2017-12-11T00:00:27.849Z,,0,,,30,,
2017-12-11T00:00:37.850Z,,0,,,30,,
2017-12-11T00:00:48.049Z,,0,,,29.8,,
2017-12-11T00:00:57.850Z,,0,,,29.8,,
2017-12-11T00:01:07.849Z,,0,,,29.8,,
2017-12-11T00:01:17.849Z,51.8,0,,,29.8,,
2017-12-11T00:01:27.849Z,,0,,,29.7,,
2017-12-11T00:01:37.850Z,,0,,,29.7,,
2017-12-11T00:01:47.955Z,,0,,,29.7,,
2017-12-11T00:01:57.849Z,,0,,,29.7,,
2017-12-11T00:02:07.857Z,51.7,0,,,29.6,,
2017-12-11T00:02:17.849Z,,0,,,29.6,,
2017-12-11T00:02:27.849Z,,0,,,29.6,,
2017-12-11T00:02:37.951Z,,0,,,29.6,,
2017-12-11T00:02:47.929Z,,0,,,29.5,,
2017-12-11T00:02:57.849Z,,0,,,29.5,,
2017-12-11T00:03:07.851Z,51.6,0,,,29.5,,
2017-12-11T00:03:17.851Z,,0,,,29.5,,
2017-12-11T00:03:27.850Z,,0,,,29.5,,
2017-12-11T00:03:37.849Z,,0,,,29.3,,
2017-12-11T00:03:47.934Z,,0,,,29.3,,
2017-12-11T00:03:57.850Z,51.5,0,,,29.3,,
2017-12-11T00:04:07.853Z,,0,,,29.2,,
2017-12-11T00:04:17.849Z,,0,,,29.2,,
2017-12-11T00:04:27.850Z,,0,,,29.2,,
2017-12-11T00:04:37.852Z,,0,,,29.2,,
2017-12-11T00:04:47.940Z,,0,,,29.2,,
2017-12-11T00:04:57.850Z,51.4,0,,,29.2,,
2017-12-11T00:05:07.855Z,,0,,,29.1,,
2017-12-11T00:05:17.850Z,,0,,,29.1,,
2017-12-11T00:05:27.850Z,,0,,,29.1,,
2017-12-11T00:05:37.850Z,,0,,,29.1,,
2017-12-11T00:05:47.930Z,51.3,0,,,29,,
2017-12-11T00:05:57.850Z,,0,,,29,,
2017-12-11T00:06:07.853Z,,0,,,29,,
2017-12-11T00:06:17.850Z,,0,,,29,,
2017-12-11T00:06:27.850Z,,0,,,28.9,,
2017-12-11T00:06:37.851Z,,0,,,28.9,,
2017-12-11T00:06:47.939Z,51.2,0,,,28.9,,
2017-12-11T00:06:58.096Z,,0,,,28.9,,
2017-12-11T00:07:07.851Z,,0,,,28.7,,
2017-12-11T00:07:17.857Z,,0,,,28.7,,
2017-12-11T00:07:27.849Z,,0,,,28.7,,
2017-12-11T00:07:37.850Z,51.1,0,,,28.7,,
2017-12-11T00:07:48.010Z,,0,,,28.7,,
2017-12-11T00:07:57.851Z,,0,,,28.6,,
2017-12-11T00:08:07.850Z,,0,,,28.6,,
2017-12-11T00:08:17.851Z,,0,,,28.6,,
2017-12-11T00:08:27.861Z,,0,,,28.6,,
2017-12-11T00:08:37.850Z,51,0,,,28.5,,
2017-12-11T00:08:47.991Z,,0,,,28.5,,
2017-12-11T00:08:57.850Z,,0,,,28.5,,
2017-12-11T00:09:07.851Z,,0,,,28.5,,
2017-12-11T00:09:17.853Z,,0,,,28.4,,
2017-12-11T00:09:27.851Z,51,0,,,28.4,,
2017-12-11T00:09:37.852Z,50.9,0,,,28.4,,
2017-12-11T00:09:48.037Z,,0,,,28.4,,
2017-12-11T00:09:57.851Z,,0,,,28.4,,
2017-12-11T00:10:07.851Z,,0,,,28.4,,
2017-12-11T00:10:17.857Z,,0,,,28.3,,
2017-12-11T00:10:27.850Z,50.7,0,,,28.3,,
2017-12-11T00:10:37.850Z,,0,,,28.3,,
2017-12-11T00:10:48.064Z,,0,,,28.3,,
2017-12-11T00:10:57.851Z,,0,,,28.3,,
2017-12-11T00:11:07.851Z,,0,,,28.1,,
2017-12-11T00:11:17.850Z,,0,,,28.1,,
2017-12-11T00:11:37.851Z,50.6,0,,,28.1,,
2017-12-11T00:11:47.931Z,,0,,,28,,
2017-12-11T00:11:57.851Z,,0,,,28,,
2017-12-11T00:12:07.851Z,,0,,,28,,
2017-12-11T00:12:17.851Z,,0,,,28,,
2017-12-11T00:12:27.852Z,50.5,0,,,28,,
2017-12-11T00:12:37.851Z,,0,,,27.9,,
2017-12-11T00:12:48.041Z,,0,,,27.9,,
2017-12-11T00:12:57.851Z,,0,,,27.9,,
2017-12-11T00:13:07.851Z,,0,,,27.9,,
2017-12-11T00:13:17.857Z,,0,,,27.9,,
2017-12-11T00:13:27.870Z,50.4,0,,,27.8,,
2017-12-11T00:13:37.851Z,,0,,,27.8,,
2017-12-11T00:13:48.041Z,,0,,,27.8,,
2017-12-11T00:13:57.851Z,,0,,,27.8,,
2017-12-11T00:14:07.852Z,,0,,,27.8,,
2017-12-11T00:14:17.852Z,,0,,,27.7,,
2017-12-11T00:14:27.851Z,50.3,0,,,27.7,,
2017-12-11T00:14:37.852Z,,0,,,27.7,,
2017-12-11T00:14:48.071Z,,0,,,27.7,,
2017-12-11T00:14:57.852Z,,0,,,27.5,,
2017-12-11T00:15:07.851Z,,0,,,27.5,,
