Time,HwTSet,ChActive,HwTOutlet,ActPow,HwActive,PrimT,PrimTSet
2017-12-14T00:00:08.456Z,0,,46.7,,,53.8,
2017-12-14T00:00:18.458Z,0,,46.5,,,,
2017-12-14T00:00:28.456Z,0,,46.4,,,53.7,
2017-12-14T00:00:38.456Z,0,,46.1,,,53.6,
2017-12-14T00:00:48.578Z,0,,45.9,,,,5
2017-12-14T00:00:58.457Z,0,,45.8,,,53.5,
2017-12-14T00:01:08.456Z,0,,45.6,,,,
2017-12-14T00:01:18.456Z,0,,45.4,,,53.4,
2017-12-14T00:01:28.456Z,0,,45.2,,,,
2017-12-14T00:01:38.455Z,0,,45,,,53.3,
2017-12-14T00:01:48.537Z,0,,44.8,,,,
2017-12-14T00:01:58.456Z,0,,44.6,,,,
2017-12-14T00:02:08.456Z,0,,44.3,,,,
2017-12-14T00:02:18.456Z,0,,44.1,,,53.2,
2017-12-14T00:02:28.456Z,0,,43.9,,,,
2017-12-14T00:02:38.456Z,0,,43.7,,,,
2017-12-14T00:02:48.536Z,0,,43.5,,,,
2017-12-14T00:02:58.456Z,0,,43.3,,,53.1,
2017-12-14T00:03:08.458Z,0,,43.1,,,,
2017-12-14T00:03:18.456Z,0,,42.9,,,,
2017-12-14T00:03:28.456Z,0,,42.7,,,53,
2017-12-14T00:03:38.457Z,0,,42.6,,,,
2017-12-14T00:03:48.549Z,0,,42.4,,,,
2017-12-14T00:03:58.457Z,0,,42.2,,,52.9,
2017-12-14T00:04:08.456Z,0,,42,,,,
2017-12-14T00:04:18.457Z,0,,41.8,,,52.8,
2017-12-14T00:04:28.457Z,0,,41.7,,,,
2017-12-14T00:04:38.519Z,0,,41.5,,,,
2017-12-14T00:04:48.697Z,0,,41.3,,,52.7,
2017-12-14T00:04:58.459Z,0,,41.1,,,,
2017-12-14T00:05:08.461Z,0,,40.9,,,52.6,
2017-12-14T00:05:18.457Z,0,,40.7,,,,
2017-12-14T00:05:28.457Z,0,,40.5,,,52.4,
2017-12-14T00:05:38.458Z,0,,40.4,,,,
2017-12-14T00:05:48.537Z,0,,40.2,,,52.3,
2017-12-14T00:05:58.457Z,0,,40.1,,,,
2017-12-14T00:06:08.463Z,0,,39.9,,,,
2017-12-14T00:06:18.456Z,0,,39.7,,,52.2,
2017-12-14T00:06:28.458Z,0,,39.6,,,,
2017-12-14T00:06:38.457Z,0,,39.4,,,52.1,
2017-12-14T00:06:48.608Z,0,,39.3,,,,
2017-12-14T00:06:58.460Z,0,0,50.6,,0,52.1,0
2017-12-14T00:07:08.460Z,0,,50.7,,,51,
2017-12-14T00:07:18.459Z,0,,50.4,,,50.7,
2017-12-14T00:07:28.457Z,0,,50.1,,,50.6,
2017-12-14T00:07:38.457Z,0,,49.8,,,50.5,
2017-12-14T00:07:48.680Z,0,,49.4,,,,
2017-12-14T00:07:58.457Z,0,,49.1,,,50.4,5
2017-12-14T00:08:08.457Z,0,,48.8,,,,
2017-12-14T00:08:18.457Z,0,,48.5,,,50.3,
2017-12-14T00:08:28.461Z,0,,48.2,,,,
2017-12-14T00:08:38.459Z,0,,47.9,,,50.2,
2017-12-14T00:08:48.538Z,0,,47.6,,,,
2017-12-14T00:08:58.458Z,0,,47.3,,,50.1,
2017-12-14T00:09:08.457Z,0,,47,,,,
2017-12-14T00:09:18.458Z,0,,46.7,,,,
2017-12-14T00:09:28.459Z,0,,46.5,,,50,
2017-12-14T00:09:38.457Z,0,,46.2,,,,
2017-12-14T00:09:48.537Z,0,,45.9,,,,
2017-12-14T00:09:58.458Z,0,,45.7,,,49.9,
2017-12-14T00:10:08.458Z,0,,45.5,,,,
2017-12-14T00:10:18.457Z,0,,45.2,,,,
2017-12-14T00:10:28.457Z,0,,45,,,49.8,
2017-12-14T00:10:38.457Z,0,,44.7,,,,
2017-12-14T00:10:48.547Z,0,,44.4,,,49.7,
2017-12-14T00:10:58.461Z,0,,44.2,,,,
2017-12-14T00:11:08.632Z,0,,43.9,,,,
2017-12-14T00:11:18.457Z,0,,43.7,,,49.6,
2017-12-14T00:11:28.457Z,0,,43.5,,,,
2017-12-14T00:11:38.457Z,0,,43.3,,,49.5,
2017-12-14T00:11:48.537Z,0,,43.1,,,,
2017-12-14T00:11:58.458Z,0,,42.9,,,49.4,
2017-12-14T00:12:08.459Z,0,,42.7,,,,
2017-12-14T00:12:18.457Z,0,,42.5,,,,
2017-12-14T00:12:28.458Z,0,,42.3,,,49.3,
2017-12-14T00:12:38.457Z,0,,42.1,,,,
2017-12-14T00:12:48.548Z,0,,41.9,,,,
2017-12-14T00:12:58.458Z,0,,41.7,,,49.2,
2017-12-14T00:13:08.458Z,0,,41.5,,,,
2017-12-14T00:13:18.461Z,0,,41.3,,,49.1,
2017-12-14T00:13:28.459Z,0,,41.1,,,,
2017-12-14T00:13:38.458Z,0,,40.8,,,,
2017-12-14T00:13:48.538Z,0,,40.7,,,,
2017-12-14T00:13:58.458Z,0,,40.5,,,49,
2017-12-14T00:14:08.579Z,0,,40.3,,,,
2017-12-14T00:14:18.623Z,0,,40.2,,,,
2017-12-14T00:14:28.459Z,0,,40,,,48.9,
2017-12-14T00:14:38.458Z,0,,39.8,,,,
2017-12-14T00:14:48.660Z,0,,39.7,,,,
2017-12-14T00:14:58.459Z,0,,39.5,,,48.8,
2017-12-14T00:15:08.459Z,0,,39.3,,,,
2017-12-14T00:15:18.458Z,0,,39.2,,,,
2017-12-14T00:15:28.458Z,0,,38.9,,,,
2017-12-14T00:15:38.458Z,0,,38.8,,,48.7,
2017-12-14T00:15:48.538Z,0,,38.6,,,,
2017-12-14T00:15:58.458Z,0,,38.5,,,,
2017-12-14T00:16:08.471Z,0,,38.3,,,48.6,
2017-12-14T00:16:18.458Z,0,,38.2,,,,
2017-12-14T00:16:28.458Z,0,,38,,,,
2017-12-14T00:16:38.458Z,0,,37.9,,,,
2017-12-14T00:16:48.538Z,0,,37.8,,,,
2017-12-14T00:16:58.460Z,0,,37.6,,,48.5,
2017-12-14T00:17:08.458Z,0,,37.5,,,,
2017-12-14T00:17:18.458Z,0,,37.3,,,,
2017-12-14T00:17:28.458Z,0,,37.2,,,48.4,
2017-12-14T00:17:38.458Z,0,,37.1,,,,
2017-12-14T00:17:48.538Z,0,,36.9,,,,
2017-12-14T00:17:58.458Z,0,,36.7,,,,
2017-12-14T00:18:08.459Z,0,,36.6,,,,
2017-12-14T00:18:18.458Z,0,,36.5,,,48.3,
2017-12-14T00:18:28.458Z,0,,36.4,,,,
2017-12-14T00:18:38.459Z,0,,36.2,,,,
2017-12-14T00:18:48.540Z,0,,36.1,,,,
2017-12-14T00:18:58.459Z,0,,36,,,48.2,
2017-12-14T00:19:08.459Z,0,,35.9,,,,
2017-12-14T00:19:18.518Z,0,,35.8,,,,
2017-12-14T00:19:28.459Z,0,,35.7,,,,
2017-12-14T00:19:38.459Z,0,,35.6,,,,
2017-12-14T00:19:48.539Z,0,,35.4,,,48.1,
2017-12-14T00:19:58.459Z,0,,35.3,,,,
2017-12-14T00:20:08.458Z,0,,35.2,,,,
2017-12-14T00:20:18.459Z,0,,35.1,,,,
2017-12-14T00:20:28.459Z,0,,34.9,,,48,
2017-12-14T00:20:38.458Z,0,,34.8,,,,
2017-12-14T00:20:48.539Z,0,,34.7,,,,
2017-12-14T00:20:58.465Z,0,,34.6,,,,
2017-12-14T00:21:08.462Z,0,,34.5,,,,
2017-12-14T00:21:18.460Z,0,,34.4,,,47.9,
2017-12-14T00:21:28.459Z,0,,34.3,,,,
2017-12-14T00:21:38.459Z,0,,34.2,,,,
2017-12-14T00:21:48.590Z,0,,34.1,,,,
2017-12-14T00:21:58.460Z,0,,34,,,,
2017-12-14T00:22:08.459Z,0,,33.9,,,47.8,
2017-12-14T00:22:18.460Z,0,,33.8,,,,
2017-12-14T00:22:28.462Z,0,,33.7,,,,
2017-12-14T00:22:38.459Z,0,,33.6,,,,
2017-12-14T00:22:48.539Z,0,,33.5,,,,
2017-12-14T00:22:58.460Z,0,,33.4,,,47.7,
2017-12-14T00:23:08.459Z,0,,33.3,,,,
2017-12-14T00:23:18.459Z,0,,33.2,,,,
2017-12-14T00:23:28.464Z,0,,33.1,,,,
2017-12-14T00:23:38.463Z,0,,33.1,,,,
2017-12-14T00:23:48.652Z,0,,32.9,,,47.6,
2017-12-14T00:23:58.460Z,0,,32.8,,,,
2017-12-14T00:24:08.461Z,0,,32.7,,,,
2017-12-14T00:24:18.462Z,0,,32.6,,,,
2017-12-14T00:24:28.461Z,0,,32.5,,,,
2017-12-14T00:24:38.464Z,0,,32.5,,,47.4,
2017-12-14T00:24:48.671Z,0,,32.4,,,,
2017-12-14T00:24:58.462Z,0,,32.3,,,,
2017-12-14T00:25:08.467Z,0,,32.2,,,,
2017-12-14T00:25:18.467Z,0,,32.1,,,,
2017-12-14T00:25:28.459Z,0,,32,,,47.3,
2017-12-14T00:25:38.461Z,0,,32,,,,
2017-12-14T00:25:48.551Z,0,,31.9,,,,
2017-12-14T00:25:58.459Z,0,,31.8,,,,
2017-12-14T00:26:08.706Z,0,,31.8,,,,
2017-12-14T00:26:18.459Z,0,,31.6,,,,
2017-12-14T00:26:28.462Z,0,,31.5,,,47.2,
2017-12-14T00:26:38.462Z,0,,31.4,,,,
2017-12-14T00:26:48.690Z,0,,31.4,,,,
2017-12-14T00:26:58.808Z,0,,31.3,,,,
2017-12-14T00:27:08.460Z,0,,31.2,,,,
2017-12-14T00:27:18.464Z,0,,31.2,,,47.1,
2017-12-14T00:27:28.460Z,0,,31,,,,
2017-12-14T00:27:38.463Z,0,,30.9,,,,
2017-12-14T00:27:48.627Z,0,,30.8,,,,
2017-12-14T00:27:58.460Z,0,,30.8,,,,
2017-12-14T00:28:08.461Z,0,,30.7,,,,
2017-12-14T00:28:18.462Z,0,,30.7,,,47,
2017-12-14T00:28:28.460Z,0,,30.6,,,,
2017-12-14T00:28:38.572Z,0,,30.4,,,,
2017-12-14T00:28:48.540Z,0,,30.4,,,,
2017-12-14T00:28:58.471Z,0,,30.3,,,,
2017-12-14T00:29:08.460Z,0,,30.3,,,46.9,
2017-12-14T00:29:18.462Z,0,,30.2,,,,
2017-12-14T00:29:28.460Z,0,,30.1,,,,
2017-12-14T00:29:38.469Z,0,,30.1,,,,
2017-12-14T00:29:48.540Z,0,,30,,,,
2017-12-14T00:29:58.460Z,0,,29.8,,,46.8,
2017-12-14T00:30:08.460Z,0,,29.8,,,,
2017-12-14T00:30:18.460Z,0,,29.7,,,,
2017-12-14T00:30:28.462Z,0,,29.7,,,,
2017-12-14T00:30:38.460Z,0,,29.6,,,,
2017-12-14T00:30:48.550Z,0,,29.6,,,,
2017-12-14T00:30:58.461Z,0,,29.5,,,46.7,
2017-12-14T00:31:08.460Z,0,,29.5,,,,
2017-12-14T00:31:18.489Z,0,,29.3,,,,
