Time,ChActive,HwTSet,HwActive,HwTOutlet,PrimTSet,PrimT,ActPow
2017-12-15T00:00:08.850Z,,0,,30.9,,,
2017-12-15T00:00:18.667Z,,0,,30.8,,,
2017-12-15T00:00:28.665Z,,0,,30.7,,,
2017-12-15T00:00:38.665Z,,0,,30.7,,,
2017-12-15T00:00:48.792Z,,0,,30.6,,,
2017-12-15T00:00:58.668Z,,0,,30.4,,,
2017-12-15T00:01:08.670Z,,0,,30.4,,,
2017-12-15T00:01:18.666Z,0,0,0,30.3,5,37.9,0
2017-12-15T00:01:28.665Z,,0,,30.3,,37.8,
2017-12-15T00:01:38.668Z,,0,,30.2,,37.9,
2017-12-15T00:01:48.667Z,,0,,30.2,,37.8,
2017-12-15T00:01:58.671Z,,0,,30.1,,,
2017-12-15T00:02:08.666Z,,0,,30.1,,,
2017-12-15T00:02:18.666Z,,0,,30,,,
2017-12-15T00:02:28.667Z,,0,,30,,,
2017-12-15T00:02:38.669Z,,0,,29.8,,,
2017-12-15T00:02:48.666Z,,0,,29.8,,,
2017-12-15T00:02:58.666Z,,0,,29.7,,,
2017-12-15T00:03:08.676Z,,0,,29.7,,,
2017-12-15T00:03:18.667Z,,0,,29.6,,,
2017-12-15T00:03:28.667Z,,0,,29.6,,37.7,
2017-12-15T00:03:38.666Z,,0,,29.5,,,
2017-12-15T00:03:48.668Z,,0,,29.5,,,
2017-12-15T00:03:58.666Z,,0,,29.3,,,
2017-12-15T00:04:08.666Z,,0,,29.3,,,
2017-12-15T00:04:18.788Z,,0,,29.2,,,
2017-12-15T00:04:28.666Z,,0,,29.2,,,
2017-12-15T00:04:38.669Z,,0,,29.1,,,
2017-12-15T00:04:48.667Z,,0,,29.1,,37.6,
2017-12-15T00:04:58.667Z,,0,,29,,37.7,
2017-12-15T00:05:08.666Z,,0,,29,,37.6,
2017-12-15T00:05:18.669Z,,0,,29,,,
2017-12-15T00:05:28.666Z,,0,,28.9,,,
2017-12-15T00:05:38.667Z,,0,,28.9,,,
2017-12-15T00:05:48.835Z,,0,,28.7,,,
2017-12-15T00:05:58.667Z,,0,,28.7,,,
2017-12-15T00:06:08.667Z,,0,,28.7,,,
2017-12-15T00:06:18.667Z,,0,,28.6,,,
2017-12-15T00:06:28.669Z,,0,,28.6,,37.5,
2017-12-15T00:06:38.667Z,,0,,28.5,,,
2017-12-15T00:06:48.667Z,,0,,28.5,,,
2017-12-15T00:06:58.666Z,,0,,28.5,,,
2017-12-15T00:07:08.666Z,,0,,28.4,,,
2017-12-15T00:07:18.666Z,,0,,28.4,,,
2017-12-15T00:07:28.666Z,,0,,28.3,,,
2017-12-15T00:07:38.666Z,,0,,28.3,,,
2017-12-15T00:07:48.667Z,,0,,28.3,,,
2017-12-15T00:07:58.668Z,,0,,28.1,,,
2017-12-15T00:08:08.669Z,,0,,28.1,,,
2017-12-15T00:08:18.669Z,,0,,28.1,,37.4,
2017-12-15T00:08:28.667Z,,0,,28,,,
2017-12-15T00:08:38.668Z,,0,,28,,,
2017-12-15T00:08:48.667Z,,0,,28,,,
2017-12-15T00:08:58.667Z,,0,,27.9,,,
2017-12-15T00:09:08.670Z,,0,,27.9,,,
2017-12-15T00:09:18.666Z,,0,,27.9,,,
2017-12-15T00:09:28.668Z,,0,,27.8,,,
2017-12-15T00:09:38.674Z,,0,,27.8,,,
2017-12-15T00:09:48.667Z,,0,,27.7,,,
2017-12-15T00:09:58.669Z,,0,,27.7,,37.3,
2017-12-15T00:10:08.667Z,,0,,27.7,,,
2017-12-15T00:10:18.667Z,,0,,27.7,,,
2017-12-15T00:10:28.671Z,,0,,27.5,,,
2017-12-15T00:10:38.667Z,,0,,27.5,,,
2017-12-15T00:10:48.774Z,,0,,27.5,,,
2017-12-15T00:10:58.672Z,,0,,27.4,,,
2017-12-15T00:11:08.912Z,,0,,27.4,,,
2017-12-15T00:11:18.668Z,,0,,27.4,,,
2017-12-15T00:11:28.667Z,,0,,27.3,,,
2017-12-15T00:11:38.667Z,,0,,27.3,,37.2,
2017-12-15T00:11:48.671Z,,0,,27.3,,,
2017-12-15T00:11:58.667Z,,0,,27.2,,,
2017-12-15T00:12:08.667Z,,0,,27.2,,,
