Time,ChActive,ActPow,HwActive,PrimT,HwTOutlet,PrimTSet,HwTSet
2017-12-19T00:00:09.699Z,,,,,23.6,,0
2017-12-19T00:00:19.487Z,,,,44.1,23.6,,0
2017-12-19T00:00:39.488Z,,,,,23.6,,0
2017-12-19T00:00:49.567Z,,,,,23.6,,0
2017-12-19T00:01:09.487Z,,,,,23.6,,0
2017-12-19T00:01:19.516Z,,,,,23.6,,0
2017-12-19T00:01:29.487Z,,,,44,,,
2017-12-19T00:01:39.487Z,,,,,23.4,,0
2017-12-19T00:01:49.567Z,,,,,23.4,,0
2017-12-19T00:02:09.683Z,,,,,23.4,,0
2017-12-19T00:02:29.488Z,,,,43.9,23.4,,0
2017-12-19T00:02:39.490Z,,,,43.9,23.4,,0
2017-12-19T00:02:49.568Z,,,,,23.4,,0
2017-12-19T00:02:59.488Z,,,,,23.4,,0
2017-12-19T00:03:19.488Z,,,,,23.4,,0
2017-12-19T00:03:29.488Z,,,,,23.3,,0
2017-12-19T00:03:49.567Z,,,,43.8,23.3,,0
2017-12-19T00:03:59.489Z,,,,,23.3,,0
2017-12-19T00:04:19.488Z,,,,,23.3,,0
2017-12-19T00:04:29.488Z,,,,,23.3,,0
2017-12-19T00:04:39.487Z,,,,,23.3,,0
2017-12-19T00:04:59.487Z,,,,43.7,23.3,,0
2017-12-19T00:05:09.488Z,,,,,23.3,,0
2017-12-19T00:05:19.489Z,,,,,23.2,,0
2017-12-19T00:05:39.488Z,,,,,23.2,,0
2017-12-19T00:05:49.568Z,,,,,23.2,,0
2017-12-19T00:05:59.488Z,,,,,23.2,,0
2017-12-19T00:06:19.489Z,,,,43.6,23.2,,0
2017-12-19T00:06:29.488Z,,,,,23.2,,0
2017-12-19T00:06:39.488Z,,,,,23.2,,0
2017-12-19T00:06:49.578Z,,,,,23.2,,0
2017-12-19T00:07:09.488Z,,,,,23.1,,0
2017-12-19T00:07:29.488Z,,,,43.5,23.1,,0
2017-12-19T00:07:39.488Z,0,0,0,43.5,23.1,5,0
2017-12-19T00:07:59.488Z,,,,,23.1,,0
2017-12-19T00:08:09.488Z,,,,,23.1,,0
2017-12-19T00:08:29.488Z,,,,43.4,23.1,,0
2017-12-19T00:08:39.488Z,,,,,23.1,,0
2017-12-19T00:08:59.488Z,,,,,23,,0
2017-12-19T00:09:09.488Z,,,,,23,,0
2017-12-19T00:09:19.488Z,,,,,23,,0
2017-12-19T00:09:29.489Z,0,,2,44.6,23,0,0
2017-12-19T00:09:39.489Z,0,,0,42.1,37.4,,54
2017-12-19T00:09:49.568Z,,,,42.4,40.6,,0
2017-12-19T00:09:59.488Z,,,,,40.4,,0
2017-12-19T00:10:09.488Z,,,,42.3,,,
2017-12-19T00:10:19.489Z,,,,,40.1,,0
2017-12-19T00:10:29.489Z,,,,,40.9,,0
2017-12-19T00:10:39.489Z,,,,42.2,41.1,,0
2017-12-19T00:10:49.570Z,,,,,40.8,5,0
2017-12-19T00:10:59.488Z,,,,42.1,40.6,,0
2017-12-19T00:11:09.488Z,,,,,40.5,,0
2017-12-19T00:11:19.489Z,,,,,40.3,,0
2017-12-19T00:11:29.489Z,,,,42,40.1,,0
2017-12-19T00:11:39.489Z,,,,,39.7,,0
2017-12-19T00:11:49.570Z,,,,41.9,,,
2017-12-19T00:11:59.489Z,,,,,39.3,,0
2017-12-19T00:12:09.497Z,0,,2,,,0,
2017-12-19T00:12:19.510Z,0,,0,41.3,40.3,,54
2017-12-19T00:12:29.489Z,,,,41.1,38.7,,0
2017-12-19T00:12:39.489Z,,,,,38.5,,0
2017-12-19T00:12:49.570Z,,,,41,38.4,,0
2017-12-19T00:12:59.489Z,,,,,38.2,,0
2017-12-19T00:13:09.490Z,,,,40.9,38.1,,0
2017-12-19T00:13:19.489Z,,,,,38,5,0
2017-12-19T00:13:29.489Z,,,,,37.7,,0
2017-12-19T00:13:49.570Z,,,,40.8,37.6,,0
2017-12-19T00:13:59.489Z,,,,,37.3,,0
2017-12-19T00:14:19.490Z,,,,,37.2,,0
2017-12-19T00:14:29.489Z,,,,40.7,37.1,,0
2017-12-19T00:14:39.489Z,,,,,36.8,,0
2017-12-19T00:14:49.569Z,,,,,36.7,,0
2017-12-19T00:14:59.490Z,,,,,36.6,,0
2017-12-19T00:15:09.489Z,,,,,36.4,,0
2017-12-19T00:15:19.490Z,,,,,36.3,,0
2017-12-19T00:15:29.489Z,,,,40.6,36.2,,0
2017-12-19T00:15:39.490Z,,,,,35.9,,0
2017-12-19T00:15:59.490Z,,,,,35.8,,0
2017-12-19T00:16:09.503Z,,,,,35.7,,0
2017-12-19T00:16:19.491Z,,,,,35.6,,0
2017-12-19T00:16:29.491Z,,,,,35.4,,0
2017-12-19T00:16:39.493Z,0,,2,40.9,35.3,0,0
2017-12-19T00:16:49.570Z,,29,,39.6,39.2,,54
2017-12-19T00:16:59.490Z,,76,,42,39.5,,54
2017-12-19T00:17:09.491Z,,74,,47.3,41.7,,54
2017-12-19T00:17:19.504Z,,74,,51.2,46.7,,54
2017-12-19T00:17:29.490Z,,67,,54,50.1,,54
2017-12-19T00:17:39.508Z,,66,,55.1,52.9,,54
2017-12-19T00:17:49.570Z,,61,,56,54.6,,54
2017-12-19T00:17:59.490Z,0,0,0,54.6,55.2,,0
2017-12-19T00:18:09.490Z,,,,53.9,54.7,,0
2017-12-19T00:18:19.490Z,,,,,54.2,,0
2017-12-19T00:18:29.490Z,,,,53.8,53.9,,0
2017-12-19T00:18:39.490Z,,,,53.7,53.6,,0
2017-12-19T00:18:49.570Z,,,,,53.4,,0
2017-12-19T00:18:59.490Z,,,,53.6,53,5,0
2017-12-19T00:19:09.490Z,,,,,52.6,,0
2017-12-19T00:19:19.519Z,,,,,52.3,,0
2017-12-19T00:19:29.490Z,,,,53.5,52,,0
2017-12-19T00:19:39.490Z,,,,,51.7,,0
2017-12-19T00:19:49.570Z,,,,,51.3,,0
2017-12-19T00:19:59.490Z,,,,,51,,0
2017-12-19T00:20:09.490Z,,,,,50.7,,0
2017-12-19T00:20:19.491Z,,,,,50.4,,0
2017-12-19T00:20:29.490Z,,,,,50.1,,0
2017-12-19T00:20:39.491Z,,,,53.4,49.8,,0
2017-12-19T00:20:49.569Z,,,,,49.4,,0
2017-12-19T00:20:59.490Z,,,,,49.1,,0
2017-12-19T00:21:09.490Z,,,,,48.9,,0
2017-12-19T00:21:19.495Z,,,,,48.6,,0
2017-12-19T00:21:29.490Z,,,,,48.3,,0
2017-12-19T00:21:39.491Z,,,,,48,,0
2017-12-19T00:21:49.577Z,,,,,47.8,,0
2017-12-19T00:21:59.490Z,,,,,47.5,,0
2017-12-19T00:22:09.490Z,,,,53.3,47.3,,0
2017-12-19T00:22:19.490Z,,,,,47,,0
2017-12-19T00:22:29.491Z,,,,,46.7,,0
2017-12-19T00:22:39.495Z,,,,,46.5,,0
2017-12-19T00:22:49.571Z,,,,53.2,46.2,,0
2017-12-19T00:22:59.491Z,,,,,46,,0
2017-12-19T00:23:09.490Z,,,,,45.8,,0
2017-12-19T00:23:19.491Z,,,,,45.5,,0
2017-12-19T00:23:29.491Z,,,,53.1,45.3,,0
2017-12-19T00:23:39.492Z,,,,,45.1,,0
2017-12-19T00:23:49.570Z,,,,,44.9,,0
2017-12-19T00:23:59.497Z,,,,53,44.7,,0
2017-12-19T00:24:09.493Z,,,,52.9,44.3,,0
2017-12-19T00:24:19.491Z,,,,,44.1,,0
