Time,ChActive,HwActive,ActPow,HwTSet,PrimT,HwTOutlet,PrimTSet
2017-12-23T00:00:00.314Z,,,,0,,22.7,
2017-12-23T00:00:10.314Z,,,,0,,22.7,
2017-12-23T00:00:20.315Z,,,,0,,22.7,
2017-12-23T00:00:30.315Z,,,,0,,22.7,
2017-12-23T00:00:40.314Z,,,,0,,22.7,
2017-12-23T00:00:50.315Z,,,,0,,22.7,
2017-12-23T00:01:00.314Z,,,,0,,22.7,
2017-12-23T00:01:10.314Z,,,,0,,22.7,
2017-12-23T00:01:20.314Z,,,,0,,22.7,
2017-12-23T00:01:30.316Z,,,,0,,22.7,
2017-12-23T00:01:40.317Z,,,,0,,22.7,
2017-12-23T00:01:50.314Z,,,,0,,22.7,
2017-12-23T00:02:00.314Z,,,,0,,22.7,
2017-12-23T00:02:10.314Z,,,,0,,22.7,
2017-12-23T00:02:20.314Z,,,,0,31.2,22.6,
2017-12-23T00:02:30.317Z,,,,0,,22.7,
2017-12-23T00:02:40.314Z,,,,0,,22.7,
2017-12-23T00:02:50.314Z,,,,0,,22.6,
2017-12-23T00:03:00.315Z,,,,0,,22.6,
2017-12-23T00:03:10.317Z,,,,0,,22.6,
2017-12-23T00:03:20.318Z,,,,0,,22.6,
2017-12-23T00:03:30.316Z,,,,0,,22.6,
2017-12-23T00:03:40.314Z,,,,0,,22.6,
2017-12-23T00:03:50.314Z,,,,0,,22.6,
2017-12-23T00:04:00.315Z,,,,0,,22.6,
2017-12-23T00:04:10.316Z,,,,0,,22.6,
2017-12-23T00:04:20.319Z,,,,0,,22.6,
2017-12-23T00:04:30.317Z,,,,0,,22.6,
2017-12-23T00:04:40.316Z,,,,0,,22.6,
2017-12-23T00:04:50.316Z,,,,0,,22.6,
2017-12-23T00:05:00.315Z,,,,0,,22.6,
2017-12-23T00:05:10.318Z,,,,0,31.1,22.6,
2017-12-23T00:05:20.314Z,,,,0,,22.6,
2017-12-23T00:05:30.314Z,,,,0,,22.6,
2017-12-23T00:05:40.315Z,,,,0,,22.6,
2017-12-23T00:05:50.316Z,,,,0,,22.6,
2017-12-23T00:06:00.315Z,,,,0,,22.6,
2017-12-23T00:06:10.315Z,,,,0,,22.6,
2017-12-23T00:06:20.315Z,,,,0,,22.5,
2017-12-23T00:06:30.315Z,,,,0,,22.6,
2017-12-23T00:06:40.461Z,,,,0,,22.5,
2017-12-23T00:06:50.315Z,,,,0,,22.5,
2017-12-23T00:07:00.315Z,,,,0,,22.5,
2017-12-23T00:07:10.315Z,,,,0,,22.5,
2017-12-23T00:07:20.315Z,,,,0,,22.5,
2017-12-23T00:07:30.316Z,,,,0,,22.5,
2017-12-23T00:07:40.315Z,,,,0,,22.5,
2017-12-23T00:07:50.318Z,,,,0,,22.5,
2017-12-23T00:08:00.316Z,,,,0,,22.5,
2017-12-23T00:08:10.315Z,,,,0,31.1,22.5,
2017-12-23T00:08:20.317Z,,,,0,30.9,22.5,
2017-12-23T00:08:30.315Z,,,,0,,22.5,
2017-12-23T00:08:40.321Z,,,,0,,22.5,
2017-12-23T00:08:50.315Z,,,,0,,22.5,
2017-12-23T00:09:00.316Z,,,,0,,22.5,
2017-12-23T00:09:10.315Z,,,,0,,22.5,
2017-12-23T00:09:20.315Z,,,,0,,22.5,
2017-12-23T00:09:30.315Z,,,,0,,22.5,
2017-12-23T00:09:40.316Z,,,,0,,22.5,
2017-12-23T00:09:50.316Z,,,,0,,22.5,
2017-12-23T00:10:00.315Z,,,,0,,22.4,
2017-12-23T00:10:10.315Z,,,,0,,22.5,
2017-12-23T00:10:20.315Z,,,,0,,22.4,
2017-12-23T00:10:30.321Z,,,,0,,22.4,
2017-12-23T00:10:40.315Z,,,,0,,22.4,
2017-12-23T00:10:50.316Z,,,,0,,22.4,
2017-12-23T00:11:00.315Z,,,,0,,22.4,
2017-12-23T00:11:10.315Z,,,,0,30.8,22.4,
2017-12-23T00:11:20.315Z,,,,0,,22.4,
2017-12-23T00:11:30.315Z,,,,0,,22.4,
2017-12-23T00:11:40.315Z,,,,0,,22.4,
2017-12-23T00:11:50.316Z,,,,0,,22.4,
2017-12-23T00:12:00.316Z,,,,0,,22.4,
2017-12-23T00:12:10.315Z,,,,0,,22.4,
2017-12-23T00:12:20.315Z,,,,0,,22.4,
2017-12-23T00:12:30.315Z,,,,0,,22.4,
2017-12-23T00:12:40.316Z,,,,0,,22.4,
2017-12-23T00:12:50.316Z,,,,0,,22.4,
2017-12-23T00:13:00.315Z,,,,0,,22.4,
2017-12-23T00:13:10.316Z,,,,0,,22.4,
