Time,ChActive,HwActive,ActPow,PrimTSet,PrimT,HwTSet,HwTOutlet
2017-12-24T00:00:10.563Z,,,,,,0,27.5
2017-12-24T00:00:20.526Z,,,,,,0,27.5
2017-12-24T00:00:30.527Z,,,,,,0,27.5
2017-12-24T00:00:40.527Z,,,,,,0,27.5
2017-12-24T00:00:50.526Z,,,,,,0,27.5
2017-12-24T00:01:00.525Z,,,,,,0,27.5
2017-12-24T00:01:10.526Z,,,,,,0,27.5
2017-12-24T00:01:20.527Z,,,,,,0,27.5
2017-12-24T00:01:30.526Z,,,,,38.3,0,27.4
2017-12-24T00:01:40.526Z,,,,,,0,27.4
2017-12-24T00:01:50.526Z,,,,,,0,27.4
2017-12-24T00:02:00.527Z,,,,,,0,27.4
2017-12-24T00:02:10.529Z,,,,,,0,27.4
2017-12-24T00:02:20.531Z,,,,,,0,27.4
2017-12-24T00:02:30.526Z,,,,,,0,27.4
2017-12-24T00:02:40.526Z,,,,,,0,27.3
2017-12-24T00:02:50.526Z,,,,,,0,27.3
2017-12-24T00:03:00.527Z,,,,,,0,27.3
2017-12-24T00:03:10.527Z,,,,,,0,27.3
2017-12-24T00:03:20.721Z,,,,,,0,27.3
2017-12-24T00:03:30.527Z,,,,,,0,27.3
2017-12-24T00:03:40.526Z,,,,,,0,27.3
2017-12-24T00:03:50.526Z,,,,,38.2,0,27.3
2017-12-24T00:04:00.527Z,,,,,,0,27.2
2017-12-24T00:04:15.620Z,,,,,,0,27.2
2017-12-24T00:04:20.528Z,,,,,,0,27.2
2017-12-24T00:04:30.526Z,,,,,,0,27.2
2017-12-24T00:04:40.527Z,,,,,,0,27.2
2017-12-24T00:04:50.526Z,,,,,,0,27.2
2017-12-24T00:05:00.531Z,,,,,,0,27.2
2017-12-24T00:05:10.526Z,,,,,,0,27.1
2017-12-24T00:05:20.528Z,,,,,,0,27.1
2017-12-24T00:05:30.529Z,,,,,,0,27.1
2017-12-24T00:05:40.528Z,,,,,38.1,0,27.1
2017-12-24T00:05:50.527Z,,,,,,0,27.1
2017-12-24T00:06:00.527Z,,,,,,0,27.1
2017-12-24T00:06:10.530Z,,,,,,0,27.1
2017-12-24T00:06:20.534Z,,,,,,0,27.1
2017-12-24T00:06:30.532Z,,,,,,0,26.9
2017-12-24T00:06:40.716Z,,,,,,0,26.9
2017-12-24T00:06:50.717Z,,,,,,0,26.9
2017-12-24T00:07:00.532Z,,,,,,0,26.9
2017-12-24T00:07:10.529Z,,,,,,0,26.9
2017-12-24T00:07:20.527Z,,,,,,0,26.9
2017-12-24T00:07:30.529Z,,,,,38,0,26.9
2017-12-24T00:07:40.527Z,,,,,,0,26.8
2017-12-24T00:07:50.527Z,,,,,,0,26.8
2017-12-24T00:08:00.527Z,,,,,,0,26.8
2017-12-24T00:08:10.527Z,,,,,,0,26.8
2017-12-24T00:08:20.530Z,,,,,,0,26.8
2017-12-24T00:08:30.529Z,,,,,,0,26.8
2017-12-24T00:08:40.527Z,,,,,,0,26.8
2017-12-24T00:08:50.532Z,,,,,,0,26.7
2017-12-24T00:09:00.532Z,,,,,,0,26.7
2017-12-24T00:09:10.529Z,,,,,,0,26.7
2017-12-24T00:09:20.527Z,,,,,,0,26.7
2017-12-24T00:09:30.536Z,,,,,37.9,0,26.7
2017-12-24T00:09:40.527Z,,,,,,0,26.7
2017-12-24T00:09:50.527Z,,,,,,0,26.7
2017-12-24T00:10:00.527Z,,,,,,0,26.7
2017-12-24T00:10:10.533Z,,,,,,0,26.7
2017-12-24T00:10:20.527Z,,,,,,0,26.6
2017-12-24T00:10:30.530Z,,,,,,0,26.6
2017-12-24T00:10:40.532Z,,,,,,0,26.6
2017-12-24T00:10:50.533Z,,,,,,0,26.6
2017-12-24T00:11:00.532Z,,,,,,0,26.6
2017-12-24T00:11:10.527Z,,,,,,0,26.6
2017-12-24T00:11:20.533Z,,,,,,0,26.6
2017-12-24T00:11:30.527Z,,,,,,0,26.5
2017-12-24T00:11:40.527Z,,,,,,0,26.5
2017-12-24T00:11:50.528Z,,,,,37.8,0,26.5
2017-12-24T00:12:00.527Z,,,,,,0,26.5
2017-12-24T00:12:10.528Z,,,,,,0,26.5
2017-12-24T00:12:20.528Z,,,,,,0,26.5
2017-12-24T00:12:30.528Z,,,,,,0,26.5
2017-12-24T00:12:40.528Z,,,,,,0,26.5
