Time,PrimTSet,ActPow,ChActive,PrimT,HwActive,HwTSet,HwTOutlet
2017-12-28T00:00:01.379Z,,,,,,0,23.6
2017-12-28T00:00:11.384Z,,,,43.8,,0,23.6
2017-12-28T00:00:21.379Z,,,,,,0,23.6
2017-12-28T00:00:31.378Z,,,,,,0,23.6
2017-12-28T00:00:41.379Z,,,,,,0,23.6
2017-12-28T00:00:51.380Z,,,,,,0,23.6
2017-12-28T00:01:01.379Z,,,,,,0,23.6
2017-12-28T00:01:11.381Z,,,,,,0,23.6
2017-12-28T00:01:21.378Z,,,,43.7,,0,23.6
2017-12-28T00:01:31.379Z,,,,,,0,23.4
2017-12-28T00:01:41.379Z,,,,,,0,23.6
2017-12-28T00:01:51.380Z,,,,,,0,23.4
2017-12-28T00:02:01.383Z,,,,,,0,23.4
2017-12-28T00:02:11.380Z,,,,,,0,23.4
2017-12-28T00:02:21.381Z,,,,,,0,23.4
2017-12-28T00:02:31.401Z,,,,,,0,23.4
2017-12-28T00:02:41.380Z,,,,43.6,,0,23.4
2017-12-28T00:02:51.380Z,,,,,,0,23.4
2017-12-28T00:03:01.383Z,,,,,,0,23.4
2017-12-28T00:03:11.379Z,,,,,,0,23.4
2017-12-28T00:03:21.382Z,,,,,,0,23.3
2017-12-28T00:03:31.381Z,,,,,,0,23.3
2017-12-28T00:03:41.378Z,,,,43.5,,0,23.3
2017-12-28T00:03:51.381Z,,,,,,0,23.3
2017-12-28T00:04:01.379Z,,,,,,0,23.3
2017-12-28T00:04:11.388Z,,,,,,0,23.3
2017-12-28T00:04:21.379Z,,,,,,0,23.3
2017-12-28T00:04:31.380Z,,,,,,0,23.3
2017-12-28T00:04:41.381Z,,,,,,0,23.3
2017-12-28T00:04:51.379Z,,,,,,0,23.2
2017-12-28T00:05:01.385Z,,,,43.4,,0,23.2
2017-12-28T00:05:11.379Z,,,,,,0,23.2
2017-12-28T00:05:21.382Z,,,,,,0,23.2
2017-12-28T00:05:31.379Z,,,,,,0,23.2
2017-12-28T00:05:41.379Z,,,,,,0,23.2
