Time,PrimT,ActPow,ChActive,HwTOutlet,HwActive,HwTSet,PrimTSet
2018-01-08T00:00:04.468Z,48.5,,,31.6,,0,
2018-01-08T00:00:14.467Z,,,,31.5,,0,
2018-01-08T00:00:24.467Z,,,,31.5,,0,
2018-01-08T00:00:34.713Z,,,,31.5,,0,
2018-01-08T00:00:54.467Z,,,,31.5,,0,
2018-01-08T00:01:04.467Z,,,,31.4,,0,
2018-01-08T00:01:14.467Z,48.4,,,31.4,,0,
2018-01-08T00:01:24.467Z,49.2,45,1,31.4,0,0,62
2018-01-08T00:01:34.471Z,53.8,34,,31.3,,0,
2018-01-08T00:01:44.467Z,51.3,29,,31.3,,0,
2018-01-08T00:01:54.471Z,51.2,,,31.3,,0,
2018-01-08T00:02:04.481Z,47.1,30,,31.3,,0,
2018-01-08T00:02:14.469Z,43.5,30,,31.3,,0,
2018-01-08T00:02:24.467Z,41.8,30,,31.2,,0,
2018-01-08T00:02:34.469Z,41.5,,,31.2,,0,
2018-01-08T00:02:44.468Z,41.7,,,31.2,,0,
2018-01-08T00:02:54.602Z,42,29,,,,,
2018-01-08T00:03:04.469Z,42.2,,,31.2,,0,
2018-01-08T00:03:14.468Z,42.8,34,,31,,0,
2018-01-08T00:03:24.467Z,44.1,40,,31,,0,
2018-01-08T00:03:34.469Z,45.6,46,,31,,0,
2018-01-08T00:03:44.467Z,47,52,,31,,0,
2018-01-08T00:03:54.469Z,48.5,57,,,,,
2018-01-08T00:04:04.468Z,49.8,61,,30.9,,0,
2018-01-08T00:04:14.565Z,51.1,66,,30.9,,0,
2018-01-08T00:04:24.467Z,52.1,69,,30.9,,0,
2018-01-08T00:04:34.663Z,52.8,72,,30.9,,0,
2018-01-08T00:04:44.467Z,53.5,74,,30.9,,0,
2018-01-08T00:04:54.468Z,54.3,78,,,,,
2018-01-08T00:05:04.468Z,55.1,80,,30.9,,0,
2018-01-08T00:05:14.469Z,55.9,82,,30.9,,0,
2018-01-08T00:05:24.469Z,56.7,83,,30.9,,0,
2018-01-08T00:05:34.471Z,57.4,85,,30.8,,0,
2018-01-08T00:05:44.468Z,58.1,86,,30.8,,0,
2018-01-08T00:05:54.472Z,58.9,87,,30.8,,0,
2018-01-08T00:06:04.469Z,59.7,88,,30.8,,0,
