Time,PrimT,HwActive,ChActive,ActPow,HwTSet,HwTOutlet,PrimTSet
2018-01-11T00:00:09.336Z,,,,,0,24.9,
2018-01-11T00:00:19.185Z,,,,,0,24.9,
2018-01-11T00:00:29.161Z,,,,,0,24.8,
2018-01-11T00:00:40.396Z,,,,,0,24.8,
2018-01-11T00:00:49.157Z,,,,,0,24.8,
2018-01-11T00:00:59.616Z,39.7,,,,0,24.8,
2018-01-11T00:01:09.163Z,,,,,0,24.8,
2018-01-11T00:01:19.156Z,,,,,0,24.8,
2018-01-11T00:01:29.156Z,,,,,0,24.8,
2018-01-11T00:01:39.155Z,,,,,0,24.8,
2018-01-11T00:01:49.177Z,,,,,0,24.7,
2018-01-11T00:02:04.436Z,,,,,0,24.7,
2018-01-11T00:02:09.161Z,,,,,0,24.7,
2018-01-11T00:02:19.154Z,,,,,0,24.7,
2018-01-11T00:02:29.160Z,,,,,0,24.7,
2018-01-11T00:02:39.155Z,39.6,,,,0,24.7,
2018-01-11T00:02:49.163Z,,,,,0,24.7,
2018-01-11T00:02:59.288Z,,,,,0,24.7,
2018-01-11T00:03:09.186Z,,,,,0,24.7,
2018-01-11T00:03:19.157Z,,,,,0,24.5,
2018-01-11T00:03:29.206Z,,,,,0,24.5,
2018-01-11T00:03:39.193Z,,,,,0,24.5,
2018-01-11T00:03:49.161Z,,,,,0,24.5,
2018-01-11T00:04:00.184Z,,,,,0,24.5,
2018-01-11T00:04:09.155Z,,,,,0,24.5,
2018-01-11T00:04:19.160Z,39.5,,,,0,24.5,
2018-01-11T00:04:29.156Z,,,,,0,24.5,
2018-01-11T00:04:39.159Z,,,,,0,24.5,
2018-01-11T00:04:49.199Z,,,,,0,24.4,
2018-01-11T00:04:59.248Z,,,,,0,24.4,
2018-01-11T00:05:09.157Z,,,,,0,24.4,
2018-01-11T00:05:19.154Z,,,,,0,24.4,
2018-01-11T00:05:29.766Z,,,,,0,24.4,
2018-01-11T00:05:39.165Z,,,,,0,24.4,
2018-01-11T00:05:49.155Z,39.4,,,,0,24.4,
2018-01-11T00:05:59.245Z,,,,,0,24.4,
2018-01-11T00:06:09.159Z,,,,,0,24.3,
2018-01-11T00:06:19.196Z,,,,,0,24.3,
2018-01-11T00:06:29.184Z,,,,,0,24.3,
2018-01-11T00:06:39.157Z,,,,,0,24.3,
2018-01-11T00:06:49.160Z,,,,,0,24.3,
2018-01-11T00:06:59.275Z,,,,,0,24.3,
2018-01-11T00:07:09.155Z,,,,,0,24.3,
2018-01-11T00:07:19.155Z,,,,,0,24.3,
2018-01-11T00:07:29.155Z,,,,,0,24.3,
2018-01-11T00:07:39.155Z,39.3,,,,0,24.3,
2018-01-11T00:07:49.156Z,,,,,0,24.2,
2018-01-11T00:07:59.266Z,,,,,0,24.2,
2018-01-11T00:08:09.157Z,,,,,0,24.2,
2018-01-11T00:08:19.155Z,,,,,0,24.2,
2018-01-11T00:08:29.172Z,,,,,0,24.2,
2018-01-11T00:08:39.157Z,,,,,0,24.2,
2018-01-11T00:08:49.157Z,,,,,0,24.2,
2018-01-11T00:08:59.249Z,39.2,,,,0,24.2,
2018-01-11T00:09:09.157Z,,,,,0,24.2,
2018-01-11T00:09:19.156Z,,,,,0,24.2,
2018-01-11T00:09:29.410Z,,,,,0,24.2,
2018-01-11T00:09:39.156Z,,,,,0,24,
2018-01-11T00:09:49.156Z,,,,,0,24,
2018-01-11T00:09:59.278Z,,,,,0,24,
2018-01-11T00:10:09.156Z,,,,,0,24,
2018-01-11T00:10:19.156Z,,,,,0,24,
2018-01-11T00:10:29.160Z,,,,,0,24,
2018-01-11T00:10:39.402Z,39.1,,,,0,24,
2018-01-11T00:10:49.158Z,,,,,0,24,
