Time,ActPow,HwTSet,HwTOutlet,ChActive,PrimTSet,PrimT,HwActive
2018-01-13T00:00:17.650Z,,0,23.6,,,,
2018-01-13T00:00:27.581Z,,0,23.6,,,,
2018-01-13T00:00:37.617Z,,0,23.6,,,,
2018-01-13T00:00:47.611Z,,0,23.6,,,,
2018-01-13T00:00:57.600Z,,0,23.6,,,38.8,
2018-01-13T00:01:07.613Z,,0,23.6,,,,
2018-01-13T00:01:17.583Z,,0,23.6,,,,
2018-01-13T00:01:27.581Z,,0,23.6,,,,
2018-01-13T00:01:37.604Z,,0,23.6,,,,
2018-01-13T00:01:47.581Z,,0,23.6,,,,
2018-01-13T00:01:57.837Z,,0,23.6,,,,
2018-01-13T00:02:17.593Z,,0,23.6,,,,
2018-01-13T00:02:37.628Z,,0,23.4,,,38.7,
2018-01-13T00:02:47.719Z,,0,23.4,,,,
2018-01-13T00:03:07.583Z,,0,23.4,,,,
2018-01-13T00:03:17.609Z,,0,23.4,,,,
2018-01-13T00:03:27.599Z,,0,23.4,,,,
2018-01-13T00:03:37.636Z,,0,23.4,,,,
2018-01-13T00:03:57.841Z,,0,23.4,,,,
2018-01-13T00:04:07.614Z,,0,23.4,,,,
2018-01-13T00:04:17.582Z,,0,23.4,,,38.6,
2018-01-13T00:04:27.612Z,,0,23.4,,,,
2018-01-13T00:04:37.611Z,,0,23.4,,,,
2018-01-13T00:04:47.610Z,,0,23.4,,,,
2018-01-13T00:04:57.611Z,,0,23.3,,,,
2018-01-13T00:05:07.591Z,,0,23.3,,,,
2018-01-13T00:05:17.588Z,,0,23.3,,,,
2018-01-13T00:05:37.622Z,,0,23.3,,,38.5,
2018-01-13T00:05:47.608Z,,0,23.3,,,,
2018-01-13T00:06:07.712Z,,0,23.3,,,,
2018-01-13T00:06:17.622Z,,0,23.3,,,,
2018-01-13T00:06:27.600Z,,0,23.3,,,,
2018-01-13T00:06:37.585Z,,0,23.3,,,,
2018-01-13T00:06:47.582Z,,0,23.3,,,,
2018-01-13T00:06:57.582Z,,0,23.3,,,,
2018-01-13T00:07:07.604Z,,0,23.3,,,,
2018-01-13T00:07:17.621Z,,0,23.3,,,,
2018-01-13T00:07:27.624Z,,,,,,38.4,
2018-01-13T00:07:37.584Z,,0,23.2,,,,
2018-01-13T00:07:47.602Z,,0,23.2,,,,
2018-01-13T00:07:57.787Z,,0,23.2,,,,
2018-01-13T00:08:07.584Z,,0,23.2,,,,
2018-01-13T00:08:17.585Z,,0,23.2,,,,
2018-01-13T00:08:37.606Z,,0,23.2,,,,
2018-01-13T00:08:47.644Z,,0,23.2,,,,
2018-01-13T00:08:57.582Z,,,,,,38.3,
2018-01-13T00:09:07.582Z,,0,23.2,,,,
2018-01-13T00:09:27.587Z,,0,23.2,,,,
2018-01-13T00:09:37.605Z,,0,23.2,,,,
2018-01-13T00:09:57.586Z,,0,23.2,,,,
2018-01-13T00:10:07.613Z,,0,23.2,,,,
2018-01-13T00:10:27.749Z,,0,23.1,,,38.2,
2018-01-13T00:10:37.582Z,,0,23.1,,,,
2018-01-13T00:10:47.586Z,,0,23.1,,,,
2018-01-13T00:11:07.583Z,,0,23.1,,,,
2018-01-13T00:11:17.584Z,,0,23.1,,,,
2018-01-13T00:11:37.583Z,,0,23.1,,,,
2018-01-13T00:11:47.585Z,,0,23.1,,,,
2018-01-13T00:12:07.583Z,,0,23.1,,,,
2018-01-13T00:12:27.591Z,,0,23.1,,,38.1,
2018-01-13T00:12:37.600Z,,0,23.1,,,,
2018-01-13T00:12:47.583Z,,0,23.1,,,,
2018-01-13T00:13:07.653Z,,0,23.1,,,,
2018-01-13T00:13:17.584Z,,0,23.1,,,,
2018-01-13T00:13:27.605Z,,0,23,,,,
2018-01-13T00:13:37.583Z,,0,23,,,,
2018-01-13T00:13:47.583Z,,0,23,,,,
2018-01-13T00:13:57.582Z,,,,,,38,
2018-01-13T00:14:07.583Z,,0,23,,,,
2018-01-13T00:14:17.589Z,,0,23,,,,
2018-01-13T00:14:37.583Z,,0,23,,,,
2018-01-13T00:14:47.588Z,,0,23,,,,
2018-01-13T00:15:07.584Z,,0,23,,,,
2018-01-13T00:15:27.586Z,,0,23,,,37.9,
2018-01-13T00:15:37.726Z,,0,23,,,,
2018-01-13T00:15:47.583Z,,0,23,,,,
2018-01-13T00:15:57.583Z,,0,23,,,,
2018-01-13T00:16:17.590Z,,0,22.8,,,,
2018-01-13T00:16:27.711Z,,0,23,,,,
2018-01-13T00:16:37.583Z,,0,22.8,,,,
2018-01-13T00:16:57.587Z,,0,22.8,,,,
2018-01-13T00:17:07.743Z,,0,22.8,,,,
