Time,ChActive,HwActive,ActPow,PrimTSet,HwTSet,HwTOutlet,PrimT
2018-01-16T00:00:08.235Z,,,,,0,34.7,
2018-01-16T00:00:18.234Z,,,,,0,34.6,43.8
2018-01-16T00:00:28.326Z,,,,,0,34.6,
2018-01-16T00:00:38.235Z,,,,,0,34.5,43.9
2018-01-16T00:00:48.235Z,,,,,0,34.4,
2018-01-16T00:00:58.234Z,,,,,0,34.3,
2018-01-16T00:01:08.353Z,,,,,0,34.3,44
2018-01-16T00:01:18.234Z,,,,,0,34.2,
2018-01-16T00:01:28.314Z,,,,,0,34.1,
2018-01-16T00:01:38.234Z,,,,,0,34.1,
2018-01-16T00:01:48.234Z,,,,,0,34,
2018-01-16T00:01:58.235Z,,,,,0,33.9,
2018-01-16T00:02:08.235Z,,,,,0,33.9,
2018-01-16T00:02:18.236Z,,,,,0,33.8,
2018-01-16T00:02:28.314Z,,,,,0,33.7,
2018-01-16T00:02:38.236Z,,,,,0,33.7,
2018-01-16T00:02:48.239Z,,,,,0,33.6,
2018-01-16T00:02:58.235Z,,,,,0,33.5,
2018-01-16T00:03:08.235Z,,,,,0,33.5,
2018-01-16T00:03:18.235Z,,,,,0,33.4,
2018-01-16T00:03:28.324Z,,,,,0,33.3,
2018-01-16T00:03:38.235Z,,,,,0,33.3,43.9
2018-01-16T00:03:48.237Z,,,,,0,37.9,43.9
2018-01-16T00:03:58.235Z,,,,,0,38,
2018-01-16T00:04:08.393Z,,,,,0,37.9,
2018-01-16T00:04:18.235Z,,,,,0,37.7,
2018-01-16T00:04:28.325Z,,,,,0,37.5,
2018-01-16T00:04:38.235Z,,,,,0,37.3,43.8
2018-01-16T00:04:48.235Z,,,,,0,37.1,
2018-01-16T00:04:58.236Z,,,,,0,37.1,
2018-01-16T00:05:08.238Z,,,,,0,36.9,
2018-01-16T00:05:18.240Z,,,,,0,36.7,43.7
2018-01-16T00:05:28.326Z,,,,,0,36.6,
2018-01-16T00:05:38.235Z,,,,,0,36.4,
2018-01-16T00:05:48.236Z,,,,,0,36.3,
2018-01-16T00:05:58.235Z,,,,,0,36.1,
2018-01-16T00:06:08.394Z,,,,,0,36,43.6
2018-01-16T00:06:18.238Z,,,,,0,35.9,
2018-01-16T00:06:28.315Z,,,,,0,35.8,
2018-01-16T00:06:38.236Z,,,,,0,35.7,
2018-01-16T00:06:48.236Z,,,,,0,35.5,43.5
2018-01-16T00:06:58.236Z,,,,,0,35.4,
2018-01-16T00:07:08.240Z,,,,,0,35.3,
2018-01-16T00:07:18.235Z,,,,,0,35.2,
2018-01-16T00:07:28.325Z,,,,,0,35.1,43.4
2018-01-16T00:07:38.235Z,,,,,0,34.9,
2018-01-16T00:07:48.236Z,,,,,0,34.8,
2018-01-16T00:07:58.236Z,,,,,0,34.7,
2018-01-16T00:08:08.236Z,,,,,0,34.5,43.3
2018-01-16T00:08:18.235Z,,,,,0,34.4,
2018-01-16T00:08:28.326Z,,,,,0,34.3,
2018-01-16T00:08:38.236Z,,,,,0,34.3,
2018-01-16T00:08:48.239Z,,,,,0,34.2,43.2
2018-01-16T00:08:58.236Z,,,,,0,34.1,
2018-01-16T00:09:08.240Z,,,,,0,34,
2018-01-16T00:09:18.236Z,,,,,0,33.9,
2018-01-16T00:09:28.316Z,,,,,0,33.8,43.1
2018-01-16T00:09:38.236Z,,,,,0,33.7,
2018-01-16T00:09:48.236Z,,,,,0,33.6,
2018-01-16T00:09:58.263Z,,,,,0,33.5,
2018-01-16T00:10:08.237Z,,,,,0,33.4,
