Time,PrimT,PrimTSet,HwTSet,ChActive,HwActive,HwTOutlet,ActPow
2018-01-17T00:00:08.459Z,,,0,,,23.9,
2018-01-17T00:00:18.465Z,,,0,,,23.9,
2018-01-17T00:00:28.458Z,,,0,,,23.9,
2018-01-17T00:00:38.539Z,,,0,,,23.9,
2018-01-17T00:00:48.462Z,45.6,,0,,,23.9,
2018-01-17T00:00:58.459Z,,,0,,,23.9,
2018-01-17T00:01:08.459Z,,,0,,,23.9,
2018-01-17T00:01:18.459Z,,,0,,,23.9,
2018-01-17T00:01:28.458Z,,,0,,,23.8,
2018-01-17T00:01:38.548Z,,,0,,,23.9,
2018-01-17T00:01:48.459Z,,,0,,,23.8,
2018-01-17T00:01:58.458Z,45.5,,0,,,23.8,
2018-01-17T00:02:08.458Z,,,0,,,23.8,
2018-01-17T00:02:18.459Z,,,0,,,23.8,
2018-01-17T00:02:28.458Z,,,0,,,23.8,
2018-01-17T00:02:38.549Z,,,0,,,23.8,
2018-01-17T00:02:48.462Z,,,0,,,23.8,
2018-01-17T00:02:58.465Z,,,0,,,23.8,
2018-01-17T00:03:08.458Z,45.4,,0,,,23.7,
2018-01-17T00:03:18.459Z,,,0,,,23.8,
2018-01-17T00:03:28.458Z,,,0,,,23.7,
2018-01-17T00:03:38.539Z,,,0,,,23.7,
2018-01-17T00:03:48.459Z,,,0,,,23.7,
2018-01-17T00:03:58.459Z,,,0,,,23.7,
2018-01-17T00:04:08.459Z,45.3,,0,,,23.7,
2018-01-17T00:04:18.458Z,,,0,,,23.7,
2018-01-17T00:04:28.459Z,,,0,,,23.7,
2018-01-17T00:04:38.539Z,,,0,,,23.7,
2018-01-17T00:04:48.459Z,,,0,,,23.7,
2018-01-17T00:04:58.459Z,,,0,,,23.7,
2018-01-17T00:05:08.459Z,,,0,,,23.7,
2018-01-17T00:05:18.458Z,45.2,,0,,,23.7,
2018-01-17T00:05:28.459Z,,,0,,,23.6,
2018-01-17T00:05:38.551Z,,,0,,,23.6,
2018-01-17T00:05:48.459Z,,,0,,,23.6,
2018-01-17T00:05:58.459Z,,,0,,,23.6,
2018-01-17T00:06:08.460Z,,,0,,,23.6,
2018-01-17T00:06:18.459Z,,,0,,,23.6,
2018-01-17T00:06:28.459Z,,,0,,,23.6,
2018-01-17T00:06:38.550Z,45.1,,0,,,23.6,
2018-01-17T00:06:48.460Z,,,0,,,23.6,
2018-01-17T00:06:58.460Z,,,0,,,23.6,
2018-01-17T00:07:08.459Z,,,0,,,23.6,
2018-01-17T00:07:18.462Z,,,0,,,23.4,
2018-01-17T00:07:28.459Z,45,,0,,,23.4,
2018-01-17T00:07:38.539Z,,,0,,,23.4,
2018-01-17T00:07:48.460Z,,,0,,,23.4,
2018-01-17T00:07:58.459Z,,,0,,,23.4,
2018-01-17T00:08:08.460Z,,,0,,,23.4,
2018-01-17T00:08:18.461Z,,,0,,,23.4,
2018-01-17T00:08:28.459Z,45,,0,,,23.4,
2018-01-17T00:08:38.550Z,44.9,,0,,,23.4,
2018-01-17T00:08:48.460Z,,,0,,,23.4,
2018-01-17T00:08:58.461Z,,,0,,,23.4,
2018-01-17T00:09:08.460Z,,,0,,,23.3,
2018-01-17T00:09:18.459Z,,,0,,,23.3,
2018-01-17T00:09:28.460Z,,,0,,,23.3,
2018-01-17T00:09:38.540Z,,,0,,,23.3,
2018-01-17T00:09:48.464Z,44.8,,0,,,23.3,
2018-01-17T00:09:58.644Z,,,0,,,23.3,
2018-01-17T00:10:08.460Z,,,0,,,23.3,
2018-01-17T00:10:18.460Z,,,0,,,23.3,
2018-01-17T00:10:28.595Z,,,0,,,23.3,
2018-01-17T00:10:38.510Z,,,0,,,23.3,
2018-01-17T00:10:48.459Z,,,0,,,23.3,
2018-01-17T00:10:58.462Z,44.7,,0,,,23.3,
2018-01-17T00:11:08.460Z,,,0,,,23.3,
2018-01-17T00:11:18.460Z,,,0,,,23.3,
2018-01-17T00:11:28.460Z,,,0,,,23.3,
2018-01-17T00:11:38.540Z,,,0,,,23.2,
2018-01-17T00:11:48.460Z,,,0,,,23.3,
2018-01-17T00:11:58.469Z,,,0,,,23.2,
2018-01-17T00:12:08.463Z,,,0,,,23.2,
2018-01-17T00:12:18.461Z,44.6,,0,,,23.2,
2018-01-17T00:12:28.460Z,,,0,,,23.2,
2018-01-17T00:12:38.540Z,,,0,,,23.2,
2018-01-17T00:12:48.460Z,,,0,,,23.2,
2018-01-17T00:12:58.464Z,,,0,,,23.2,
2018-01-17T00:13:08.460Z,,,0,,,23.2,
2018-01-17T00:13:18.460Z,44.5,,0,,,23.2,
2018-01-17T00:13:28.462Z,,,0,,,23.2,
2018-01-17T00:13:38.551Z,,,0,,,23.2,
2018-01-17T00:13:48.465Z,,,0,,,23.2,
2018-01-17T00:13:58.460Z,,,0,,,23.1,
2018-01-17T00:14:08.460Z,,,0,,,23.1,
2018-01-17T00:14:18.460Z,,,0,,,23.1,
2018-01-17T00:14:28.460Z,44.4,,0,,,23.1,
2018-01-17T00:14:38.540Z,,,0,,,23.1,
2018-01-17T00:14:48.600Z,,,0,,,23.1,
2018-01-17T00:14:58.460Z,,,0,,,23.1,
2018-01-17T00:15:08.463Z,,,0,,,23.1,
2018-01-17T00:15:18.460Z,,,0,,,23.1,
2018-01-17T00:15:28.460Z,,,0,,,23.1,
2018-01-17T00:15:38.550Z,,,0,,,23.1,
2018-01-17T00:15:48.461Z,44.3,,0,,,23.1,
2018-01-17T00:15:58.460Z,,,0,,,23,
2018-01-17T00:16:08.461Z,,,0,,,23,
2018-01-17T00:16:18.461Z,,,0,,,23,
