Time,ActPow,ChActive,HwTSet,PrimT,HwActive,HwTOutlet,PrimTSet
2018-01-20T00:00:03.110Z,,,0,41.1,,26,
2018-01-20T00:00:13.111Z,,,0,,,25.9,
2018-01-20T00:00:23.110Z,,,0,,,25.9,
2018-01-20T00:00:33.110Z,,,0,,,25.9,
2018-01-20T00:00:43.111Z,,,0,,,25.9,
2018-01-20T00:00:53.111Z,,,0,,,25.9,
2018-01-20T00:01:03.111Z,,,0,,,25.9,
2018-01-20T00:01:13.110Z,,,0,,,25.7,
2018-01-20T00:01:23.296Z,,,0,41,,25.7,
2018-01-20T00:01:33.110Z,,,0,,,25.7,
2018-01-20T00:01:43.111Z,,,0,,,25.7,
2018-01-20T00:01:53.110Z,,,0,,,25.7,
2018-01-20T00:02:03.111Z,,,0,,,25.7,
2018-01-20T00:02:13.111Z,,,0,,,25.6,
2018-01-20T00:02:23.111Z,,,0,,,25.6,
2018-01-20T00:02:33.110Z,,,0,40.9,,25.6,
2018-01-20T00:02:43.112Z,,,0,40.9,,25.6,
2018-01-20T00:02:53.112Z,,,0,,,25.6,
2018-01-20T00:03:03.111Z,,,0,,,25.6,
2018-01-20T00:03:13.111Z,,,0,,,25.6,
2018-01-20T00:03:23.111Z,,,0,,,25.5,
2018-01-20T00:03:33.111Z,,,0,,,25.5,
2018-01-20T00:03:43.112Z,,,0,,,25.5,
2018-01-20T00:03:53.111Z,,,0,,,25.5,
2018-01-20T00:04:03.111Z,,,0,,,25.5,
2018-01-20T00:04:13.111Z,,,0,40.8,,25.5,
2018-01-20T00:04:23.111Z,,,0,,,25.4,
2018-01-20T00:04:33.111Z,,,0,,,25.4,
2018-01-20T00:04:43.112Z,,,0,,,25.4,
2018-01-20T00:04:53.111Z,,,0,,,25.4,
2018-01-20T00:05:03.112Z,,,0,,,25.4,
2018-01-20T00:05:13.112Z,,,0,,,25.4,
2018-01-20T00:05:23.113Z,,,0,,,25.3,
2018-01-20T00:05:33.112Z,,,0,40.7,,25.3,
2018-01-20T00:05:43.111Z,,,0,,,25.3,
2018-01-20T00:05:53.112Z,,,0,,,25.3,
2018-01-20T00:06:03.111Z,,,0,,,25.3,
2018-01-20T00:06:13.115Z,,,0,,,25.3,
2018-01-20T00:06:23.114Z,,,0,,,25.3,
2018-01-20T00:06:33.112Z,,,0,,,25.1,
2018-01-20T00:06:43.169Z,,,0,,,25.1,
2018-01-20T00:06:53.128Z,,,0,,,25.1,
2018-01-20T00:07:03.111Z,,,0,40.6,,25.1,
2018-01-20T00:07:13.112Z,,,0,,,25.1,
2018-01-20T00:07:23.242Z,,,0,,,25.1,
2018-01-20T00:07:33.112Z,,,0,,,25.1,
2018-01-20T00:07:43.112Z,,,0,,,25,
2018-01-20T00:07:53.113Z,,,0,,,25,
2018-01-20T00:08:03.113Z,,,0,,,25,
2018-01-20T00:08:13.112Z,,,0,,,25,
2018-01-20T00:08:23.111Z,,,0,,,25,
2018-01-20T00:08:33.112Z,,,0,,,25,
2018-01-20T00:08:43.112Z,,,0,40.5,,25,
2018-01-20T00:08:53.113Z,,,0,,,25,
2018-01-20T00:09:03.112Z,,,0,,,24.9,
2018-01-20T00:09:13.112Z,,,0,,,24.9,
2018-01-20T00:09:23.113Z,,,0,,,24.9,
2018-01-20T00:09:33.114Z,,,0,,,24.9,
2018-01-20T00:09:43.113Z,,,0,,,24.9,
2018-01-20T00:09:53.238Z,,,0,,,24.9,
2018-01-20T00:10:03.111Z,,,0,40.4,,24.9,
2018-01-20T00:10:13.112Z,,,0,,,24.8,
2018-01-20T00:10:23.112Z,,,0,,,24.8,
2018-01-20T00:10:33.118Z,,,0,,,24.8,
2018-01-20T00:10:43.112Z,,,0,,,24.8,
2018-01-20T00:10:53.123Z,,,0,,,24.8,
2018-01-20T00:11:03.122Z,,,0,,,24.8,
2018-01-20T00:11:13.122Z,,,0,,,24.8,
2018-01-20T00:11:23.121Z,,,0,,,24.8,
2018-01-20T00:11:33.112Z,,,0,,,24.8,
2018-01-20T00:11:43.121Z,,,0,40.3,,24.7,
2018-01-20T00:11:53.121Z,,,0,,,24.7,
2018-01-20T00:12:03.121Z,,,0,,,24.7,
2018-01-20T00:12:13.120Z,,,0,,,24.7,
2018-01-20T00:12:23.121Z,,,0,,,24.7,
2018-01-20T00:12:33.113Z,,,0,,,24.7,
2018-01-20T00:12:43.120Z,,,0,,,24.7,
2018-01-20T00:12:53.120Z,,,0,,,24.7,
2018-01-20T00:13:03.119Z,,,0,40.2,,24.5,
2018-01-20T00:13:13.120Z,,,0,,,24.5,
2018-01-20T00:13:23.119Z,,,0,,,24.5,
2018-01-20T00:13:33.112Z,,,0,,,24.5,
2018-01-20T00:13:43.119Z,,,0,,,24.5,
2018-01-20T00:13:53.118Z,,,0,,,24.5,
2018-01-20T00:14:03.118Z,,,0,,,24.5,
2018-01-20T00:14:13.175Z,,,0,,,24.5,
2018-01-20T00:14:23.117Z,,,0,,,24.5,
2018-01-20T00:14:33.113Z,,,0,40.1,,24.4,
