Time,HwActive,PrimT,PrimTSet,ActPow,HwTOutlet,ChActive,HwTSet
2018-01-21T00:00:03.323Z,,,,,31.6,,0
2018-01-21T00:00:13.323Z,,,,,31.6,,0
2018-01-21T00:00:23.323Z,,,,,31.5,,0
2018-01-21T00:00:33.323Z,,,,,31.5,,0
2018-01-21T00:00:43.324Z,,,,,31.5,,0
2018-01-21T00:00:53.323Z,,,,,31.4,,0
2018-01-21T00:01:03.323Z,,48.3,,,31.4,,0
2018-01-21T00:01:13.326Z,,,,,31.4,,0
2018-01-21T00:01:23.323Z,,,,,31.3,,0
2018-01-21T00:01:33.323Z,,,,,31.3,,0
2018-01-21T00:01:43.328Z,,,,,31.3,,0
2018-01-21T00:01:53.323Z,,,,,31.3,,0
2018-01-21T00:02:03.323Z,,,,,31.2,,0
2018-01-21T00:02:13.323Z,,48.2,,,31.2,,0
2018-01-21T00:02:23.323Z,,,,,31.2,,0
2018-01-21T00:02:33.325Z,,,,,31,,0
2018-01-21T00:02:43.325Z,,,,,31,,0
2018-01-21T00:02:53.325Z,,,,,31,,0
2018-01-21T00:03:03.454Z,,,,,30.9,,0
2018-01-21T00:03:13.323Z,,,,,30.9,,0
2018-01-21T00:03:23.456Z,,48.1,,,30.9,,0
2018-01-21T00:03:33.324Z,,,,,30.9,,0
2018-01-21T00:03:43.323Z,,,,,30.8,,0
2018-01-21T00:03:58.357Z,,,,,30.8,,0
2018-01-21T00:04:03.324Z,,,,,30.8,,0
2018-01-21T00:04:13.325Z,,,,,30.8,,0
2018-01-21T00:04:24.138Z,,,,,30.7,,0
2018-01-21T00:04:33.324Z,,48,,,30.7,,0
2018-01-21T00:04:43.324Z,,,,,30.7,,0
2018-01-21T00:04:53.323Z,,,,,30.6,,0
2018-01-21T00:05:03.323Z,,,,,30.6,,0
2018-01-21T00:05:13.324Z,,,,,30.6,,0
2018-01-21T00:05:23.324Z,,48,,,30.6,,0
2018-01-21T00:05:33.451Z,,47.9,,,30.4,,0
2018-01-21T00:05:43.326Z,,,,,30.4,,0
2018-01-21T00:05:53.324Z,,,,,30.4,,0
2018-01-21T00:06:03.449Z,,,,,30.4,,0
2018-01-21T00:06:13.327Z,,,,,30.3,,0
2018-01-21T00:06:23.324Z,,,,,30.3,,0
2018-01-21T00:06:33.325Z,,,,,30.3,,0
2018-01-21T00:06:43.323Z,,47.8,,,30.3,,0
2018-01-21T00:06:53.333Z,,,,,30.2,,0
2018-01-21T00:07:03.324Z,,,,,30.2,,0
2018-01-21T00:07:13.324Z,,,,,30.2,,0
2018-01-21T00:07:23.325Z,,,,,30.2,,0
2018-01-21T00:07:33.324Z,,,,,30.2,,0
2018-01-21T00:07:43.328Z,,,,,30.1,,0
2018-01-21T00:07:53.489Z,,47.7,,,30.1,,0
2018-01-21T00:08:03.326Z,,,,,30.1,,0
2018-01-21T00:08:13.325Z,,,,,30.1,,0
2018-01-21T00:08:23.324Z,,,,,30,,0
2018-01-21T00:08:33.382Z,,,,,30,,0
2018-01-21T00:08:43.329Z,,,,,30,,0
2018-01-21T00:08:53.336Z,,47.6,,,29.8,,0
2018-01-21T00:09:03.324Z,,,,,29.8,,0
2018-01-21T00:09:13.325Z,,,,,29.8,,0
2018-01-21T00:09:23.325Z,,,,,29.8,,0
2018-01-21T00:09:33.340Z,,,,,29.8,,0
2018-01-21T00:09:43.324Z,,,,,29.7,,0
2018-01-21T00:09:53.325Z,,,,,29.7,,0
2018-01-21T00:10:03.326Z,,47.4,,,29.7,,0
2018-01-21T00:10:13.325Z,,,,,29.7,,0
2018-01-21T00:10:23.325Z,,,,,29.6,,0
2018-01-21T00:10:33.324Z,,,,,29.6,,0
2018-01-21T00:10:43.332Z,0,45.4,0,,40.8,0,0
2018-01-21T00:10:53.492Z,,46.1,,,41.3,,0
2018-01-21T00:11:03.325Z,,45.9,,,41.1,,0
2018-01-21T00:11:13.327Z,,,,,40.9,,0
2018-01-21T00:11:23.325Z,,,,,40.6,,0
2018-01-21T00:11:33.326Z,,45.8,,,40.4,,0
2018-01-21T00:11:43.326Z,,,5,,40.2,,0
2018-01-21T00:11:53.328Z,,45.7,,,40.1,,0
2018-01-21T00:12:03.325Z,,,,,39.9,,0
2018-01-21T00:12:13.444Z,,,,,39.8,,0
2018-01-21T00:12:23.325Z,,,,,39.6,,0
2018-01-21T00:12:33.328Z,,45.6,,,39.5,,0
2018-01-21T00:12:43.331Z,,,,,39.3,,0
2018-01-21T00:12:53.327Z,,,,,39.2,,0
2018-01-21T00:13:08.427Z,,,,,38.9,,0
2018-01-21T00:13:13.325Z,,45.5,,,38.8,,0
2018-01-21T00:13:23.325Z,,,,,38.6,,0
2018-01-21T00:13:33.325Z,,,,,38.5,,0
2018-01-21T00:13:43.325Z,,,,,38.4,,0
2018-01-21T00:13:53.325Z,,,,,38.2,,0
2018-01-21T00:14:03.325Z,,,,,38.1,,0
2018-01-21T00:14:13.325Z,,45.4,,,37.9,,0
2018-01-21T00:14:23.325Z,,,,,37.8,,0
2018-01-21T00:14:33.327Z,,,,,37.7,,0
2018-01-21T00:14:43.325Z,,,,,37.6,,0
2018-01-21T00:14:53.434Z,,,,,37.4,,0
2018-01-21T00:15:03.326Z,,,,,37.3,,0
2018-01-21T00:15:13.325Z,,,,,37.2,,0
2018-01-21T00:15:23.326Z,,45.3,,,37.1,,0
2018-01-21T00:15:33.326Z,,,,,36.9,,0
2018-01-21T00:15:43.481Z,,,,,36.8,,0
2018-01-21T00:15:53.325Z,,,,,36.6,,0
2018-01-21T00:16:03.325Z,,,,,36.6,,0
2018-01-21T00:16:13.327Z,,,,,36.5,,0
2018-01-21T00:16:23.326Z,,45.2,,,36.4,,0
2018-01-21T00:16:33.330Z,,,,,36.2,,0
2018-01-21T00:16:43.326Z,,,,,36.2,,0
2018-01-21T00:16:53.329Z,,,,,36.1,,0
2018-01-21T00:17:03.330Z,,,,,36,,0
2018-01-21T00:17:18.418Z,,,,,35.9,,0
2018-01-21T00:17:23.432Z,,45.1,,,35.8,,0
2018-01-21T00:17:33.329Z,,,,,35.7,,0
2018-01-21T00:17:43.333Z,,,,,35.6,,0
2018-01-21T00:17:53.429Z,,,,,35.5,,0
2018-01-21T00:18:03.328Z,,,,,35.4,,0
2018-01-21T00:18:13.328Z,,,,,35.3,,0
2018-01-21T00:18:23.326Z,,45,,,35.2,,0
2018-01-21T00:18:33.330Z,,,,,35.1,,0
2018-01-21T00:18:43.427Z,,,,,34.9,,0
2018-01-21T00:18:53.328Z,,,,,34.9,,0
2018-01-21T00:19:03.342Z,,,,,34.8,,0
2018-01-21T00:19:13.326Z,,45,,,34.7,,0
2018-01-21T00:19:28.537Z,,45,,,34.6,,0
2018-01-21T00:19:33.581Z,,44.9,,,34.5,,0
2018-01-21T00:19:43.426Z,,,,,34.5,,0
2018-01-21T00:19:53.570Z,,,,,34.4,,0
2018-01-21T00:20:03.326Z,,,,,34.3,,0
2018-01-21T00:20:13.326Z,,,,,34.2,,0
