Time,HwActive,HwTSet,ActPow,HwTOutlet,PrimT,PrimTSet,ChActive
2018-01-22T00:00:03.534Z,,0,,32.3,,,
2018-01-22T00:00:13.532Z,,0,,32.3,,,
2018-01-22T00:00:23.727Z,,0,,32.2,,,
2018-01-22T00:00:33.531Z,0,0,0,32.2,46,5,0
2018-01-22T00:00:48.586Z,,0,,32.1,,,
2018-01-22T00:00:53.531Z,,0,,32.1,,,
2018-01-22T00:01:03.532Z,,0,,32,,,
2018-01-22T00:01:13.539Z,,0,,32,,,
2018-01-22T00:01:23.535Z,,0,,32,,,
2018-01-22T00:01:33.531Z,,0,,31.9,45.9,,
2018-01-22T00:01:43.532Z,,0,,31.9,,,
2018-01-22T00:01:53.532Z,,0,,31.8,,,
2018-01-22T00:02:03.535Z,,0,,31.8,,,
2018-01-22T00:02:13.533Z,,0,,31.8,,,
2018-01-22T00:02:23.531Z,,0,,31.6,,,
2018-01-22T00:02:33.532Z,,0,,31.6,,,
2018-01-22T00:02:48.734Z,,0,,31.5,45.8,,
2018-01-22T00:02:53.532Z,,0,,31.5,,,
2018-01-22T00:03:03.532Z,,0,,31.5,,,
2018-01-22T00:03:13.727Z,,0,,31.4,,,
2018-01-22T00:03:23.542Z,,0,,31.4,,,
2018-01-22T00:03:33.531Z,,0,,31.3,45.7,,
2018-01-22T00:03:43.532Z,,0,,31.3,,,
2018-01-22T00:03:53.532Z,,0,,31.3,,,
2018-01-22T00:04:03.532Z,,0,,31.2,,,
2018-01-22T00:04:13.532Z,,0,,31.2,,,
2018-01-22T00:04:23.532Z,,0,,31,,,
2018-01-22T00:04:33.532Z,,0,,31,,,
2018-01-22T00:04:43.538Z,,0,,31,,,
2018-01-22T00:04:53.675Z,,0,,30.9,45.6,,
2018-01-22T00:05:08.634Z,,0,,30.9,,,
2018-01-22T00:05:13.532Z,,0,,30.9,,,
2018-01-22T00:05:23.532Z,,0,,30.8,,,
2018-01-22T00:05:33.536Z,,0,,30.8,,,
2018-01-22T00:05:43.533Z,,0,,30.8,,,
2018-01-22T00:05:53.674Z,,0,,30.7,45.5,,
2018-01-22T00:06:03.676Z,,0,,30.7,,,
2018-01-22T00:06:13.537Z,,0,,30.6,,,
2018-01-22T00:06:23.673Z,,0,,30.6,,,
2018-01-22T00:06:33.533Z,,0,,30.6,,,
2018-01-22T00:06:43.532Z,,0,,30.4,,,
2018-01-22T00:06:53.717Z,,0,,30.4,,,
2018-01-22T00:07:03.537Z,,0,,30.4,45.4,,
2018-01-22T00:07:13.534Z,,0,,30.3,,,
2018-01-22T00:07:28.787Z,,0,,30.3,,,
2018-01-22T00:07:33.539Z,,0,,30.3,,,
2018-01-22T00:07:43.532Z,,0,,30.2,,,
2018-01-22T00:07:53.534Z,,0,,30.2,,,
2018-01-22T00:08:03.672Z,,0,,30.2,,,
2018-01-22T00:08:13.535Z,,0,,30.1,45.3,,
2018-01-22T00:08:23.537Z,,0,,30.1,,,
2018-01-22T00:08:33.538Z,,0,,30.1,,,
2018-01-22T00:08:43.532Z,,0,,30.1,,,
2018-01-22T00:08:53.532Z,,0,,30,,,
2018-01-22T00:09:03.533Z,,0,,30,,,
2018-01-22T00:09:13.532Z,,0,,30,45.2,,
2018-01-22T00:09:23.535Z,,0,,29.8,,,
2018-01-22T00:09:33.535Z,,0,,29.8,,,
2018-01-22T00:09:43.533Z,,0,,29.8,,,
2018-01-22T00:09:53.534Z,,0,,29.8,,,
2018-01-22T00:10:03.533Z,,0,,29.7,,,
2018-01-22T00:10:13.618Z,,0,,29.7,,,
2018-01-22T00:10:23.538Z,,0,,29.7,,,
2018-01-22T00:10:33.536Z,,0,,29.6,45.1,,
2018-01-22T00:10:43.538Z,,0,,29.6,,,
2018-01-22T00:10:53.536Z,,0,,29.6,,,
2018-01-22T00:11:03.743Z,,0,,29.5,,,
2018-01-22T00:11:13.533Z,,0,,29.5,,,
2018-01-22T00:11:23.549Z,,0,,29.5,,,
2018-01-22T00:11:33.547Z,,0,,29.5,45,,
2018-01-22T00:11:43.539Z,,0,,29.3,,,
2018-01-22T00:11:53.535Z,,0,,29.3,,,
2018-01-22T00:12:03.666Z,,0,,29.3,,,
2018-01-22T00:12:13.533Z,,0,,29.2,,,
2018-01-22T00:12:23.536Z,,0,,29.2,,,
2018-01-22T00:12:33.535Z,,0,,29.2,,,
2018-01-22T00:12:43.536Z,,0,,29.2,44.9,,
2018-01-22T00:12:53.533Z,,0,,29.1,,,
2018-01-22T00:13:03.533Z,,0,,29.1,,,
2018-01-22T00:13:13.708Z,,0,,29.1,,,
2018-01-22T00:13:23.533Z,,0,,29.1,,,
2018-01-22T00:13:33.533Z,,0,,29.1,,,
2018-01-22T00:13:43.533Z,,0,,29,,,
2018-01-22T00:13:53.708Z,,0,,29,,,
2018-01-22T00:14:03.541Z,,0,,29,44.8,,
2018-01-22T00:14:13.574Z,,0,,28.9,,,
2018-01-22T00:14:23.533Z,,0,,28.9,,,
2018-01-22T00:14:33.533Z,,0,,28.9,,,
2018-01-22T00:14:43.534Z,,0,,28.9,,,
2018-01-22T00:14:53.535Z,,0,,28.9,,,
2018-01-22T00:15:03.534Z,,0,,28.7,,,
2018-01-22T00:15:13.542Z,,0,,28.7,44.7,,
2018-01-22T00:15:23.668Z,,0,,28.7,,,
2018-01-22T00:15:33.547Z,,0,,28.7,,,
2018-01-22T00:15:43.540Z,,0,,28.6,,,
2018-01-22T00:15:58.738Z,,0,,28.6,,,
2018-01-22T00:16:03.539Z,,0,,28.6,,,
2018-01-22T00:16:13.534Z,,0,,28.6,,,
2018-01-22T00:16:23.535Z,,0,,28.5,44.6,,
2018-01-22T00:16:33.536Z,,0,,28.5,44.7,,
