Time,HwTSet,PrimTSet,PrimT,HwTOutlet,ActPow,ChActive,HwActive
2018-01-23T00:00:03.755Z,0,,,34.9,,,
2018-01-23T00:00:14.306Z,0,,52.3,34.8,,,
2018-01-23T00:00:23.765Z,0,,,34.8,,,
2018-01-23T00:00:39.224Z,0,,,34.7,,,
2018-01-23T00:00:43.754Z,0,,52.2,34.6,,,
2018-01-23T00:00:55.017Z,0,,,34.5,,,
2018-01-23T00:01:05.377Z,0,,,34.4,,,
2018-01-23T00:01:13.767Z,0,,,34.4,,,
2018-01-23T00:01:27.377Z,0,,52.1,34.3,,,
2018-01-23T00:01:33.878Z,0,,,34.2,,,
2018-01-23T00:01:48.786Z,0,,,34.1,,,
2018-01-23T00:01:53.769Z,0,,52,34.1,,,
2018-01-23T00:02:03.746Z,0,,,34,,,
2018-01-23T00:02:13.751Z,0,5,52,33.9,0,0,0
2018-01-23T00:02:24.773Z,0,,,33.8,,,
2018-01-23T00:02:33.756Z,0,,51.9,33.8,,,
2018-01-23T00:02:43.750Z,0,,,33.7,,,
2018-01-23T00:02:53.751Z,0,,,33.6,,,
2018-01-23T00:03:03.751Z,0,,,33.6,,,
2018-01-23T00:03:13.753Z,0,,51.8,33.5,,,
2018-01-23T00:03:23.750Z,0,,,33.4,,,
2018-01-23T00:03:33.755Z,0,,,33.4,,,
2018-01-23T00:03:43.873Z,0,,,33.3,,,
2018-01-23T00:03:53.750Z,0,,,33.2,,,
2018-01-23T00:04:04.603Z,0,,51.7,33.2,,,
2018-01-23T00:04:13.758Z,0,,,33.1,,,
2018-01-23T00:04:29.666Z,0,,,32.9,,,
2018-01-23T00:04:33.979Z,0,,51.6,32.8,,,
2018-01-23T00:04:43.864Z,0,,,32.8,,,
2018-01-23T00:04:53.750Z,0,,,32.7,,,
2018-01-23T00:05:03.749Z,0,,,32.7,,,
2018-01-23T00:05:13.757Z,0,,,32.6,,,
2018-01-23T00:05:23.755Z,0,,51.5,32.5,,,
2018-01-23T00:05:33.759Z,0,,,32.5,,,
2018-01-23T00:05:49.457Z,0,,,32.4,,,
2018-01-23T00:05:53.752Z,0,,,32.4,,,
2018-01-23T00:06:03.750Z,0,,51.4,32.3,,,
2018-01-23T00:06:13.759Z,0,,,32.2,,,
2018-01-23T00:06:23.749Z,0,,,32.2,,,
2018-01-23T00:06:33.755Z,0,,,32.1,,,
2018-01-23T00:06:43.748Z,0,,,32.1,,,
2018-01-23T00:06:53.759Z,0,,51.3,32,,,
2018-01-23T00:07:03.758Z,0,,,32,,,
2018-01-23T00:07:13.753Z,0,,,31.9,,,
2018-01-23T00:07:23.755Z,0,,,31.8,,,
2018-01-23T00:07:39.033Z,0,,51.2,31.8,,,
2018-01-23T00:07:43.752Z,0,,,31.6,,,
2018-01-23T00:07:58.855Z,0,,,31.6,,,
2018-01-23T00:08:03.752Z,0,,,31.5,,,
2018-01-23T00:08:13.747Z,0,,,31.5,,,
2018-01-23T00:08:23.748Z,0,,51.1,31.4,,,
2018-01-23T00:08:43.756Z,0,,,31.3,,,
2018-01-23T00:08:53.930Z,0,,,31.3,,,
2018-01-23T00:09:03.755Z,0,,,31.2,,,
2018-01-23T00:09:13.752Z,0,,51,31.2,,,
2018-01-23T00:09:28.839Z,0,,,31,,,
2018-01-23T00:09:38.777Z,0,,,31,,,
2018-01-23T00:09:48.774Z,0,,,30.9,,,
2018-01-23T00:09:53.747Z,0,,51,30.9,,,
2018-01-23T00:10:03.750Z,0,,50.9,30.8,,,
2018-01-23T00:10:13.860Z,0,,,30.8,,,
2018-01-23T00:10:23.904Z,0,,,30.7,,,
2018-01-23T00:10:43.757Z,0,,50.7,30.7,,,
2018-01-23T00:10:53.751Z,0,,,30.6,,,
2018-01-23T00:11:03.749Z,0,,,30.6,,,
2018-01-23T00:11:13.755Z,0,,,30.4,,,
2018-01-23T00:11:23.755Z,0,,,30.4,,,
2018-01-23T00:11:33.757Z,0,,,30.3,,,
2018-01-23T00:11:43.751Z,0,,50.6,30.3,,,
2018-01-23T00:11:53.756Z,0,,,30.2,,,
2018-01-23T00:12:03.750Z,0,,,30.2,,,
2018-01-23T00:12:13.755Z,0,,50.5,30.1,,,
2018-01-23T00:12:23.770Z,0,,,30.1,,,
2018-01-23T00:12:33.857Z,0,,,30.1,,,
2018-01-23T00:12:43.757Z,0,,,30,,,
