Time,HwTOutlet,PrimTSet,PrimT,ChActive,ActPow,HwActive,HwTSet
2018-01-25T00:00:06.185Z,25.4,,,,,,0
2018-01-25T00:00:16.184Z,25.4,,,,,,0
2018-01-25T00:00:26.184Z,25.4,,,,,,0
2018-01-25T00:00:36.274Z,25.4,,,,,,0
2018-01-25T00:00:46.184Z,25.4,,,,,,0
2018-01-25T00:00:56.185Z,25.4,,,,,,0
2018-01-25T00:01:06.188Z,25.4,,,,,,0
2018-01-25T00:01:16.188Z,25.3,,43.8,,,,0
2018-01-25T00:01:26.185Z,25.3,,,,,,0
2018-01-25T00:01:36.275Z,25.3,,,,,,0
2018-01-25T00:01:46.185Z,25.3,,,,,,0
2018-01-25T00:01:56.184Z,25.3,,,,,,0
2018-01-25T00:02:06.185Z,25.3,,,,,,0
2018-01-25T00:02:16.188Z,25.3,,,,,,0
2018-01-25T00:02:26.189Z,25.3,,43.7,,,,0
2018-01-25T00:02:36.274Z,25.3,,,,,,0
2018-01-25T00:02:46.192Z,25.1,,,,,,0
2018-01-25T00:03:01.301Z,25.1,,,,,,0
2018-01-25T00:03:06.193Z,25.1,,,,,,0
2018-01-25T00:03:16.195Z,25.1,,,,,,0
2018-01-25T00:03:26.191Z,25.1,,,,,,0
2018-01-25T00:03:36.297Z,25.1,,43.6,,,,0
2018-01-25T00:03:46.185Z,25.1,,,,,,0
2018-01-25T00:03:56.184Z,25.1,,,,,,0
2018-01-25T00:04:06.185Z,25.1,,,,,,0
2018-01-25T00:04:16.185Z,25.1,,,,,,0
2018-01-25T00:04:26.188Z,25.1,,,,,,0
2018-01-25T00:04:36.275Z,25,,,,,,0
2018-01-25T00:04:46.184Z,25,,,,,,0
2018-01-25T00:04:56.185Z,25,,43.5,,,,0
2018-01-25T00:05:06.185Z,25,,,,,,0
2018-01-25T00:05:18.542Z,25,5,43.5,0,0,0,0
2018-01-25T00:05:27.980Z,25,,,,,,0
2018-01-25T00:05:36.275Z,25,,,,,,0
2018-01-25T00:05:46.300Z,25,,,,,,0
2018-01-25T00:05:56.185Z,24.9,,,,,,0
2018-01-25T00:06:06.184Z,24.9,,43.4,,,,0
2018-01-25T00:06:16.185Z,24.9,,,,,,0
2018-01-25T00:06:26.185Z,24.9,,,,,,0
2018-01-25T00:06:36.276Z,24.9,,,,,,0
2018-01-25T00:06:46.184Z,24.9,,,,,,0
2018-01-25T00:06:56.188Z,24.9,,,,,,0
2018-01-25T00:07:06.185Z,24.9,,,,,,0
2018-01-25T00:07:16.184Z,24.9,,,,,,0
2018-01-25T00:07:26.185Z,24.9,,43.3,,,,0
2018-01-25T00:07:36.278Z,24.9,,,,,,0
2018-01-25T00:07:46.185Z,24.9,,,,,,0
2018-01-25T00:07:56.186Z,24.9,,,,,,0
2018-01-25T00:08:06.185Z,24.8,,,,,,0
2018-01-25T00:08:16.382Z,24.8,,,,,,0
2018-01-25T00:08:26.188Z,24.8,,,,,,0
2018-01-25T00:08:36.275Z,24.8,,43.2,,,,0
2018-01-25T00:08:46.185Z,24.8,,,,,,0
2018-01-25T00:08:56.191Z,24.8,,,,,,0
2018-01-25T00:09:06.185Z,24.8,,,,,,0
2018-01-25T00:09:16.186Z,24.8,,,,,,0
2018-01-25T00:09:26.185Z,24.8,,,,,,0
2018-01-25T00:09:36.278Z,24.7,,,,,,0
2018-01-25T00:09:46.185Z,24.7,,,,,,0
2018-01-25T00:09:56.186Z,24.7,,43.2,,,,0
2018-01-25T00:10:06.188Z,24.7,,43.1,,,,0
2018-01-25T00:10:16.186Z,24.7,,,,,,0
2018-01-25T00:10:26.185Z,24.7,,,,,,0
2018-01-25T00:10:36.275Z,24.7,,,,,,0
2018-01-25T00:10:46.185Z,24.7,,,,,,0
2018-01-25T00:10:56.185Z,24.7,,,,,,0
2018-01-25T00:11:06.185Z,24.7,,,,,,0
2018-01-25T00:11:21.276Z,24.7,,43,,,,0
2018-01-25T00:11:31.286Z,24.7,,,,,,0
2018-01-25T00:11:36.275Z,24.5,,,,,,0
2018-01-25T00:11:46.186Z,24.5,,,,,,0
2018-01-25T00:11:56.185Z,24.5,,,,,,0
2018-01-25T00:12:06.186Z,24.5,,,,,,0
2018-01-25T00:12:16.189Z,24.5,,,,,,0
2018-01-25T00:12:26.186Z,24.5,,42.9,,,,0
2018-01-25T00:12:36.278Z,24.5,,43,,,,0
2018-01-25T00:12:46.186Z,24.5,,42.9,,,,0
2018-01-25T00:12:56.189Z,24.5,,,,,,0
2018-01-25T00:13:06.186Z,24.5,,,,,,0
2018-01-25T00:13:16.186Z,24.5,,,,,,0
2018-01-25T00:13:26.185Z,24.5,,,,,,0
2018-01-25T00:13:36.276Z,24.4,,,,,,0
2018-01-25T00:13:51.278Z,24.4,,,,,,0
2018-01-25T00:13:56.191Z,24.4,,42.8,,,,0
2018-01-25T00:14:06.186Z,24.4,,,,,,0
2018-01-25T00:14:16.186Z,24.4,,,,,,0
2018-01-25T00:14:26.217Z,24.4,,,,,,0
2018-01-25T00:14:36.278Z,24.4,,,,,,0
2018-01-25T00:14:46.187Z,24.4,,,,,,0
2018-01-25T00:14:56.192Z,24.4,,,,,,0
2018-01-25T00:15:06.204Z,24.4,,,,,,0
2018-01-25T00:15:16.187Z,24.4,,42.7,,,,0
2018-01-25T00:15:26.204Z,24.3,,,,,,0
