Time,HwTOutlet,HwActive,ActPow,PrimTSet,ChActive,PrimT,HwTSet
2018-01-26T00:00:06.395Z,23.9,,,,,,0
2018-01-26T00:00:16.396Z,23.9,,,,,,0
2018-01-26T00:00:26.396Z,23.9,,,,,37.3,0
2018-01-26T00:00:36.398Z,23.8,,,,,37.4,0
2018-01-26T00:00:46.801Z,23.8,,,,,37.3,0
2018-01-26T00:01:01.536Z,23.8,,,,,,0
2018-01-26T00:01:06.396Z,23.9,,,,,,0
2018-01-26T00:01:16.395Z,23.8,,,,,,0
2018-01-26T00:01:26.396Z,23.8,,,,,,0
2018-01-26T00:01:36.398Z,23.8,,,,,,0
2018-01-26T00:01:46.490Z,23.8,,,,,,0
2018-01-26T00:01:56.398Z,23.8,,,,,,0
2018-01-26T00:02:06.396Z,23.8,,,,,,0
2018-01-26T00:02:16.402Z,23.8,,,,,37.2,0
2018-01-26T00:02:26.402Z,23.8,,,,,,0
2018-01-26T00:02:36.397Z,23.8,,,,,,0
2018-01-26T00:02:46.487Z,23.8,,,,,,0
2018-01-26T00:02:56.397Z,23.8,,,,,,0
2018-01-26T00:03:06.398Z,23.8,,,,,,0
2018-01-26T00:03:16.412Z,23.8,,,,,,0
2018-01-26T00:03:26.396Z,23.7,,,,,,0
2018-01-26T00:03:36.396Z,23.7,,,,,,0
2018-01-26T00:03:46.485Z,23.7,,,,,,0
2018-01-26T00:03:56.396Z,23.7,,,,,37.1,0
2018-01-26T00:04:06.396Z,23.7,,,,,,0
2018-01-26T00:04:16.396Z,23.7,,,,,,0
2018-01-26T00:04:26.396Z,23.7,,,,,,0
2018-01-26T00:04:36.540Z,23.7,,,,,,0
2018-01-26T00:04:51.506Z,23.7,,,,,,0
2018-01-26T00:04:56.399Z,23.7,,,,,,0
2018-01-26T00:05:06.410Z,23.7,,,,,,0
2018-01-26T00:05:16.397Z,23.7,,,,,,0
2018-01-26T00:05:26.396Z,23.7,,,,,,0
2018-01-26T00:05:36.397Z,23.7,,,,,36.9,0
2018-01-26T00:05:46.486Z,23.6,,,,,36.9,0
2018-01-26T00:05:56.538Z,23.6,,,,,,0
2018-01-26T00:06:06.396Z,23.6,,,,,,0
2018-01-26T00:06:16.396Z,23.6,,,,,,0
2018-01-26T00:06:26.397Z,23.6,,,,,,0
2018-01-26T00:06:36.535Z,23.6,,,,,,0
2018-01-26T00:06:46.499Z,23.6,0,0,5,0,36.9,0
2018-01-26T00:06:56.424Z,23.6,,,,,,0
2018-01-26T00:07:06.427Z,23.6,,,,,,0
2018-01-26T00:07:16.402Z,23.6,,,,,,0
2018-01-26T00:07:26.397Z,23.6,,,,,,0
2018-01-26T00:07:36.397Z,23.6,,,,,,0
2018-01-26T00:07:46.487Z,23.6,,,,,36.8,0
2018-01-26T00:07:56.397Z,23.6,,,,,,0
2018-01-26T00:08:06.396Z,23.6,,,,,,0
2018-01-26T00:08:16.396Z,23.6,,,,,,0
2018-01-26T00:08:26.397Z,23.4,,,,,,0
2018-01-26T00:08:36.397Z,23.4,,,,,,0
2018-01-26T00:08:46.487Z,23.4,,,,,,0
2018-01-26T00:08:56.397Z,23.4,,,,,,0
2018-01-26T00:09:06.397Z,23.4,,,,,,0
2018-01-26T00:09:16.403Z,23.4,,,,,,0
2018-01-26T00:09:26.397Z,23.4,,,,,36.7,0
2018-01-26T00:09:36.397Z,23.4,,,,,,0
2018-01-26T00:09:46.507Z,23.4,,,,,,0
2018-01-26T00:09:56.398Z,23.4,,,,,,0
2018-01-26T00:10:06.397Z,23.4,,,,,,0
2018-01-26T00:10:16.397Z,23.4,,,,,,0
2018-01-26T00:10:26.397Z,23.4,,,,,,0
2018-01-26T00:10:36.397Z,23.4,,,,,,0
2018-01-26T00:10:46.504Z,23.3,,,,,,0
2018-01-26T00:10:56.397Z,23.4,,,,,,0
2018-01-26T00:11:06.397Z,23.4,,,,,,0
2018-01-26T00:11:16.399Z,23.4,,,,,36.6,0
2018-01-26T00:11:26.427Z,23.3,,,,,,0
2018-01-26T00:11:36.421Z,23.3,,,,,,0
2018-01-26T00:11:46.497Z,23.3,,,,,,0
2018-01-26T00:11:56.419Z,23.3,,,,,,0
2018-01-26T00:12:06.418Z,23.3,,,,,,0
2018-01-26T00:12:16.418Z,23.3,,,,,,0
2018-01-26T00:12:26.397Z,23.3,,,,,,0
2018-01-26T00:12:36.398Z,23.3,,,,,,0
2018-01-26T00:12:46.495Z,23.3,,,,,,0
2018-01-26T00:12:56.397Z,23.3,,,,,,0
2018-01-26T00:13:06.397Z,23.3,,,,,36.5,0
2018-01-26T00:13:16.398Z,23.3,,,,,,0
2018-01-26T00:13:26.397Z,23.3,,,,,,0
2018-01-26T00:13:36.398Z,23.3,,,,,,0
2018-01-26T00:13:46.495Z,23.3,,,,,,0
2018-01-26T00:13:56.398Z,23.3,,,,,,0
2018-01-26T00:14:06.399Z,23.3,,,,,,0
2018-01-26T00:14:16.397Z,23.2,,,,,,0
2018-01-26T00:14:26.397Z,23.2,,,,,,0
2018-01-26T00:14:36.398Z,23.2,,,,,,0
2018-01-26T00:14:46.493Z,23.2,,,,,,0
2018-01-26T00:14:56.397Z,23.2,,,,,36.4,0
2018-01-26T00:15:06.398Z,23.2,,,,,,0
2018-01-26T00:15:16.397Z,23.2,,,,,,0
2018-01-26T00:15:26.398Z,23.2,,,,,,0
2018-01-26T00:15:36.403Z,23.2,,,,,,0
2018-01-26T00:15:46.495Z,23.2,,,,,,0
2018-01-26T00:15:56.398Z,23.2,,,,,,0
2018-01-26T00:16:06.398Z,23.2,,,,,,0
2018-01-26T00:16:16.397Z,23.2,,,,,,0
2018-01-26T00:16:26.398Z,23.2,,,,,,0
2018-01-26T00:16:36.398Z,23.2,,,,,,0
2018-01-26T00:16:46.688Z,23.2,,,,,36.3,0
2018-01-26T00:16:56.398Z,23.2,,,,,,0
2018-01-26T00:17:06.398Z,23.2,,,,,,0
2018-01-26T00:17:16.398Z,23.1,,,,,,0
2018-01-26T00:17:26.398Z,23.1,,,,,,0
