Time,HwTOutlet,PrimTSet,HwActive,HwTSet,ChActive,ActPow,PrimT
2018-01-27T00:00:06.613Z,24.5,,,0,,,
2018-01-27T00:00:16.613Z,24.5,,,0,,,40.8
2018-01-27T00:00:26.613Z,24.5,,,0,,,
2018-01-27T00:00:36.699Z,24.5,,,0,,,
2018-01-27T00:00:46.613Z,24.5,,,0,,,
2018-01-27T00:01:06.615Z,24.5,,,0,,,
2018-01-27T00:01:16.613Z,24.5,,,0,,,
2018-01-27T00:01:26.613Z,24.5,,,0,,,
2018-01-27T00:01:36.613Z,24.5,,,0,,,40.7
2018-01-27T00:01:46.615Z,24.5,,,0,,,
2018-01-27T00:01:56.613Z,24.5,,,0,,,
2018-01-27T00:02:06.614Z,24.4,,,0,,,
2018-01-27T00:02:16.830Z,24.4,,,0,,,
2018-01-27T00:02:26.613Z,24.4,,,0,,,
2018-01-27T00:02:36.613Z,24.4,,,0,,,
2018-01-27T00:02:46.614Z,,,,,,,40.6
2018-01-27T00:02:56.613Z,24.4,,,0,,,
2018-01-27T00:03:06.614Z,24.4,,,0,,,
2018-01-27T00:03:16.614Z,24.4,,,0,,,
2018-01-27T00:03:26.613Z,24.4,,,0,,,
2018-01-27T00:03:36.614Z,24.4,,,0,,,
2018-01-27T00:03:46.613Z,24.3,,,0,,,
2018-01-27T00:03:56.613Z,24.3,,,0,,,
2018-01-27T00:04:06.613Z,24.3,,,0,,,
2018-01-27T00:04:16.614Z,24.3,,,0,,,
2018-01-27T00:04:26.613Z,24.3,,,0,,,40.5
2018-01-27T00:04:36.613Z,24.3,,,0,,,
2018-01-27T00:04:46.615Z,24.3,,,0,,,
2018-01-27T00:04:56.614Z,24.3,,,0,,,
2018-01-27T00:05:06.615Z,24.3,,,0,,,
2018-01-27T00:05:16.614Z,24.3,,,0,,,
2018-01-27T00:05:36.614Z,24.3,,,0,,,40.4
2018-01-27T00:05:46.614Z,24.2,,,0,,,
2018-01-27T00:05:56.613Z,24.2,,,0,,,40.4
2018-01-27T00:06:06.616Z,24.2,,,0,,,
2018-01-27T00:06:26.614Z,24.2,,,0,,,
2018-01-27T00:06:36.613Z,24.2,,,0,,,
2018-01-27T00:06:46.614Z,24.2,,,0,,,
2018-01-27T00:07:06.614Z,24.2,,,0,,,
2018-01-27T00:07:16.614Z,24.2,,,0,,,
2018-01-27T00:07:26.819Z,,,,,,,40.3
2018-01-27T00:07:36.613Z,24.2,,,0,,,
2018-01-27T00:07:46.614Z,24,,,0,,,
2018-01-27T00:08:06.614Z,24,,,0,,,
2018-01-27T00:08:16.614Z,24,5,0,0,0,0,40.3
2018-01-27T00:08:36.637Z,24,,,0,,,
2018-01-27T00:08:46.647Z,24,,,0,,,
2018-01-27T00:08:56.614Z,,,,,,,40.2
2018-01-27T00:09:06.614Z,24,,,0,,,
2018-01-27T00:09:26.819Z,24,,,0,,,
2018-01-27T00:09:36.615Z,24,,,0,,,
2018-01-27T00:09:56.614Z,23.9,,,0,,,
2018-01-27T00:10:06.621Z,23.9,,,0,,,
2018-01-27T00:10:16.614Z,,,,,,,40.1
2018-01-27T00:10:26.615Z,23.9,,,0,,,
2018-01-27T00:10:36.615Z,23.9,,,0,,,
2018-01-27T00:10:56.614Z,23.9,,,0,,,
2018-01-27T00:11:06.614Z,23.9,,,0,,,
2018-01-27T00:11:16.615Z,23.9,,,0,,,
2018-01-27T00:11:36.614Z,23.8,,,0,,,
2018-01-27T00:11:46.614Z,23.8,,,0,,,40
2018-01-27T00:12:06.615Z,23.8,,,0,,,
2018-01-27T00:12:16.614Z,23.8,,,0,,,
2018-01-27T00:12:36.615Z,23.8,,,0,,,
2018-01-27T00:12:46.615Z,23.8,,,0,,,
2018-01-27T00:13:06.619Z,23.8,,,0,,,40
2018-01-27T00:13:16.615Z,23.8,,,0,,,39.9
2018-01-27T00:13:26.632Z,23.8,,,0,,,
2018-01-27T00:13:36.642Z,23.7,,,0,,,
2018-01-27T00:13:46.649Z,23.7,,,0,,,
2018-01-27T00:13:56.652Z,23.7,,,0,,,
2018-01-27T00:14:16.615Z,23.7,,,0,,,
2018-01-27T00:14:26.618Z,23.7,,,0,,,
2018-01-27T00:14:46.643Z,23.7,,,0,,,
2018-01-27T00:14:56.615Z,23.7,,,0,,,
2018-01-27T00:15:06.615Z,23.7,,,0,,,39.8
2018-01-27T00:15:16.615Z,23.7,,,0,,,
