Time,PrimTSet,HwTSet,ActPow,HwTOutlet,PrimT,ChActive,HwActive
2018-01-28T00:00:06.822Z,,0,,26.9,,,
2018-01-28T00:00:16.824Z,,0,,26.9,,,
2018-01-28T00:00:26.822Z,,0,,26.9,,,
2018-01-28T00:00:36.823Z,,0,,26.9,,,
2018-01-28T00:00:46.829Z,,0,,26.9,,,
2018-01-28T00:00:56.822Z,,0,,26.9,,,
2018-01-28T00:01:06.823Z,,0,,26.9,,,
2018-01-28T00:01:16.822Z,,0,,26.9,38.3,,
2018-01-28T00:01:26.823Z,,0,,26.8,,,
2018-01-28T00:01:36.823Z,,0,,26.8,,,
2018-01-28T00:01:46.823Z,,0,,26.8,,,
2018-01-28T00:01:56.989Z,,0,,26.8,,,
2018-01-28T00:02:06.823Z,,0,,26.8,,,
2018-01-28T00:02:16.823Z,,0,,26.8,,,
2018-01-28T00:02:26.822Z,,0,,26.8,,,
2018-01-28T00:02:36.825Z,,0,,26.8,,,
2018-01-28T00:02:46.823Z,,0,,26.7,,,
2018-01-28T00:02:56.989Z,,0,,26.8,,,
2018-01-28T00:03:06.830Z,,0,,26.7,,,
2018-01-28T00:03:16.823Z,,0,,26.7,38.2,,
2018-01-28T00:03:26.825Z,,0,,26.7,,,
2018-01-28T00:03:36.825Z,,0,,26.7,,,
2018-01-28T00:03:46.829Z,,0,,26.7,,,
2018-01-28T00:03:56.823Z,,0,,26.7,,,
2018-01-28T00:04:11.965Z,,0,,26.7,,,
2018-01-28T00:04:16.823Z,,0,,26.7,,,
2018-01-28T00:04:26.826Z,,0,,26.7,,,
2018-01-28T00:04:36.823Z,,0,,26.6,,,
2018-01-28T00:04:46.829Z,,0,,26.6,,,
2018-01-28T00:04:56.827Z,,0,,26.6,,,
2018-01-28T00:05:11.848Z,,0,,26.6,38.1,,
2018-01-28T00:05:16.825Z,,0,,26.6,,,
2018-01-28T00:05:26.829Z,,0,,26.6,,,
2018-01-28T00:05:36.832Z,,0,,26.6,,,
2018-01-28T00:05:46.826Z,,0,,26.6,,,
2018-01-28T00:05:56.824Z,,0,,26.5,,,
2018-01-28T00:06:06.824Z,,0,,26.5,,,
2018-01-28T00:06:16.828Z,,0,,26.5,,,
2018-01-28T00:06:26.825Z,,0,,26.5,,,
2018-01-28T00:06:36.824Z,,0,,26.5,,,
2018-01-28T00:06:46.825Z,,0,,26.5,,,
2018-01-28T00:06:56.828Z,,0,,26.5,38,,
2018-01-28T00:07:06.823Z,,0,,26.5,,,
2018-01-28T00:07:16.828Z,,0,,26.5,,,
2018-01-28T00:07:26.827Z,,0,,26.5,,,
