Time,HwTOutlet,PrimT,HwTSet,ChActive,ActPow,PrimTSet,HwActive
2018-01-30T00:00:07.263Z,32.7,,0,,,,
2018-01-30T00:00:17.266Z,32.6,45,0,,,,
2018-01-30T00:00:27.262Z,32.6,,0,,,,
2018-01-30T00:00:37.262Z,32.5,,0,,,,
2018-01-30T00:00:47.353Z,32.4,45,0,,,,
2018-01-30T00:00:57.265Z,32.4,44.9,0,,,,
2018-01-30T00:01:07.265Z,32.3,,0,,,,
2018-01-30T00:01:17.284Z,32.2,,0,,,,
2018-01-30T00:01:27.265Z,32.2,,0,,,,
2018-01-30T00:01:37.262Z,32.1,,0,,,,
2018-01-30T00:01:47.365Z,32,,0,,,,
2018-01-30T00:01:57.266Z,32,44.8,0,,,,
2018-01-30T00:02:07.271Z,31.9,,0,,,,
2018-01-30T00:02:17.261Z,31.9,,0,,,,
2018-01-30T00:02:27.263Z,31.8,,0,,,,
2018-01-30T00:02:37.263Z,31.8,,0,,,,
2018-01-30T00:02:47.362Z,31.6,44.7,0,,,,
2018-01-30T00:02:57.272Z,31.5,,0,,,,
2018-01-30T00:03:07.276Z,31.5,,0,,,,
2018-01-30T00:03:17.272Z,31.4,,0,,,,
2018-01-30T00:03:27.273Z,31.4,44.6,0,,,,
2018-01-30T00:03:37.262Z,31.3,,0,,,,
2018-01-30T00:03:47.394Z,31.2,,0,,,,
2018-01-30T00:03:57.262Z,31.2,,0,,,,
2018-01-30T00:04:07.265Z,31,,0,,,,
2018-01-30T00:04:17.264Z,31,,0,,,,
2018-01-30T00:04:27.267Z,30.9,,0,,,,
2018-01-30T00:04:37.263Z,30.9,44.5,0,,,,
2018-01-30T00:04:47.438Z,30.8,,0,,,,
2018-01-30T00:04:57.263Z,30.8,,0,,,,
2018-01-30T00:05:12.373Z,30.7,,0,,,,
2018-01-30T00:05:17.263Z,30.7,,0,,,,
2018-01-30T00:05:27.265Z,30.6,44.4,0,,,,
2018-01-30T00:05:37.507Z,30.6,,0,,,,
2018-01-30T00:05:47.384Z,30.4,,0,,,,
2018-01-30T00:05:57.263Z,30.4,,0,,,,
2018-01-30T00:06:07.265Z,30.3,,0,,,,
2018-01-30T00:06:17.265Z,30.3,,0,,,,
2018-01-30T00:06:27.266Z,30.2,44.3,0,,,,
2018-01-30T00:06:37.265Z,30.2,,0,,,,
2018-01-30T00:06:47.404Z,30.1,,0,,,,
2018-01-30T00:06:57.267Z,30.1,,0,,,,
2018-01-30T00:07:07.266Z,30,,0,,,,
2018-01-30T00:07:17.266Z,30,,0,,,,
2018-01-30T00:07:27.287Z,29.8,44.2,0,,,,
2018-01-30T00:07:37.284Z,29.8,,0,,,,
2018-01-30T00:07:47.397Z,29.8,,0,,,,
2018-01-30T00:07:57.283Z,29.7,,0,,,,
2018-01-30T00:08:07.265Z,29.7,,0,,,,
