Time,HwTOutlet,HwActive,PrimT,ActPow,HwTSet,ChActive,PrimTSet
2018-02-02T00:00:07.926Z,21.3,,,,0,,
2018-02-02T00:00:17.925Z,21.5,,,,0,,
2018-02-02T00:00:27.926Z,21.5,,,,0,,
2018-02-02T00:00:38.002Z,21.5,,,,0,,
2018-02-02T00:00:48.057Z,21.5,,,,0,,
2018-02-02T00:00:58.156Z,21.5,,,,0,,
2018-02-02T00:01:07.926Z,21.5,,40.4,,0,,
2018-02-02T00:01:17.926Z,21.5,,,,0,,
2018-02-02T00:01:27.931Z,21.5,,,,0,,
2018-02-02T00:01:37.926Z,21.5,,,,0,,
2018-02-02T00:01:48.055Z,21.5,,,,0,,
2018-02-02T00:01:58.016Z,21.5,,,,0,,
2018-02-02T00:02:07.954Z,21.5,,,,0,,
2018-02-02T00:02:17.927Z,21.5,,,,0,,
2018-02-02T00:02:27.925Z,21.6,,,,0,,
2018-02-02T00:02:37.926Z,21.6,,40.3,,0,,
2018-02-02T00:02:48.053Z,21.6,,,,0,,
2018-02-02T00:02:58.016Z,21.6,,,,0,,
2018-02-02T00:03:07.928Z,21.6,,,,0,,
2018-02-02T00:03:18.049Z,21.6,,,,0,,
2018-02-02T00:03:27.949Z,21.6,,,,0,,
2018-02-02T00:03:37.930Z,21.6,,,,0,,
2018-02-02T00:03:47.928Z,21.6,,,,0,,
2018-02-02T00:03:58.038Z,21.6,,40.2,,0,,
2018-02-02T00:04:08.053Z,21.6,,,,0,,
2018-02-02T00:04:17.926Z,21.6,,,,0,,
2018-02-02T00:04:27.926Z,21.6,,,,0,,
2018-02-02T00:04:37.926Z,21.6,,,,0,,
2018-02-02T00:04:47.926Z,21.6,,,,0,,
2018-02-02T00:04:58.018Z,21.6,,,,0,,
2018-02-02T00:05:07.926Z,21.6,,,,0,,
2018-02-02T00:05:17.928Z,21.6,,40.1,,0,,
2018-02-02T00:05:27.947Z,21.6,,,,0,,
2018-02-02T00:05:37.979Z,21.6,,,,0,,
2018-02-02T00:05:47.926Z,21.6,,,,0,,
2018-02-02T00:05:58.026Z,21.6,,,,0,,
2018-02-02T00:06:07.958Z,21.6,,,,0,,
2018-02-02T00:06:17.927Z,21.6,,,,0,,
2018-02-02T00:06:27.930Z,21.6,,40,,0,,
2018-02-02T00:06:37.926Z,21.6,,,,0,,
