Time,HwTOutlet,PrimT,ActPow,ChActive,PrimTSet,HwTSet,HwActive
2018-02-05T00:00:07.578Z,30.3,,,,,0,
2018-02-05T00:00:17.578Z,30.3,,,,,0,
2018-02-05T00:00:27.579Z,30.3,46.2,,,,0,
2018-02-05T00:00:37.579Z,30.3,,,,,0,
2018-02-05T00:00:47.578Z,30.2,,,,,0,
2018-02-05T00:00:57.579Z,30.2,,,,,0,
2018-02-05T00:01:07.579Z,30.2,,,,,0,
2018-02-05T00:01:17.646Z,30.2,,,,,0,
2018-02-05T00:01:27.772Z,30.1,,,,,0,
2018-02-05T00:01:37.582Z,30.1,46.1,,,,0,
2018-02-05T00:01:47.813Z,30.1,,,,,0,
2018-02-05T00:01:57.581Z,30.1,,,,,0,
2018-02-05T00:02:07.617Z,30.1,,,,,0,
2018-02-05T00:02:17.581Z,30,,,,,0,
2018-02-05T00:02:27.797Z,30,,,,,0,
2018-02-05T00:02:37.579Z,30,,,,,0,
2018-02-05T00:02:47.590Z,30,46,,,,0,
2018-02-05T00:02:57.584Z,30,,,,,0,
2018-02-05T00:03:07.580Z,29.8,,,,,0,
2018-02-05T00:03:17.580Z,29.8,,,,,0,
2018-02-05T00:03:27.579Z,29.8,,,,,0,
2018-02-05T00:03:37.579Z,29.8,,,,,0,
2018-02-05T00:03:47.589Z,29.7,,,,,0,
2018-02-05T00:03:57.580Z,29.7,46,,,,0,
2018-02-05T00:04:07.580Z,29.7,45.9,,,,0,
2018-02-05T00:04:17.584Z,29.7,,,,,0,
2018-02-05T00:04:27.593Z,29.6,,,,,0,
2018-02-05T00:04:37.579Z,29.6,,,,,0,
2018-02-05T00:04:47.579Z,29.6,,,,,0,
2018-02-05T00:04:57.583Z,29.6,,,,,0,
2018-02-05T00:05:07.579Z,29.5,,,,,0,
2018-02-05T00:05:17.587Z,29.5,,,,,0,
2018-02-05T00:05:27.580Z,29.5,45.8,,,,0,
2018-02-05T00:05:37.612Z,29.5,,,,,0,
2018-02-05T00:05:47.580Z,29.5,,,,,0,
2018-02-05T00:05:57.580Z,29.3,,,,,0,
2018-02-05T00:06:07.579Z,29.3,,,,,0,
2018-02-05T00:06:17.589Z,29.3,,,,,0,
2018-02-05T00:06:27.579Z,29.3,45.7,,,,0,
2018-02-05T00:06:42.944Z,29.3,,,,,0,
2018-02-05T00:06:47.579Z,29.2,,,,,0,
2018-02-05T00:06:57.583Z,29.2,,,,,0,
2018-02-05T00:07:07.580Z,29.2,,,,,0,
2018-02-05T00:07:17.580Z,29.2,,,,,0,
2018-02-05T00:07:27.585Z,29.2,,,,,0,
2018-02-05T00:07:37.579Z,29.1,,,,,0,
2018-02-05T00:07:47.579Z,29.1,,,,,0,
2018-02-05T00:07:57.585Z,29.1,45.6,,,,0,
2018-02-05T00:08:07.580Z,29.1,,,,,0,
2018-02-05T00:08:17.580Z,29,,,,,0,
2018-02-05T00:08:27.586Z,29,,,,,0,
2018-02-05T00:08:37.580Z,29,,,,,0,
2018-02-05T00:08:47.580Z,29,,,,,0,
2018-02-05T00:08:57.609Z,29,45.5,,,,0,
2018-02-05T00:09:07.581Z,28.9,,,,,0,
2018-02-05T00:09:17.580Z,28.9,,,,,0,
2018-02-05T00:09:27.580Z,28.9,,,,,0,
2018-02-05T00:09:37.580Z,28.9,,,,,0,
2018-02-05T00:09:47.580Z,28.9,,,,,0,
2018-02-05T00:09:57.581Z,28.7,,,,,0,
2018-02-05T00:10:07.602Z,28.7,,,,,0,
2018-02-05T00:10:17.583Z,28.7,,,,,0,
2018-02-05T00:10:27.583Z,28.7,45.4,,,,0,
2018-02-05T00:10:37.582Z,28.7,,,,,0,
2018-02-05T00:10:47.582Z,28.6,,,,,0,
2018-02-05T00:10:57.581Z,28.6,,,,,0,
2018-02-05T00:11:07.756Z,28.6,,,,,0,
2018-02-05T00:11:17.587Z,28.6,,,,,0,
2018-02-05T00:11:27.587Z,28.5,,,,,0,
2018-02-05T00:11:37.580Z,28.5,45.3,,,,0,
2018-02-05T00:11:47.582Z,28.5,,,,,0,
2018-02-05T00:11:57.597Z,28.5,,,,,0,
2018-02-05T00:12:07.585Z,28.5,,,,,0,
2018-02-05T00:12:17.582Z,28.4,,,,,0,
2018-02-05T00:12:27.580Z,28.4,,,,,0,
2018-02-05T00:12:37.587Z,28.4,,,,,0,
2018-02-05T00:12:47.580Z,28.4,,,,,0,
2018-02-05T00:12:57.580Z,28.4,45.2,,,,0,
2018-02-05T00:13:07.580Z,28.4,,,,,0,
2018-02-05T00:13:17.581Z,28.3,,,,,0,
2018-02-05T00:13:27.580Z,28.3,,,,,0,
2018-02-05T00:13:37.585Z,28.3,,,,,0,
2018-02-05T00:13:47.580Z,28.3,,,,,0,
2018-02-05T00:13:57.888Z,28.3,,,,,0,
2018-02-05T00:14:07.587Z,28.1,,,,,0,
2018-02-05T00:14:17.587Z,28.1,45.1,,,,0,
2018-02-05T00:14:27.581Z,28.1,,,,,0,
2018-02-05T00:14:37.587Z,28.1,,,,,0,
2018-02-05T00:14:47.594Z,28.1,,,,,0,
2018-02-05T00:14:57.583Z,28.1,,,,,0,
2018-02-05T00:15:07.581Z,28,,,,,0,
2018-02-05T00:15:17.591Z,28,,,,,0,
2018-02-05T00:15:27.799Z,28,45,,,,0,
2018-02-05T00:15:37.582Z,28,,,,,0,
2018-02-05T00:15:47.581Z,28,,,,,0,
2018-02-05T00:15:57.588Z,28,,,,,0,
2018-02-05T00:16:07.772Z,27.9,,,,,0,
2018-02-05T00:16:22.671Z,27.9,,,,,0,
2018-02-05T00:16:27.670Z,27.9,,,,,0,
2018-02-05T00:16:37.788Z,27.9,45,,,,0,
2018-02-05T00:16:47.587Z,27.9,44.9,,,,0,
2018-02-05T00:16:57.625Z,27.9,,,,,0,
2018-02-05T00:17:07.581Z,27.8,,,,,0,
2018-02-05T00:17:17.796Z,27.8,,,,,0,
2018-02-05T00:17:32.601Z,27.8,,,,,0,
2018-02-05T00:17:37.588Z,27.8,,,,,0,
2018-02-05T00:17:47.588Z,27.8,,,,,0,
2018-02-05T00:17:57.594Z,27.8,44.8,,,,0,
2018-02-05T00:18:07.743Z,27.7,,,,,0,
2018-02-05T00:18:17.786Z,27.7,,,,,0,
2018-02-05T00:18:27.592Z,27.7,,,,,0,
2018-02-05T00:18:37.583Z,27.7,,,,,0,
2018-02-05T00:18:47.742Z,27.7,,,,,0,
2018-02-05T00:18:57.641Z,27.7,,,,,0,
2018-02-05T00:19:07.613Z,27.7,,,,,0,
2018-02-05T00:19:17.921Z,27.5,,,,,0,
2018-02-05T00:19:27.699Z,27.5,44.7,,,,0,
2018-02-05T00:19:37.610Z,27.5,,,,,0,
2018-02-05T00:19:47.619Z,27.5,,,,,0,
2018-02-05T00:20:02.638Z,27.5,,,,,0,
2018-02-05T00:20:07.614Z,27.5,,,,,0,
2018-02-05T00:20:17.586Z,27.5,,,,,0,
2018-02-05T00:20:27.585Z,27.4,,,,,0,
2018-02-05T00:20:37.582Z,27.4,44.6,,,,0,
2018-02-05T00:20:47.584Z,27.4,,,,,0,
2018-02-05T00:20:57.582Z,27.4,,,,,0,
2018-02-05T00:21:07.583Z,27.4,,,,,0,
2018-02-05T00:21:17.582Z,27.4,,,,,0,
2018-02-05T00:21:27.589Z,27.4,,,,,0,
2018-02-05T00:21:37.582Z,27.4,,,,,0,
2018-02-05T00:21:47.588Z,27.3,,,,,0,
2018-02-05T00:21:57.592Z,27.3,44.5,,,,0,
2018-02-05T00:22:07.584Z,27.3,,,,,0,
2018-02-05T00:22:17.582Z,27.3,44.5,0,0,5,0,0
2018-02-05T00:22:27.610Z,27.3,,,,,0,
2018-02-05T00:22:37.583Z,27.3,,,,,0,
2018-02-05T00:22:47.583Z,27.3,,,,,0,
2018-02-05T00:22:57.612Z,27.3,,,,,0,
2018-02-05T00:23:07.582Z,27.3,44.4,,,,0,
2018-02-05T00:23:17.583Z,27.2,,,,,0,
2018-02-05T00:23:27.611Z,27.2,,,,,0,
2018-02-05T00:23:37.582Z,27.2,,,,,0,
2018-02-05T00:23:47.675Z,27.2,,,,,0,
2018-02-05T00:23:57.582Z,27.2,,,,,0,
2018-02-05T00:24:07.582Z,27.2,,,,,0,
2018-02-05T00:24:17.777Z,27.2,,,,,0,
2018-02-05T00:24:27.597Z,27.1,,,,,0,
2018-02-05T00:24:37.588Z,27.1,44.3,,,,0,
2018-02-05T00:24:47.595Z,27.1,,,,,0,
2018-02-05T00:24:57.588Z,27.1,,,,,0,
2018-02-05T00:25:07.583Z,27.1,,,,,0,
2018-02-05T00:25:17.608Z,27.1,,,,,0,
2018-02-05T00:25:27.618Z,27.1,,,,,0,
2018-02-05T00:25:37.587Z,27.1,,,,,0,
2018-02-05T00:25:52.754Z,26.9,44.2,,,,0,
2018-02-05T00:25:57.601Z,26.9,,,,,0,
2018-02-05T00:26:07.584Z,26.9,,,,,0,
2018-02-05T00:26:18.859Z,26.9,,,,,0,
2018-02-05T00:26:33.118Z,26.9,,,,,0,
2018-02-05T00:26:37.583Z,26.9,,,,,0,
2018-02-05T00:26:47.583Z,26.9,,,,,0,
2018-02-05T00:26:57.583Z,26.9,,,,,0,
2018-02-05T00:27:07.583Z,26.8,44.1,,,,0,
2018-02-05T00:27:17.727Z,26.8,,,,,0,
2018-02-05T00:27:27.586Z,26.8,,,,,0,
2018-02-05T00:27:37.586Z,26.8,,,,,0,
2018-02-05T00:27:47.584Z,26.8,,,,,0,
2018-02-05T00:27:57.923Z,26.8,,,,,0,
2018-02-05T00:28:07.589Z,26.8,,,,,0,
2018-02-05T00:28:17.585Z,26.8,,,,,0,
2018-02-05T00:28:27.583Z,26.7,,,,,0,
2018-02-05T00:28:37.606Z,26.8,44,,,,0,
2018-02-05T00:28:47.584Z,26.7,,,,,0,
2018-02-05T00:28:57.591Z,26.7,,,,,0,
2018-02-05T00:29:07.606Z,26.7,,,,,0,
2018-02-05T00:29:17.584Z,26.7,,,,,0,
2018-02-05T00:29:27.724Z,26.7,43.9,,,,0,
2018-02-05T00:29:37.584Z,26.7,44,,,,0,
2018-02-05T00:29:47.583Z,26.7,43.9,,,,0,
2018-02-05T00:29:57.613Z,26.7,,,,,0,
2018-02-05T00:30:07.584Z,26.6,,,,,0,
2018-02-05T00:30:17.583Z,26.6,,,,,0,
2018-02-05T00:30:27.775Z,26.6,,,,,0,
2018-02-05T00:30:42.650Z,26.6,,,,,0,
2018-02-05T00:30:47.583Z,26.6,,,,,0,
2018-02-05T00:30:57.597Z,26.6,43.8,,,,0,
2018-02-05T00:31:07.594Z,26.6,,,,,0,
2018-02-05T00:31:17.601Z,26.6,,,,,0,
2018-02-05T00:31:27.583Z,26.6,,,,,0,
2018-02-05T00:31:37.586Z,26.5,,,,,0,
2018-02-05T00:31:47.584Z,26.5,,,,,0,
2018-02-05T00:31:57.627Z,26.5,,,,,0,
2018-02-05T00:32:11.007Z,26.5,,,,,0,
2018-02-05T00:32:17.589Z,26.5,43.7,,,,0,
2018-02-05T00:32:27.824Z,26.5,,,,,0,
2018-02-05T00:32:37.721Z,26.5,,,,,0,
2018-02-05T00:32:47.718Z,26.3,,,,,0,
2018-02-05T00:32:57.891Z,26.3,,,,,0,
2018-02-05T00:33:07.818Z,26.3,,,,,0,
2018-02-05T00:33:17.589Z,26.3,,,,,0,
2018-02-05T00:33:27.614Z,26.3,43.6,,,,0,
2018-02-05T00:33:37.614Z,26.3,,,,,0,
2018-02-05T00:33:47.605Z,26.3,,,,,0,
2018-02-05T00:33:57.601Z,26.3,,,,,0,
2018-02-05T00:34:07.625Z,26.3,,,,,0,
2018-02-05T00:34:17.859Z,26.3,,,,,0,
2018-02-05T00:34:32.714Z,26.3,,,,,0,
2018-02-05T00:34:37.617Z,26.2,,,,,0,
2018-02-05T00:34:47.585Z,26.2,43.5,,,,0,
2018-02-05T00:34:57.592Z,26.2,,,,,0,
2018-02-05T00:35:07.584Z,26.2,,,,,0,
2018-02-05T00:35:17.584Z,26.2,,,,,0,
2018-02-05T00:35:27.585Z,26.2,,,,,0,
2018-02-05T00:35:37.584Z,26.2,,,,,0,
2018-02-05T00:35:47.713Z,26.1,43.4,,,,0,
2018-02-05T00:35:57.618Z,26.2,43.5,,,,0,
2018-02-05T00:36:07.584Z,26.1,43.4,,,,0,
2018-02-05T00:36:17.591Z,26.1,,,,,0,
2018-02-05T00:36:27.584Z,26.1,,,,,0,
2018-02-05T00:36:37.589Z,26.1,,,,,0,
2018-02-05T00:36:47.585Z,26.1,,,,,0,
