Time,HwTOutlet,ActPow,PrimT,HwActive,PrimTSet,ChActive,HwTSet
2018-02-06T00:00:07.797Z,29.3,,,,,,0
2018-02-06T00:00:17.798Z,29.2,,,,,,0
2018-02-06T00:00:27.797Z,29.2,,,,,,0
2018-02-06T00:00:37.806Z,29.1,,,,,,0
2018-02-06T00:00:47.797Z,29.1,,,,,,0
2018-02-06T00:00:57.810Z,29,,,,,,0
2018-02-06T00:01:07.798Z,29,,41.9,,,,0
2018-02-06T00:01:17.800Z,28.9,,,,,,0
2018-02-06T00:01:27.801Z,28.9,,,,,,0
2018-02-06T00:01:37.802Z,28.9,,,,,,0
2018-02-06T00:01:47.799Z,28.7,,,,,,0
2018-02-06T00:01:57.800Z,28.7,,,,,,0
2018-02-06T00:02:07.798Z,28.6,,,,,,0
2018-02-06T00:02:17.812Z,28.6,,,,,,0
2018-02-06T00:02:27.798Z,28.6,,,,,,0
2018-02-06T00:02:37.832Z,28.5,,41.8,,,,0
2018-02-06T00:02:47.798Z,28.5,,,,,,0
2018-02-06T00:02:57.800Z,28.4,,,,,,0
2018-02-06T00:03:07.802Z,28.4,,,,,,0
2018-02-06T00:03:17.811Z,28.4,,,,,,0
2018-02-06T00:03:27.837Z,28.3,,,,,,0
2018-02-06T00:03:37.810Z,28.3,,,,,,0
2018-02-06T00:03:47.803Z,28.1,,41.7,,,,0
2018-02-06T00:03:57.807Z,28.1,,,,,,0
2018-02-06T00:04:07.803Z,28.1,,,,,,0
2018-02-06T00:04:17.802Z,28,,42.3,1,0,0,0
2018-02-06T00:04:27.822Z,41.6,30,40.9,1,,0,54
2018-02-06T00:04:37.803Z,42.1,58,44.1,,,,54
2018-02-06T00:04:52.973Z,44.6,59,47.1,,,,54
2018-02-06T00:04:57.831Z,47.7,58,50.1,,,,54
2018-02-06T00:05:07.864Z,50.3,53,52,,,,54
2018-02-06T00:05:17.806Z,52.2,48,53,,,,54
2018-02-06T00:05:27.798Z,53.2,46,53.4,,,,54
2018-02-06T00:05:37.822Z,53.5,0,53.8,0,,0,54
2018-02-06T00:05:47.809Z,53.3,,52.7,,,,0
2018-02-06T00:05:57.856Z,52.9,,52.4,,,,0
2018-02-06T00:06:07.819Z,52.5,,52.3,,,,0
2018-02-06T00:06:17.847Z,52.3,,,,,,0
2018-02-06T00:06:27.831Z,52.1,,52.2,,,,0
2018-02-06T00:06:37.807Z,51.8,,,,,,0
2018-02-06T00:06:53.287Z,51.5,,52.1,,5,,0
2018-02-06T00:06:57.804Z,51.2,,,,,,0
2018-02-06T00:07:07.830Z,50.9,,52,,,,0
2018-02-06T00:07:17.802Z,50.6,,,,,,0
2018-02-06T00:07:28.014Z,50.4,,,,,,0
2018-02-06T00:07:37.829Z,50.2,,51.9,,,,0
2018-02-06T00:07:47.946Z,49.9,,,,,,0
2018-02-06T00:07:57.888Z,49.7,,,,,,0
2018-02-06T00:08:07.909Z,49.3,,,,,,0
2018-02-06T00:08:18.072Z,49,,,,,,0
2018-02-06T00:08:28.044Z,48.8,,,,,,0
2018-02-06T00:08:37.825Z,48.5,,,,,,0
2018-02-06T00:08:47.825Z,48.3,,,,,,0
2018-02-06T00:08:57.872Z,48,,,,,,0
2018-02-06T00:09:07.897Z,47.8,,,,,,0
2018-02-06T00:09:17.826Z,47.5,,,,,,0
2018-02-06T00:09:28.255Z,47.3,,,,,,0
2018-02-06T00:09:37.842Z,47.1,,,,,,0
2018-02-06T00:09:47.836Z,46.8,,,,,,0
2018-02-06T00:09:57.878Z,46.6,,,,,,0
2018-02-06T00:10:07.841Z,46.4,,,,,,0
2018-02-06T00:10:17.851Z,46.2,,51.8,,,,0
2018-02-06T00:10:27.824Z,46,,,,,,0
2018-02-06T00:10:38.057Z,45.7,,,,,,0
2018-02-06T00:10:47.799Z,45.5,,,,,,0
2018-02-06T00:10:57.799Z,45.3,,,,,,0
2018-02-06T00:11:07.799Z,45.1,,51.7,,,,0
2018-02-06T00:11:17.801Z,44.9,,,,,,0
2018-02-06T00:11:27.799Z,44.7,,,,,,0
2018-02-06T00:11:37.799Z,44.4,,51.6,,,,0
2018-02-06T00:11:47.800Z,44.2,,,,,,0
2018-02-06T00:11:57.803Z,44,,,,,,0
2018-02-06T00:12:07.799Z,43.8,,51.5,,,,0
2018-02-06T00:12:17.799Z,43.6,,,,,,0
2018-02-06T00:12:27.801Z,43.5,,,,,,0
2018-02-06T00:12:38.059Z,43.3,,51.4,,,,0
2018-02-06T00:12:47.799Z,43.1,,,,,,0
2018-02-06T00:12:57.802Z,42.9,,51.3,,,,0
2018-02-06T00:13:07.805Z,42.7,,,,,,0
2018-02-06T00:13:17.799Z,42.5,,,,,,0
2018-02-06T00:13:27.800Z,42.4,,51.2,,,,0
2018-02-06T00:13:37.802Z,42.2,,,,,,0
2018-02-06T00:13:48.001Z,42,,51.1,,,,0
2018-02-06T00:13:58.045Z,41.9,,,,,,0
2018-02-06T00:14:07.799Z,41.7,,51,,,,0
2018-02-06T00:14:17.800Z,41.5,,,,,,0
2018-02-06T00:14:27.799Z,41.4,,50.9,,,,0
2018-02-06T00:14:37.800Z,41.2,,,,,,0
2018-02-06T00:14:47.800Z,41.1,,50.7,,,,0
2018-02-06T00:14:57.802Z,40.8,,,,,,0
2018-02-06T00:15:07.865Z,40.6,,,,,,0
2018-02-06T00:15:19.225Z,40.5,,50.6,,,,0
2018-02-06T00:15:27.808Z,40.3,,,,,,0
2018-02-06T00:15:37.802Z,40.2,,50.5,,,,0
2018-02-06T00:15:47.801Z,40,,,,,,0
2018-02-06T00:15:57.804Z,39.9,,50.4,,,,0
2018-02-06T00:16:07.805Z,39.8,,,,,,0
2018-02-06T00:16:17.844Z,39.6,,,,,,0
2018-02-06T00:16:27.820Z,39.5,,50.3,,,,0
2018-02-06T00:16:37.806Z,39.3,,,,,,0
2018-02-06T00:16:47.806Z,39.2,,50.2,,,,0
2018-02-06T00:16:57.803Z,39.1,,,,,,0
2018-02-06T00:17:07.809Z,38.8,,50.1,,,,0
2018-02-06T00:17:17.816Z,38.7,,,,,,0
2018-02-06T00:17:27.811Z,38.6,,,,,,0
2018-02-06T00:17:37.949Z,38.4,,50,,,,0
2018-02-06T00:17:47.807Z,38.3,,,,,,0
2018-02-06T00:17:57.809Z,38.2,,49.9,,,,0
2018-02-06T00:18:07.812Z,38.1,,,,,,0
2018-02-06T00:18:17.806Z,37.9,,,,,,0
2018-02-06T00:18:27.801Z,37.8,,49.8,,,,0
2018-02-06T00:18:37.831Z,37.7,,,,,,0
2018-02-06T00:18:47.803Z,37.6,,,,,,0
2018-02-06T00:18:57.814Z,37.5,,49.7,,,,0
2018-02-06T00:19:07.808Z,37.3,,,,,,0
2018-02-06T00:19:17.800Z,37.2,,49.6,,,,0
2018-02-06T00:19:27.806Z,37.1,,,,,,0
2018-02-06T00:19:37.992Z,36.9,,,,,,0
2018-02-06T00:19:47.801Z,36.8,,49.5,,,,0
2018-02-06T00:19:57.989Z,36.7,,,,,,0
2018-02-06T00:20:07.806Z,36.6,,,,,,0
2018-02-06T00:20:17.837Z,36.5,,49.4,,,,0
2018-02-06T00:20:27.801Z,36.3,,,,,,0
2018-02-06T00:20:37.807Z,36.2,,,,,,0
2018-02-06T00:20:47.804Z,36.1,,49.3,,,,0
2018-02-06T00:20:57.825Z,36,,,,,,0
2018-02-06T00:21:07.802Z,35.9,,,,,,0
2018-02-06T00:21:18.036Z,35.8,,,,,,0
2018-02-06T00:21:27.824Z,35.7,,49.2,,,,0
2018-02-06T00:21:37.804Z,35.6,,,,,,0
2018-02-06T00:21:47.885Z,35.5,,,,,,0
2018-02-06T00:21:57.803Z,35.4,,49.1,,,,0
2018-02-06T00:22:07.810Z,35.3,,,,,,0
2018-02-06T00:22:17.810Z,35.2,,,,,,0
2018-02-06T00:22:27.811Z,35.1,,49,,,,0
2018-02-06T00:22:37.832Z,34.9,,,,,,0
2018-02-06T00:22:47.806Z,34.8,,,,,,0
2018-02-06T00:22:57.836Z,34.7,,49,,,,0
2018-02-06T00:23:08.015Z,34.6,,48.9,,,,0
2018-02-06T00:23:17.809Z,34.5,,,,,,0
2018-02-06T00:23:27.805Z,34.4,,,,,,0
2018-02-06T00:23:37.806Z,34.4,,48.8,,,,0
2018-02-06T00:23:47.804Z,34.3,0,48.8,0,5,0,0
2018-02-06T00:23:57.801Z,34.2,,,,,,0
2018-02-06T00:24:07.811Z,34.1,,,,,,0
2018-02-06T00:24:17.806Z,34,,48.7,,,,0
2018-02-06T00:24:27.802Z,33.9,,,,,,0
2018-02-06T00:24:37.801Z,33.8,,,,,,0
2018-02-06T00:24:47.809Z,33.7,,,,,,0
2018-02-06T00:24:57.801Z,33.7,,48.6,,,,0
2018-02-06T00:25:07.803Z,33.6,,,,,,0
2018-02-06T00:25:17.877Z,33.5,,,,,,0
2018-02-06T00:25:27.804Z,33.4,,,,,,0
2018-02-06T00:25:37.802Z,33.4,,48.5,,,,0
2018-02-06T00:25:48.038Z,33.3,,,,,,0
2018-02-06T00:25:57.809Z,33.2,,,,,,0
2018-02-06T00:26:07.807Z,33.1,,,,,,0
2018-02-06T00:26:17.802Z,32.9,,48.4,,,,0
2018-02-06T00:26:27.805Z,32.8,,,,,,0
2018-02-06T00:26:37.801Z,32.8,,,,,,0
2018-02-06T00:26:47.932Z,32.7,,,,,,0
2018-02-06T00:26:57.801Z,32.6,,48.3,,,,0
2018-02-06T00:27:07.817Z,32.6,,,,,,0
2018-02-06T00:27:17.801Z,32.5,,,,,,0
2018-02-06T00:27:27.801Z,32.4,,,,,,0
2018-02-06T00:27:37.801Z,32.3,,,,,,0
2018-02-06T00:27:47.913Z,32.3,,48.2,,,,0
2018-02-06T00:27:58.011Z,32.2,,,,,,0
2018-02-06T00:28:07.833Z,32.1,,,,,,0
2018-02-06T00:28:17.888Z,32,,,,,,0
2018-02-06T00:28:27.802Z,32,,48.1,,,,0
2018-02-06T00:28:37.803Z,31.9,,,,,,0
2018-02-06T00:28:47.802Z,31.8,,,,,,0
2018-02-06T00:28:57.807Z,31.8,,,,,,0
2018-02-06T00:29:07.801Z,31.6,,,,,,0
2018-02-06T00:29:17.810Z,31.5,,48,,,,0
2018-02-06T00:29:27.802Z,31.5,,,,,,0
2018-02-06T00:29:37.802Z,31.4,,,,,,0
2018-02-06T00:29:47.802Z,31.4,,,,,,0
2018-02-06T00:29:57.803Z,31.3,,47.9,,,,0
2018-02-06T00:30:07.805Z,31.2,,,,,,0
2018-02-06T00:30:17.830Z,31.2,,,,,,0
2018-02-06T00:30:27.830Z,31,,,,,,0
2018-02-06T00:30:37.802Z,30.9,,,,,,0
2018-02-06T00:30:47.802Z,30.9,,,,,,0
2018-02-06T00:30:57.923Z,30.8,,47.8,,,,0
2018-02-06T00:31:07.832Z,30.7,,,,,,0
2018-02-06T00:31:17.828Z,30.7,,,,,,0
2018-02-06T00:31:27.828Z,30.6,,,,,,0
2018-02-06T00:31:37.832Z,30.6,,,,,,0
2018-02-06T00:31:47.829Z,30.4,,,,,,0
2018-02-06T00:31:57.829Z,30.4,,47.7,,,,0
2018-02-06T00:32:07.829Z,30.3,,,,,,0
2018-02-06T00:32:18.274Z,30.2,,,,,,0
2018-02-06T00:32:27.809Z,30.2,,,,,,0
2018-02-06T00:32:37.811Z,30.1,,47.6,,,,0
2018-02-06T00:32:47.808Z,30.1,,,,,,0
2018-02-06T00:32:57.809Z,30,,,,,,0
2018-02-06T00:33:07.806Z,30,,,,,,0
2018-02-06T00:33:17.802Z,29.8,,,,,,0
2018-02-06T00:33:27.803Z,29.8,,47.4,,,,0
2018-02-06T00:33:37.803Z,29.7,,,,,,0
2018-02-06T00:33:47.804Z,29.7,,,,,,0
2018-02-06T00:33:57.802Z,29.6,,,,,,0
2018-02-06T00:34:07.811Z,29.6,,,,,,0
2018-02-06T00:34:17.805Z,29.5,,47.3,,,,0
2018-02-06T00:34:27.803Z,29.5,,,,,,0
2018-02-06T00:34:37.805Z,29.3,,,,,,0
2018-02-06T00:34:47.805Z,29.3,,,,,,0
2018-02-06T00:34:57.803Z,29.2,,,,,,0
2018-02-06T00:35:07.808Z,29.2,,,,,,0
2018-02-06T00:35:17.835Z,29.1,,47.2,,,,0
2018-02-06T00:35:27.930Z,29.1,,,,,,0
2018-02-06T00:35:37.829Z,29,,,,,,0
2018-02-06T00:35:47.803Z,29,,,,,,0
2018-02-06T00:35:57.803Z,28.9,,,,,,0
2018-02-06T00:36:07.803Z,28.9,,47.1,,,,0
2018-02-06T00:36:17.802Z,28.7,,,,,,0
