Time,HwActive,HwTSet,PrimTSet,ChActive,PrimT,ActPow,HwTOutlet
2018-02-11T00:00:08.877Z,,0,,,,,34.5
2018-02-11T00:00:25.056Z,,0,,,52,,34.4
2018-02-11T00:00:28.883Z,,0,,,,,34.4
2018-02-11T00:00:38.883Z,,0,,,,,34.3
2018-02-11T00:00:54.158Z,,0,,,,,34.2
2018-02-11T00:00:58.876Z,,0,,,52,,34.2
2018-02-11T00:01:08.876Z,,0,,,51.9,,34.1
2018-02-11T00:01:18.880Z,,0,,,,,34.1
2018-02-11T00:01:28.881Z,,0,,,,,34
2018-02-11T00:01:38.914Z,,0,,,,,33.9
2018-02-11T00:01:48.875Z,,0,,,51.8,,33.9
2018-02-11T00:01:58.938Z,,0,,,,,33.8
2018-02-11T00:02:08.872Z,,0,,,,,33.8
2018-02-11T00:02:18.873Z,,0,,,,,33.7
2018-02-11T00:02:28.875Z,,0,,,,,33.7
2018-02-11T00:02:38.871Z,,0,,,51.7,,33.6
2018-02-11T00:02:48.892Z,,0,,,,,33.5
2018-02-11T00:02:58.880Z,,0,,,,,33.5
2018-02-11T00:03:08.881Z,,0,,,,,33.4
2018-02-11T00:03:18.878Z,,0,,,,,33.4
2018-02-11T00:03:28.891Z,,0,,,51.6,,33.3
2018-02-11T00:03:38.877Z,,0,,,,,33.3
2018-02-11T00:03:48.887Z,,0,,,,,33.2
2018-02-11T00:03:58.892Z,,0,,,,,33.2
2018-02-11T00:04:08.877Z,,0,,,,,33.1
2018-02-11T00:04:18.876Z,,0,,,51.5,,33.1
2018-02-11T00:04:34.248Z,,0,,,,,32.9
2018-02-11T00:04:38.884Z,,0,,,,,32.8
2018-02-11T00:04:49.869Z,,0,,,,,32.8
2018-02-11T00:04:58.881Z,,0,,,,,32.8
2018-02-11T00:05:14.504Z,,0,,,51.4,,32.7
2018-02-11T00:05:18.871Z,,0,,,,,32.7
2018-02-11T00:05:28.893Z,,0,,,,,32.6
2018-02-11T00:05:39.033Z,,0,,,,,32.6
2018-02-11T00:05:48.871Z,,0,,,,,32.5
2018-02-11T00:05:58.898Z,,0,,,51.3,,32.5
2018-02-11T00:06:08.946Z,,0,,,,,32.4
2018-02-11T00:06:18.880Z,,0,,,,,32.4
2018-02-11T00:06:28.876Z,,0,,,,,32.3
2018-02-11T00:06:38.909Z,,0,,,,,32.3
2018-02-11T00:06:48.881Z,,0,,,51.2,,32.3
2018-02-11T00:06:58.874Z,,0,,,,,32.2
2018-02-11T00:07:09.051Z,,0,,,,,32.2
2018-02-11T00:07:18.873Z,,0,,,,,32.1
2018-02-11T00:07:28.874Z,,0,,,,,32.1
2018-02-11T00:07:38.877Z,,0,,,51.1,,32
2018-02-11T00:07:48.906Z,,0,,,,,32
2018-02-11T00:07:58.879Z,,0,,,,,31.9
2018-02-11T00:08:08.875Z,,0,,,,,31.9
2018-02-11T00:08:18.876Z,,0,,,,,31.9
2018-02-11T00:08:28.888Z,,0,,,,,31.8
2018-02-11T00:08:38.909Z,,0,,,51,,31.8
2018-02-11T00:08:48.925Z,,0,,,,,31.8
2018-02-11T00:08:58.878Z,,0,,,,,31.6
2018-02-11T00:09:08.887Z,,0,,,,,31.6
2018-02-11T00:09:19.027Z,,0,,,,,31.5
2018-02-11T00:09:28.914Z,,0,,,50.9,,31.5
2018-02-11T00:09:38.881Z,,0,,,,,31.5
2018-02-11T00:09:48.877Z,,0,,,,,31.5
2018-02-11T00:09:58.879Z,,0,,,,,31.4
2018-02-11T00:10:08.877Z,,0,,,,,31.4
2018-02-11T00:10:18.873Z,,0,,,50.7,,31.3
2018-02-11T00:10:28.874Z,,0,,,,,31.3
2018-02-11T00:10:39.041Z,,0,,,,,31.2
2018-02-11T00:10:48.879Z,,0,,,,,31.2
2018-02-11T00:10:58.891Z,,0,,,,,31.2
2018-02-11T00:11:08.873Z,,0,,,,,31
2018-02-11T00:11:18.894Z,,0,,,50.6,,31
2018-02-11T00:11:28.877Z,,0,,,,,30.9
2018-02-11T00:11:38.879Z,,0,,,,,30.9
2018-02-11T00:11:49.011Z,,0,,,,,30.9
2018-02-11T00:11:58.887Z,,0,,,,,30.9
2018-02-11T00:12:08.875Z,,0,,,50.5,,30.8
2018-02-11T00:12:18.877Z,,0,,,,,30.8
2018-02-11T00:12:28.879Z,,0,,,,,30.7
2018-02-11T00:12:38.880Z,,0,,,,,30.7
2018-02-11T00:12:48.877Z,,0,,,,,30.7
2018-02-11T00:12:58.903Z,,0,,,50.4,,30.7
2018-02-11T00:13:08.878Z,,0,,,,,30.6
2018-02-11T00:13:18.891Z,,0,,,,,30.7
2018-02-11T00:13:28.878Z,,0,,,,,30.7
2018-02-11T00:13:38.874Z,,0,,,,,30.7
2018-02-11T00:13:48.878Z,,0,,,50.3,,30.6
2018-02-11T00:13:58.876Z,,0,,,,,30.6
2018-02-11T00:14:08.897Z,,0,,,,,30.6
2018-02-11T00:14:19.036Z,,0,,,,,30.6
2018-02-11T00:14:28.878Z,,0,,,,,30.6
2018-02-11T00:14:38.876Z,,0,,,,,30.4
2018-02-11T00:14:48.900Z,,0,,,50.2,,30.4
2018-02-11T00:14:59.862Z,,0,,,,,30.4
2018-02-11T00:15:08.873Z,,0,,,,,30.3
2018-02-11T00:15:18.880Z,,0,,,,,30.3
2018-02-11T00:15:28.878Z,,0,,,,,30.3
2018-02-11T00:15:38.880Z,,0,,,,,30.3
2018-02-11T00:15:48.880Z,,0,,,50.1,,30.3
2018-02-11T00:15:59.019Z,,0,,,,,30.4
2018-02-11T00:16:14.014Z,,0,,,,,30.4
2018-02-11T00:16:18.888Z,,0,,,,,30.4
2018-02-11T00:16:28.900Z,,0,,,,,30.4
2018-02-11T00:16:38.897Z,,0,,,,,30.4
2018-02-11T00:16:48.889Z,,0,,,50,,30.4
2018-02-11T00:16:58.924Z,,0,,,,,30.4
2018-02-11T00:17:08.876Z,,0,,,,,30.4
2018-02-11T00:17:18.965Z,,0,,,,,30.4
2018-02-11T00:17:28.888Z,,0,,,,,30.3
2018-02-11T00:17:38.877Z,,0,,,49.9,,30.3
2018-02-11T00:17:48.882Z,,0,,,,,30.3
2018-02-11T00:17:59.159Z,,0,,,,,30.3
2018-02-11T00:18:08.893Z,,0,,,,,30.2
2018-02-11T00:18:18.887Z,,0,,,,,30.2
2018-02-11T00:18:28.910Z,,0,,,49.8,,30.2
2018-02-11T00:18:38.877Z,,0,,,,,30.2
2018-02-11T00:18:48.907Z,,0,,,,,30.2
2018-02-11T00:18:58.889Z,,0,,,,,30.1
2018-02-11T00:19:08.874Z,,0,,,,,30.1
2018-02-11T00:19:18.879Z,,0,,,,,30.1
2018-02-11T00:19:33.987Z,,0,,,,,30.1
2018-02-11T00:19:38.882Z,,0,,,49.7,,30
2018-02-11T00:19:48.881Z,,0,,,,,30
2018-02-11T00:19:58.877Z,,0,,,,,30
2018-02-11T00:20:08.884Z,,0,,,,,30
2018-02-11T00:20:18.894Z,,0,,,,,29.8
2018-02-11T00:20:28.886Z,,0,,,,,29.8
2018-02-11T00:20:38.880Z,,0,,,49.6,,29.8
2018-02-11T00:20:48.884Z,,0,,,,,29.7
2018-02-11T00:20:58.902Z,,0,,,,,29.7
2018-02-11T00:21:08.876Z,,0,,,,,29.7
2018-02-11T00:21:18.884Z,,0,,,,,29.7
2018-02-11T00:21:28.881Z,,0,,,,,29.6
2018-02-11T00:21:44.471Z,,0,,,49.5,,29.6
2018-02-11T00:21:48.882Z,,0,,,,,29.6
2018-02-11T00:21:58.882Z,,0,,,,,29.5
2018-02-11T00:22:08.878Z,,0,,,,,29.5
2018-02-11T00:22:18.882Z,,0,,,,,29.5
2018-02-11T00:22:28.883Z,,0,,,,,29.5
2018-02-11T00:22:38.879Z,,0,,,49.4,,29.3
2018-02-11T00:22:48.875Z,,0,,,,,29.3
2018-02-11T00:22:58.877Z,,0,,,,,29.3
2018-02-11T00:23:08.885Z,,0,,,,,29.2
2018-02-11T00:23:18.884Z,,0,,,,,29.2
2018-02-11T00:23:28.880Z,,0,,,49.3,,29.2
2018-02-11T00:23:38.886Z,,0,,,,,29.1
2018-02-11T00:23:48.875Z,,0,,,,,29.1
2018-02-11T00:23:58.886Z,,0,,,,,29.1
2018-02-11T00:24:08.877Z,,0,,,,,29.1
2018-02-11T00:24:18.890Z,,0,,,,,29
2018-02-11T00:24:28.874Z,,0,,,49.2,,29
2018-02-11T00:24:38.881Z,,0,,,,,29
2018-02-11T00:24:48.887Z,,0,,,,,29
2018-02-11T00:24:58.886Z,,0,,,,,28.9
2018-02-11T00:25:08.875Z,,0,,,,,28.9
2018-02-11T00:25:18.885Z,,0,,,,,28.9
2018-02-11T00:25:28.894Z,,0,,,,,28.7
2018-02-11T00:25:38.875Z,,0,,,49.1,,28.7
2018-02-11T00:25:48.889Z,,0,,,,,28.7
2018-02-11T00:25:58.880Z,,0,,,,,28.7
2018-02-11T00:26:08.882Z,,0,,,,,28.6
2018-02-11T00:26:18.889Z,,0,,,,,28.6
2018-02-11T00:26:28.887Z,,0,,,49,,28.6
2018-02-11T00:26:38.875Z,,0,,,,,28.5
2018-02-11T00:26:48.883Z,,0,,,,,28.5
2018-02-11T00:26:58.879Z,,0,,,,,28.5
2018-02-11T00:27:08.906Z,,0,,,,,28.5
2018-02-11T00:27:18.883Z,,0,,,,,28.4
2018-02-11T00:27:29.463Z,,0,,,48.9,,28.4
2018-02-11T00:27:38.879Z,,0,,,,,28.4
2018-02-11T00:27:48.884Z,,0,,,,,28.4
2018-02-11T00:27:58.882Z,,0,,,,,28.3
2018-02-11T00:28:08.888Z,,0,,,,,28.3
2018-02-11T00:28:18.881Z,,0,,,,,28.3
2018-02-11T00:28:28.994Z,,0,,,48.8,,28.3
2018-02-11T00:28:38.884Z,,0,,,,,28.3
2018-02-11T00:28:48.888Z,,0,,,,,28.1
2018-02-11T00:28:58.880Z,,0,,,,,28.1
2018-02-11T00:29:08.886Z,,0,,,,,28.1
2018-02-11T00:29:18.882Z,,0,,,,,28
2018-02-11T00:29:28.992Z,,0,,,48.7,,28
2018-02-11T00:29:44.967Z,,0,,,,,28
2018-02-11T00:29:48.878Z,,0,,,,,28
2018-02-11T00:29:58.888Z,,0,,,,,28
2018-02-11T00:30:08.887Z,,0,,,,,27.9
2018-02-11T00:30:18.879Z,,0,,,,,27.9
2018-02-11T00:30:28.878Z,,0,,,48.6,,27.9
2018-02-11T00:30:38.875Z,,0,,,,,27.9
2018-02-11T00:30:48.879Z,,0,,,,,27.8
2018-02-11T00:30:58.910Z,,0,,,,,27.8
2018-02-11T00:31:08.893Z,,0,,,,,27.8
2018-02-11T00:31:18.917Z,,0,,,,,27.8
2018-02-11T00:31:28.886Z,,0,,,48.5,,27.7
2018-02-11T00:31:38.877Z,0,0,5,0,48.5,0,27.7
2018-02-11T00:31:48.899Z,,0,,,,,27.7
2018-02-11T00:31:58.880Z,,0,,,,,27.7
2018-02-11T00:32:08.888Z,,0,,,,,27.5
2018-02-11T00:32:18.988Z,,0,,,,,27.5
2018-02-11T00:32:28.878Z,,0,,,48.4,,27.5
2018-02-11T00:32:38.876Z,,0,,,,,27.5
2018-02-11T00:32:48.884Z,,0,,,,,27.5
2018-02-11T00:32:58.894Z,,0,,,,,27.4
2018-02-11T00:33:08.912Z,,0,,,,,27.4
2018-02-11T00:33:18.902Z,,0,,,,,27.4
2018-02-11T00:33:33.925Z,,0,,,48.3,,27.4
2018-02-11T00:33:38.876Z,,0,,,,,27.4
2018-02-11T00:33:48.879Z,,0,,,,,27.3
2018-02-11T00:33:58.885Z,,0,,,,,27.3
2018-02-11T00:34:08.901Z,,0,,,,,27.3
2018-02-11T00:34:18.878Z,,0,,,,,27.3
2018-02-11T00:34:28.889Z,,0,,,48.2,,27.3
2018-02-11T00:34:38.906Z,,0,,,,,27.2
2018-02-11T00:34:48.881Z,,0,,,,,27.2
2018-02-11T00:34:58.884Z,,0,,,,,27.2
2018-02-11T00:35:08.882Z,,0,,,,,27.2
2018-02-11T00:35:18.877Z,,0,,,,,27.1
2018-02-11T00:35:28.902Z,,0,,,48.1,,27.1
2018-02-11T00:35:38.876Z,,0,,,,,27.1
2018-02-11T00:35:48.882Z,,0,,,,,27.1
2018-02-11T00:35:58.881Z,,0,,,,,27.1
2018-02-11T00:36:08.886Z,,0,,,,,27.1
2018-02-11T00:36:18.882Z,,0,,,,,26.9
2018-02-11T00:36:28.886Z,,0,,,48,,26.9
2018-02-11T00:36:38.878Z,,0,,,,,26.9
2018-02-11T00:36:48.891Z,,0,,,,,26.9
2018-02-11T00:36:58.882Z,,0,,,,,26.8
2018-02-11T00:37:08.880Z,,0,,,,,26.8
2018-02-11T00:37:18.876Z,,0,,,,,26.8
2018-02-11T00:37:34.144Z,,0,,,47.9,,26.8
2018-02-11T00:37:38.977Z,,0,,,,,26.8
2018-02-11T00:37:49.338Z,,0,,,,,26.8
2018-02-11T00:37:58.886Z,,0,,,,,26.7
2018-02-11T00:38:08.883Z,,0,,,,,26.7
2018-02-11T00:38:18.883Z,,0,,,,,26.7
2018-02-11T00:38:28.889Z,,0,,,,,26.7
2018-02-11T00:38:38.881Z,,0,,,47.8,,26.6
2018-02-11T00:38:48.886Z,,0,,,,,26.6
2018-02-11T00:38:58.881Z,,0,,,,,26.6
2018-02-11T00:39:08.882Z,,0,,,,,26.6
2018-02-11T00:39:24.027Z,,0,,,,,26.6
2018-02-11T00:39:30.072Z,,0,,,,,26.6
2018-02-11T00:39:38.902Z,,0,,,47.7,,26.5
2018-02-11T00:39:48.880Z,,0,,,,,26.5
2018-02-11T00:39:58.888Z,,0,,,,,26.5
2018-02-11T00:40:08.878Z,,0,,,,,26.5
2018-02-11T00:40:18.882Z,,0,,,,,26.5
2018-02-11T00:40:28.881Z,,0,,,,,26.5
2018-02-11T00:40:38.884Z,,0,,,47.6,,26.3
2018-02-11T00:40:48.892Z,,0,,,,,26.3
2018-02-11T00:40:58.984Z,,0,,,,,26.3
2018-02-11T00:41:08.890Z,,0,,,,,26.3
2018-02-11T00:41:18.897Z,,0,,,,,26.3
2018-02-11T00:41:28.879Z,,0,,,,,26.3
2018-02-11T00:41:38.884Z,,0,,,47.4,,26.2
2018-02-11T00:41:48.909Z,,0,,,,,26.2
2018-02-11T00:41:58.884Z,,0,,,,,26.2
2018-02-11T00:42:08.879Z,,0,,,,,26.2
2018-02-11T00:42:18.881Z,,0,,,,,26.2
2018-02-11T00:42:28.881Z,,0,,,,,26.1
2018-02-11T00:42:38.883Z,,0,,,47.3,,26.1
2018-02-11T00:42:48.903Z,,0,,,,,26.1
2018-02-11T00:42:58.887Z,,0,,,,,26.1
2018-02-11T00:43:08.943Z,,0,,,,,26.1
2018-02-11T00:43:18.885Z,,0,,,,,26.1
2018-02-11T00:43:28.896Z,,0,,,,,26
2018-02-11T00:43:38.887Z,,0,,,47.2,,26
2018-02-11T00:43:48.909Z,,0,,,,,26
2018-02-11T00:43:58.881Z,,0,,,,,26
