Time,PrimT,HwTOutlet,ChActive,HwTSet,ActPow,PrimTSet,HwActive
2018-02-15T00:00:09.724Z,,27.1,,0,,,
2018-02-15T00:00:19.727Z,,27.1,,0,,,
2018-02-15T00:00:29.726Z,47.9,27.1,,0,,,
2018-02-15T00:00:39.728Z,47.9,26.9,,0,,,
2018-02-15T00:00:49.751Z,,26.9,,0,,,
2018-02-15T00:00:59.843Z,,26.9,,0,,,
2018-02-15T00:01:09.750Z,,26.9,,0,,,
2018-02-15T00:01:19.733Z,,26.8,,0,,,
2018-02-15T00:01:29.759Z,,26.8,,0,,,
2018-02-15T00:01:39.804Z,47.8,26.8,,0,,,
2018-02-15T00:01:49.724Z,,26.8,,0,,,
2018-02-15T00:01:59.822Z,,26.7,,0,,,
2018-02-15T00:02:09.724Z,,26.7,,0,,,
2018-02-15T00:02:19.725Z,,26.7,,0,,,
2018-02-15T00:02:29.831Z,,26.7,,0,,,
2018-02-15T00:02:39.725Z,47.7,26.6,,0,,,
2018-02-15T00:02:49.724Z,,26.6,,0,,,
2018-02-15T00:02:59.814Z,,26.6,,0,,,
2018-02-15T00:03:09.724Z,,26.6,,0,,,
2018-02-15T00:03:19.725Z,,26.6,,0,,,
2018-02-15T00:03:29.726Z,,26.5,,0,,,
2018-02-15T00:03:39.725Z,47.6,26.5,,0,,,
2018-02-15T00:03:49.726Z,,26.5,,0,,,
2018-02-15T00:03:59.814Z,,26.3,,0,,,
2018-02-15T00:04:09.725Z,,26.3,,0,,,
2018-02-15T00:04:19.725Z,,26.3,,0,,,
2018-02-15T00:04:29.726Z,,26.3,,0,,,
2018-02-15T00:04:39.725Z,47.4,26.3,,0,,,
2018-02-15T00:04:49.725Z,,26.3,,0,,,
2018-02-15T00:04:59.815Z,,26.2,,0,,,
2018-02-15T00:05:09.762Z,,26.2,,0,,,
2018-02-15T00:05:19.750Z,,26.2,,0,,,
2018-02-15T00:05:29.725Z,47.3,26.2,,0,,,
2018-02-15T00:05:39.725Z,,26.1,,0,,,
2018-02-15T00:05:49.971Z,,26.1,,0,,,
2018-02-15T00:06:00.070Z,,26.1,,0,,,
2018-02-15T00:06:09.775Z,,26.1,,0,,,
2018-02-15T00:06:19.725Z,,26.1,,0,,,
2018-02-15T00:06:29.725Z,,26,,0,,,
2018-02-15T00:06:39.725Z,47.2,26,,0,,,
2018-02-15T00:06:49.725Z,,26,,0,,,
2018-02-15T00:07:04.866Z,,26,,0,,,
2018-02-15T00:07:09.922Z,,26,,0,,,
2018-02-15T00:07:19.728Z,,26,,0,,,
2018-02-15T00:07:29.728Z,,25.9,,0,,,
2018-02-15T00:07:39.726Z,47.1,25.9,,0,,,
2018-02-15T00:07:49.725Z,,25.9,,0,,,
2018-02-15T00:07:59.817Z,,25.9,,0,,,
2018-02-15T00:08:09.725Z,,25.9,,0,,,
2018-02-15T00:08:19.727Z,,25.7,,0,,,
2018-02-15T00:08:29.730Z,,25.7,,0,,,
2018-02-15T00:08:39.727Z,47,25.7,,0,,,
2018-02-15T00:08:49.917Z,,25.7,,0,,,
2018-02-15T00:09:00.060Z,,25.7,,0,,,
2018-02-15T00:09:09.963Z,,25.6,,0,,,
2018-02-15T00:09:19.726Z,,25.6,,0,,,
2018-02-15T00:09:29.725Z,46.9,25.6,,0,,,
2018-02-15T00:09:39.734Z,46.9,25.6,,0,,,
2018-02-15T00:09:49.743Z,,25.6,,0,,,
2018-02-15T00:09:59.917Z,,25.6,,0,,,
2018-02-15T00:10:09.726Z,,25.5,,0,,,
2018-02-15T00:10:19.731Z,,25.5,,0,,,
2018-02-15T00:10:29.727Z,,25.5,,0,,,
2018-02-15T00:10:39.725Z,46.8,25.5,,0,,,
2018-02-15T00:10:49.726Z,,25.5,,0,,,
2018-02-15T00:10:59.816Z,,25.4,,0,,,
2018-02-15T00:11:09.726Z,,25.4,,0,,,
2018-02-15T00:11:19.725Z,,25.4,,0,,,
